GENE,COLO-829_80--COLO-829BL_40,HCC-1143--HCC-1143BL,HCC-1143_80--HCC-1143BL_40,COLO-829--COLO-829BL
HLA-A,Tumor;MODERATE;AMP,Tumor;MODERATE;DEL,Tumor;MODERATE;DEL,Tumor;AMP
MECOM,Tumor;HIGH;AMP,Tumor;AMP,Tumor;AMP,Tumor;HIGH;AMP
ETV5,Tumor;MODERATE;AMP,Tumor;AMP,Tumor;AMP,Tumor;MODERATE;AMP
TP63,Tumor;MODERATE;AMP,Tumor;AMP,Tumor;AMP,Tumor;MODERATE;AMP
PTPRC,Tumor;AMP,Tumor;MODERATE;AMP,Tumor;MODERATE;AMP,Tumor;AMP
PLAG1,Tumor;AMP,Tumor;HIGH;HIGH AMP,Tumor;HIGH;HIGH AMP,Tumor;AMP
KMT2C,Tumor;DEL,Tumor;MODERATE;DEL,Tumor;DEL,Tumor;DEL
SF3B1,Tumor;MODERATE,Tumor;DEL,Tumor;DEL,Tumor;MODERATE
BRAF,Tumor;MODERATE;HIGH AMP,Tumor,Tumor,Tumor;MODERATE;HIGH AMP
NUTM2B,Tumor;MODERATE;DEL,Tumor,Tumor,Tumor;MODERATE;DEL
AR,Tumor;MODERATE;AMP,Tumor,Tumor,Tumor;MODERATE;AMP
HOOK3,Tumor;AMP,Tumor;MODERATE,Tumor;MODERATE,Tumor;AMP
NUP214,Tumor;AMP,Tumor;HIGH,Tumor;HIGH,Tumor;AMP
FGFR2,Tumor;DEL,Tumor;MODERATE,Tumor;MODERATE,Tumor;DEL
PML,Tumor;DEL,Tumor;MODERATE,Tumor;MODERATE,Tumor;DEL
