Sample	Gene	Impact	CNV
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	MAP3K6	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	AGO1	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	COL8A2	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	RSPO1	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	ZYG11B	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	ZYG11A	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	LRIF1	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	PPM1J	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	KIRREL1	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	UHMK1	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	PSEN2	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	OBSCN	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	ALKAL2	MODERATE	3.0
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	RDH14	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	KCNK3	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	CGREF1	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	NT5DC4	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	KIF5C	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	WDR75	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	RFTN1	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	SEMA5B	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	ETNPPL	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	SLC6A18	MODERATE	3.0
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	SNX18	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	TXNDC5	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	MICA	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	TRBV17	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	RAD54B	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	VIRMA	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	NRBP2	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	EPPK1	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	LRRC14	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	ANKRD18A	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	SVEP1	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	COL27A1	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	AK1	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	PMPCA	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	WDFY4	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	AP3M1	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	FFAR4	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	PAOX	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	DKK3	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	USH1C	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	MRGPRX3	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	OR5AS1	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	OR4D11	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	IKBIP	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	PXN	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	OGFOD2	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	FZD10	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	ZNF219	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	DNAAF2	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	ATXN3	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	CPSF2	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	KLF13	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	HBQ1	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	RNF40	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	FBXL8	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	SMG6	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	KRT35	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	KIF18B	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	CANT1	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	METTL4	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	MYO5B	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	SALL3	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	CTDP1	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	ANKRD24	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	ANGPTL6	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	CD22	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	DPF1	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	SPTBN4	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	CEACAM4	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	SNRNP70	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	ZNF805	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	ZNF416	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	SSTR4	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	IGLV1-40	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	SEC14L4	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	SBF1	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	GRPR	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	CTAG2	MODERATE	6.0
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	ADGRL3	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	ALG13	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	ALPK2	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	ANKRD20A9P	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	AP3B2	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	BRCA2	HIGH	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	BTBD8	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	C1QL4	MODERATE	
PM12-Z10-1-Case-WGS--PM12-EBC2-1-Ctrl-WGS	CAB39	MODERATE	
