Sample	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
PM0_Tissue_LM1_A	0.129448667	0	0.204113086	0	0	0	0	0.278160339	0.086073982	0	0	0.065729148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM0_Tissue_LM2_A	0.137404311	0	0.164019506	0	0.075143704	0	0	0.343217967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM1024-Z1-1-Case-WGS	0.296092963	0	0	0	0.092938886	0	0	0.345955514	0.072701495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM1207-Z1-1-Case-WGS	0.417253508	0	0	0	0	0	0	0.116481525	0.091509566	0	0	0	0	0	0	0	0	0	0.097937401	0	0	0	0	0	0	0	0	0	0	0
PM1207-Z4-1-Case-WGS	0.428317481	0	0	0	0.224085399	0	0	0.123111797	0.103479732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM1232-Z16-1-Case-WGS	0.344230567	0	0.14723145	0	0.163227228	0	0	0	0.126955403	0	0	0.071104748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM1232-Z4-1-Case-WGS	0.349730002	0	0.080245004	0	0.231073798	0	0	0.091347838	0.133741272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM12-Z10-1-Case-WGS	0	0	0.316353412	0	0	0	0	0.326277584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM12_Z13_1_Case	0	0	0.314053009	0.091542661	0	0	0	0.308145231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM12_Z4_2_Case	0	0	0.28590046	0.109920112	0	0	0	0.302162717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM1358A-Z2-1-Case-WGS	0.219365065	0	0.101252643	0	0.250221092	0	0	0.128160982	0.116183718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM1358A-Z3-1-Case-WGS	0.217442077	0	0.122768477	0	0.249273538	0	0	0.152486151	0.079766978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM1358A-Z4-1-Case-WGS	0.25713441	0	0.094245988	0	0.28034331	0	0	0.102388959	0.065808618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM1358-Z1-1-Case-WGS	0.248234351	0	0	0	0.318583777	0	0	0.11360926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM1388-Z3-1-Case-WGS	0.152018367	0	0.120408309	0	0.299806524	0	0	0.302746248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM159-Z1-1-Case-WGS	0.248491402	0	0	0	0.320543859	0	0	0.181673078	0.074784344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM159-Z13-1-Case-WGS	0.338970052	0	0.07897774	0	0.124061973	0	0	0.14780742	0.090270312	0	0	0	0	0	0	0.120780037	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM159-Z22-1-Case	0.252353364	0	0	0	0.367639661	0	0	0.113104486	0.077332996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM159-Z6-1-Case-WGS	0.251235917	0	0	0	0.357553381	0	0	0.110405358	0.115077878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM159-Z7-1-Case-WGS	0.239265247	0	0	0	0.357981715	0	0	0.143787394	0.096143268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM191-Z8-1-Case-WGS	0.178945768	0	0.071709124	0	0.230715063	0	0	0.302020126	0.076965934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM1_Tissue	0.206980241	0	0	0	0.265959372	0	0	0.273162911	0	0	0	0	0	0	0	0.151258348	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM2086-Z1-Case-WGS	0.292457416	0	0.160178044	0	0.140635783	0	0	0.225914451	0.094404089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM223-Z2-1-Case-WGS	0.179046519	0	0.116876459	0	0.176532816	0	0	0.195118475	0.100979879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM223-Z4-1-WGS	0.181893906	0	0.108174165	0	0.256305531	0	0	0.107922793	0.126612696	0	0	0	0	0	0	0	0	0.080692907	0	0	0	0	0	0	0	0	0	0	0	0
PM428-Z2-1-Case-WGS	0.350969857	0	0.14608694	0	0.196301765	0	0	0.132915228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM493-Z1-1-Case-WGS	0.19238258	0	0.18772862	0	0.163085651	0	0	0.178075121	0.10291264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM4_Tissue_LLB_LLA_LT2_LA_MED	0.334429865	0	0.330508966	0	0	0	0	0.12477318	0	0	0	0	0	0	0	0.063674181	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM59-Z2-1-Case	0.129466309	0	0	0	0.095966208	0	0	0.127463474	0	0	0	0.3934766	0	0	0	0	0	0	0	0.141784682	0	0	0	0	0	0	0	0	0	0
PM63-Z10-1-Case-WGS	0.193657766	0	0.27001611	0	0	0	0	0.109250037	0.207947434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PM63-Z2-1-Case	0.229217327	0	0.280183613	0	0.143749911	0	0	0	0.126762054	0	0	0	0	0	0	0	0	0.069511975	0	0	0	0	0	0	0	0	0	0	0	0
PM63-Z3-1-Case-WGS	0	0	0.128002477	0.119509291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19557009	0	0	0.066867013	0.144149494	0	0	0	0	0	0.160058375	0
PM63-Z6-1-Case-WGS	0	0	0.096851891	0.13071454	0	0	0	0.253435075	0	0	0	0	0	0	0	0	0	0	0.146176376	0	0	0	0.179639557	0	0	0	0	0	0	0
