Sample	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11	DBS12	DBS13	DBS14	DBS15	DBS16	DBS17	DBS18	DBS19	DBS20
Sample_1	1.0985023607309556	7.939308888623614	0.0	7.689243467643854	2.4849876529347665	12.90401625120162	0.0	0.0	5.459034790422039	0.0	0.0	0.0	14.435746033177725	0.0	0.0	0.0	16.343315330639125	0.0	0.0	10.643842218087599
Sample_2	0.0	19.890332648333654	0.0	19.7315450474976	0.0	11.16904550225035	0.0	0.0	10.004879440935904	0.0	0.0	0.0	33.85063771388253	1.7782623565744062	0.0	0.0	33.78129650599047	0.0	0.0	0.0
Sample_3	0.0	0.0	0.0	0.0	0.0	6.967991662384316	0.0	0.0	0.0	0.0	23.156417984579118	0.0	0.0	13.89864865204303	0.0	0.0	166.2551808184542	0.0	0.0	0.0
Sample_4	0.0	0.0	0.0	0.0	0.0	18.782323579451187	0.0	0.0	0.0	0.0	11.997184097800982	0.0	1.9104956385232117	22.261226414270983	10.950323830722933	0.0	110.30131472179607	0.0	0.0	0.0
Sample_5	1.3186218056408205	0.9958320153979475	0.0	0.0	0.0	8.077861214197585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.067693063385415	9.256612476088206	0.0	26.931102379021688	0.0	0.0	0.0
Sample_6	0.0	0.0	0.0	0.0	0.0	2.3371389164185685	0.0	0.0	0.0	0.0	4.575963679154927	0.0	2.625908540628656	3.4449651451980885	0.0	0.0	34.68476843294386	0.0	0.0	0.0
Sample_7	0.0	0.0	0.0	0.0	0.0	2.5610395144544054	0.0	0.0	0.0	0.0	0.0	0.0	3.467502896477026	1.6813762548430375	0.0	0.0	22.542610412625564	0.0	0.0	0.0
Sample_8	0.0	1.4673941202493936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0590337734371196	0.0	0.0	2.4346636023675985	0.0	0.0	11.29904332177364	0.0	0.0	0.0
Sample_9	0.0	1.7645359811227077	0.0	0.0	0.0	21.924640402612187	0.0	0.0	0.0	0.0	21.72843637293432	0.0	0.0	41.121066395740904	0.0	0.0	184.87266107504448	0.0	0.0	0.0
Sample_10	0.0	2.47713121612662	0.0	0.0	0.0	17.09812959625458	0.0	0.0	0.0	0.0	14.070154931606131	0.0	0.0	16.865703629085967	3.118602585980568	0.0	63.31704372319674	0.0	0.0	0.0
Sample_11	0.0	0.0	0.0	0.0	0.0	17.946418465768804	0.0	0.0	0.0	1.9232341671061288	7.192808082364126	0.0	0.0	14.336069387309713	0.0	0.0	63.196731819057156	0.0	0.0	0.0
Sample_12	0.0	1.216391314853131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2797916312443123	1.9541494239535564	0.0	0.0	0.0	6.772543797192077	0.0	0.0	0.0
Sample_13	0.0	1.6698385498936466	0.0	0.0	8.364066924779154	30.526613708199182	0.0	0.0	0.0	0.0	20.317989598776062	0.0	1.1633810200224133	19.050969532825125	0.0	0.0	153.66060773331114	0.0	0.0	0.0
Sample_14	0.0	0.0	0.0	0.0	0.0	10.49305481855705	0.0	0.0	0.0	2.9732752919968073	0.0	0.0	0.0	13.318452280268987	0.0	0.0	63.179677389408326	0.0	0.0	0.0
Sample_15	0.0	2.8025675522075257	3.9795726314436477	0.0	0.0	6.955221512465015	0.8813166627174164	0.7893354278851794	0.0	0.0	6.026200151488095	0.0	6.453312845695387	3.3629714815053395	2.020795626452043	0.0	3.0673318453416027	0.0	0.0	0.0
Sample_16	0.0	0.0	0.0	0.0	0.0	7.328817914684154	0.0	0.0	0.0	0.0	3.4026323434282895	0.0	0.0	4.793537738807264	0.0	0.0	58.82384102548548	0.0	0.0	0.0
Sample_17	0.0	3.904024100021638	0.0	0.0	0.0	2.7533662566702417	0.0	0.0	0.0	0.0	4.200567238928432	0.0	0.0	1.5888407934532587	0.0	0.0	19.20274798586843	0.0	0.0	0.0
Sample_18	0.0	0.0	2.365235758025947	0.0	0.0	11.445784655656484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.086317867432736	0.0	16.4442478920745	0.0	1.6873414455115814	0.0
Sample_19	0.0	1.101659471230251	0.0	0.0	0.0	36.385389222171135	0.0	0.0	0.0	0.0	50.6418566737369	0.0	0.0	43.95703089217975	0.0	0.0	388.5217523769632	0.0	0.0	0.0
Sample_20	0.0	0.0	0.0	0.0	0.0	22.92873645287728	0.0	0.0	0.0	4.53919924025468	0.0	0.0	0.0	20.65483903063733	13.044279418608006	0.0	159.14052534401785	0.0	0.0	0.0
Sample_21	0.0	0.0	0.0	0.0	0.0	4.114515606271803	0.0	0.0	0.0	0.0	0.0	0.0	3.9465331533585704	5.062165195237732	0.0	0.0	38.479343327557324	0.0	0.0	0.0
Sample_22	0.0	7.8734891903663415	0.5531701916206886	0.0	0.0	0.0	0.0	3.543279547745809	5.4210850651165785	0.0	0.0	0.0	3.275055922269962	3.361524059806977	0.0	5.052668313359264	28.128322084550014	0.0	0.0	0.0
Sample_23	0.0	0.0	0.0	0.0	0.0	1.4335801909424615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3947055429419177	3.4062116369019884	0.0	20.726313308993053	0.0	0.0	0.0
Sample_24	2.0647166708278766	16.479364567395358	2.5494367042215553	0.0	0.0	31.49168499075367	7.1216993156932205	0.0	0.0	0.0	0.0	0.0	55.161759195277064	16.468606380052044	0.0	0.0	61.33218009411718	0.0	0.0	0.0
Sample_25	0.0	0.0	2.7482143115118385	0.0	0.0	9.97446007440147	0.0	0.0	0.0	1.831318016343972	4.822750295155316	0.0	9.501354176933912	0.7931842122562258	0.0	0.0	43.79163776641451	0.0	0.0	0.0
Sample_26	0.0	15.19877678530973	0.0	0.0	0.0	27.049470728980296	0.0	0.0	0.0	0.0	12.282763605297616	0.0	8.428478550611214	14.000450251370612	0.0	0.0	85.60981595724753	0.0	0.0	0.0
Sample_27	0.0	2.517201415385654	0.0	0.0	0.0	3.8463213552684112	0.0	0.0	0.0	0.0	3.982485648991702	0.0	0.0	6.068662766943951	0.0	0.0	47.32551487370932	0.0	0.0	0.0
Sample_28	0.0	0.0	0.0	0.0	0.0	4.2972923142039186	5.8860324080280835	0.0	0.0	0.0	0.0	0.0	8.503078100699723	0.0	0.0	0.0	50.46050928947454	0.0	0.0	0.0
Sample_30	0.0	1.2847630867459665	0.0	0.0	0.0	10.798572972951707	0.0	0.0	0.0	0.0	5.320442977982349	0.0	5.252778661248781	6.704287917763752	0.0	0.0	85.16632231269999	0.0	0.0	0.0
Sample_31	0.0	3.9090840840693826	0.0	0.0	0.0	21.465993969315242	0.0	0.0	0.0	0.0	30.866182360745594	0.0	14.332195573965093	9.005599494284455	0.0	0.0	110.90899596867044	0.0	0.0	0.0
Sample_32	0.0	28.207216762377794	0.0	0.0	0.0	11.754150808446578	0.0	0.0	0.0	0.0	4.215088791667829	0.0	37.3286867517132	13.630166305356076	0.0	0.0	107.68189819443349	0.0	0.0	0.0
Sample_33	4.567927591997312	18.124841950356505	4.149311371120736	19.13786908593845	3.640410805699633	15.097143340454487	0.0	0.0	8.193725056124048	0.0	0.0	5.167348619385354	35.15218942650194	0.0	0.0	2.6455708907341715	0.0	0.0	0.0	0.0
Sample_34	0.0	5.644176838860552	0.0	6.497354644270139	0.0	1.4671929156459191	1.5781528952806454	0.0	5.692563935389531	0.0	0.0	0.0	12.092793599487754	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sample_35	0.0	20.235520315442447	0.0	7.538419202625982	0.0	9.1438840824683	0.0	2.1156489108820375	0.0	0.0	0.0	0.0	6.270523095270548	0.0	0.0	0.0	0.0	50.82922324022641	9.335241549152535	0.0
