gene_name	lfc	n_mutations	mtor_path
HPRT1	2.5776	0	0
NUDT5	1.7439	0	0
SLC43A3	1.6773	0	0
EIF2B2	1.446	0	0
EIF3I	1.4172	0	0
HARS	1.405	0	0
AARS	1.3791	0	0
GMPPB	1.3734	0	0
EIF2S3	1.343	0	0
ROMO1	1.3279	0	0
CRCP	1.2303	0	0
YARS	1.2287	0	0
EIF1AX	1.2194	0	0
TIMM13	1.1809	0	0
CAD	1.1578	0	-1
LONP1	1.1199	0	0
KARS	1.0923	0	0
RNMT	1.0838	0	0
EIF2B3	1.0834	0	0
BRF1	1.0832	0	0
ATAD3A	1.0824	0	0
MIOS	1.0697	0	0
FARSA	1.0633	0	0
CCND3	1.0624	0	0
TAZ	1.0549	0	0
DCAF7	1.042	0	0
IARS2	1.0299	0	0
ELP6	1.0283	0	0
UXT	1.0211	0	0
POLR3H	1.0192	0	0
GAPDH	1.0045	0	0
CSTF3	0.99532	0	0
SNRPD1	0.99219	0	0
HYOU1	0.98508	0	0
WDR24	0.97758	0	0
GARS	0.96495	0	0
IARS	0.96479	0	0
MTOR	0.96389	4	1
PTPN23	0.94794	0	0
SARS	0.93319	0	0
NAA10	0.92794	0	0
PHF5A	0.91861	0	0
GUK1	0.91832	0	0
GFPT1	0.91724	0	0
CRLS1	0.89528	0	0
FPGS	0.89453	0	0
NUDT21	0.88716	0	0
ATP2A2	0.88388	0	0
NARS	0.87608	0	0
GPX4	0.87098	0	0
PELO	0.86894	0	0
SF3A2	0.86593	0	0
DHODH	0.85878	0	-1
PHB2	0.85697	0	0
RPL5	0.84817	0	0
TRIAP1	0.84599	0	0
TMEM41B	0.84087	0	0
CPSF1	0.83763	0	0
UBL5	0.83101	0	0
CTPS1	0.83008	0	0
HCFC1	0.82269	0	0
MLST8	0.80969	0	1
DHX15	0.80595	0	0
EIF3A	0.80392	0	0
PAICS	0.80202	0	0
EIF2B4	0.80195	0	0
EIF2B5	0.8	0	0
C21orf59	0.79816	0	0
HSPE1	0.7923	0	0
FARSB	0.78601	0	0
ELP3	0.77867	0	0
HNRNPM	0.77772	0	0
PRIM2	0.77422	0	0
WDR59	0.7678	2	0
EBF1	0.76712	0	0
FLCN	0.76636	0	0
MRPL4	0.76453	0	0
CARS	0.75814	0	0
DHDDS	0.75748	0	0
MFN2	0.7489	0	0
PMAIP1	0.73665	0	0
DDX20	0.73398	0	0
EIF5	0.72863	0	0
POLR3B	0.72674	0	0
VHL	0.72498	0	0
SNRNP35	0.72456	0	0
WDR92	0.72385	0	0
PDRG1	0.71631	0	0
LARS	0.71345	0	0
EIF2S1	0.70673	0	0
UBTF	0.70241	0	0
PMPCA	0.70031	0	0
HSPA9	0.69955	0	0
GFM1	0.69886	0	0
DNM2	0.68892	7	0
EIF4G1	0.68857	0	0
PKM	0.68846	0	0
TRMT112	0.68762	0	0
TARS	0.68729	0	0
EIF5A	0.68515	0	0
GNL2	0.68435	0	0
GGPS1	0.67921	0	0
TRAPPC11	0.67867	0	0
WDR77	0.66774	0	0
SNRNP70	0.6676	0	0
EEF1G	0.66587	0	0
CPSF3	0.66521	0	0
SSRP1	0.66437	0	0
hsa-mir-3654	0.6622	0	0
DPAGT1	0.65948	0	0
TOE1	0.65899	0	0
AHCY	0.65834	0	0
CTU1	0.65525	0	0
DMAP1	0.65402	0	0
PHB	0.65184	0	0
TRAPPC1	0.65161	0	0
GPN2	0.64192	0	0
