gene_name	lfc	n_mutations	mtor_path
DCK	3.3873	0	0
SLC29A1	3.2527	0	0
YARS	2.0743	0	0
TRMT112	1.8207	0	0
IARS2	1.7807	0	0
EIF3I	1.6798	0	0
LONP1	1.5901	0	0
IMPDH2	1.5845	0	0
RPL24	1.5461	0	0
NOP16	1.5237	0	0
RIOK1	1.5158	0	0
RPL39	1.4736	0	0
EIF2B2	1.4533	0	0
PMPCA	1.4317	0	0
RNMT	1.4056	0	0
PHB2	1.4055	0	0
EIF2S3	1.3894	0	0
PAICS	1.3874	0	0
DHDDS	1.3537	0	0
HSPE1	1.3416	0	0
RABGGTB	1.3376	0	0
NOC4L	1.3331	0	0
hsa-mir-1273c	1.3321	0	0
NMNAT1	1.3261	0	0
RPS8	1.3126	0	0
EIF1AX	1.3102	0	0
FARSA	1.2936	0	0
DHODH	1.2885	0	-1
MYC	1.2869	5	0
MDN1	1.2808	0	0
PELO	1.2798	0	0
TIMM13	1.2756	0	0
RPL18A	1.2734	0	0
GMPPB	1.2676	0	0
DLD	1.2499	0	0
HARS	1.2442	0	0
EIF2B3	1.2315	0	0
CRCP	1.2237	0	0
HEATR3	1.2209	0	0
BRF1	1.2143	0	0
RPL9	1.2083	0	0
C21orf59	1.1991	0	0
TRAPPC11	1.1961	0	0
GNL3	1.1836	0	0
NARS	1.1447	0	0
AARS	1.1413	0	0
HCFC1	1.1364	0	0
ATP2A2	1.123	0	0
RPL38	1.1184	0	0
ROMO1	1.1184	0	0
GABPA	1.1152	0	0
UTP14A	1.1058	0	0
HYOU1	1.1057	0	0
ISG20L2	1.1047	0	0
LIPT1	1.0975	0	0
VPRBP	1.0922	0	0
RRP9	1.0871	0	0
RPS16	1.0871	0	0
ATAD3A	1.0839	0	0
LIAS	1.0751	0	0
EMG1	1.0596	0	0
AHCY	1.0593	0	0
DDX27	1.056	0	0
DHX33	1.0492	0	0
ACSL4	1.0488	0	0
NOL6	1.0461	0	0
RPL15	1.0364	0	0
RPS18	1.0322	0	0
UBL5	1.0298	0	0
EIF4E	1.0276	0	-1
EXOSC4	1.0255	0	0
CRLS1	1.0243	0	0
RPL28	1.0125	0	0
CPSF1	1.0087	0	0
TAF1B	1.0078	0	0
SMARCB1	1.0039	0	0
IMP3	1.0035	0	0
GAPDH	0.99601	0	0
POLR3A	0.99532	0	0
C3orf17	0.99316	0	0
EIF3A	0.992	0	0
IPO11	0.98793	0	0
LARS	0.98526	0	0
MFN2	0.98186	0	0
MTHFD1	0.98027	0	0
NIP7	0.9773	0	0
TSR2	0.97098	0	0
GABPB1	0.97078	0	0
NUS1	0.97053	0	0
RBBP4	0.9675	0	0
ZMIZ1	0.96412	0	0
WDR24	0.96049	0	0
EIF2B5	0.95914	0	0
SNRNP35	0.9526	0	0
RPP21	0.94632	0	0
ERCC2	0.93858	0	0
EIF5AL1	0.93739	0	0
hsa-mir-6127	0.937	0	0
FPGS	0.93371	0	0
CMIP	0.92908	0	0
EP400	0.92868	0	0
PHB	0.92714	0	0
RPS4X	0.92339	0	0
DIMT1	0.92302	0	0
NOB1	0.92136	0	0
WDR18	0.92059	0	0
CPSF6	0.9175	0	0
WDR25	0.91509	0	0
PSMG4	0.91453	0	0
RRS1	0.91316	0	0
PRELID1	0.91277	0	0
EIF1AD	0.90991	0	0
CTCF	0.90959	0	0
RPL10	0.90886	2	0
HINFP	0.90766	0	0
NUDT21	0.9009	0	0
DUT	0.89451	0	0
PABPC1	0.89252	0	0
IMP4	0.8899	0	0
MLST8	0.88897	0	1
PHF5A	0.88893	0	0
MTOR	0.88784	4	1
RPS19	0.88752	0	0
GRPEL1	0.88406	0	0
CAD	0.88353	0	-1
ABT1	0.88115	0	0
RPS7	0.874	0	0
POLR3H	0.86626	0	0
KARS	0.86581	0	0
POLR1B	0.86544	0	0
AK6	0.86192	0	0
CTU1	0.85721	0	0
LARS2	0.85631	0	0
EXOSC8	0.85268	0	0
DARS	0.85242	0	0
CSTF3	0.84797	0	0
NOP58	0.84749	0	0
TSR1	0.84705	0	0
WDR55	0.84697	0	0
SPATA5	0.84657	0	0
TBL3	0.84584	0	0
WDR12	0.84396	0	0
CTPS1	0.84083	0	0
RPL5	0.83563	0	0
CPSF2	0.83204	0	0
CCT4	0.83176	0	0
RPL29	0.8279	0	0
RSL24D1	0.82225	0	0
DDX49	0.82099	0	0
TMA16	0.82087	0	0
PPAT	0.82051	0	0
SARS	0.81621	0	0
EIF4G1	0.81303	0	0
GTF2A2	0.81275	0	0
BMS1	0.81162	0	0
RPS14	0.81104	0	0
CIRH1A	0.809	0	0
RPS9	0.80825	0	0
RPL7	0.80442	0	0
DDX10	0.80372	0	0
TOMM22	0.80106	0	0
UXT	0.79988	0	0
AP2S1	0.79685	0	0
NLE1	0.79682	0	0
RICTOR	0.79576	0	1
DROSHA	0.79474	0	0
KAT5	0.79287	0	0
EIF3M	0.79161	0	0
QARS	0.7906	0	0
ERCC3	0.78916	0	0
SPATA5L1	0.78454	0	0
NOM1	0.78223	0	0
GFER	0.78078	0	0
SYVN1	0.77678	0	0
RPS27	0.77667	0	0
EIF5	0.77335	0	0
ISCA2	0.77328	0	0
UQCRC1	0.7725	0	0
CCNH	0.77239	0	0
HSPD1	0.77195	0	0
IPPK	0.77037	0	0
MRPL53	0.76762	0	0
UBE2I	0.76662	0	0
RPS11	0.76637	0	0
ELP3	0.76307	0	0
RPL37A	0.76177	0	0
EBF1	0.76097	0	0
ATP1B3	0.75896	0	0
FLCN	0.7563	0	0
PES1	0.75516	0	0
SS18L2	0.7508	0	0
CDC123	0.74967	0	0
RPS15	0.74896	0	0
GNL3L	0.74804	0	0
WDR43	0.74556	0	0
SNRNP25	0.74498	0	0
MED12	0.74244	4	0
NSA2	0.74143	0	0
IARS	0.73854	0	0
CCND3	0.7381	0	0
TIMM44	0.73687	0	0
EIF5B	0.73629	0	0
TUBGCP4	0.73577	0	0
RPP40	0.73509	0	0
WBSCR22	0.73423	0	0
GFPT1	0.73171	0	0
HNRNPL	0.7289	0	0
RPS21	0.72753	0	0
DHX15	0.72359	0	0
SLC25A26	0.71743	0	0
RABGGTA	0.71731	0	0
POLR3B	0.71526	0	0
RPTOR	0.70965	0	0
FDX1	0.70804	0	0
MNAT1	0.70685	0	0
GTF2H4	0.70513	0	0
EIF2B4	0.70424	0	0
TTF1	0.70185	0	0
RPP38	0.69971	0	0
TTC27	0.69819	0	0
ZFR	0.69757	2	0
TP53RK	0.6962	0	0
RPL26	0.69484	0	0
SRP19	0.69442	0	0
ACTB	0.69438	0	0
REXO2	0.69434	0	0
RPP14	0.69156	0	0
SHQ1	0.68946	0	0
EXOSC2	0.68713	0	0
DBR1	0.68623	0	0
DDX55	0.68521	0	0
EXOSC7	0.68274	0	0
ELP5	0.68245	0	0
NOL7	0.68174	0	0
GTF2H3	0.68015	0	0
FBXO42	0.67891	0	0
ALG2	0.67762	0	0
TIMM23	0.67731	0	0
CHAF1B	0.67708	0	0
LAMTOR3	0.67375	0	1
RPS23	0.67245	0	0
TMEM41B	0.67239	0	0
TOMM20	0.67217	0	0
FAM60A	0.6718	0	0
PHAX	0.66947	0	0
GGPS1	0.66473	0	0
TAF10	0.66444	0	0
FNTB	0.66391	0	0
TTC37	0.66271	0	0
WDR61	0.6623	0	0
WASH1	0.66148	0	0
TP53	0.66069	17	0
CYCS	0.66045	0	0
CSNK2B	0.65689	0	0
MED19	0.65583	0	0
UBTF	0.65542	0	0
HNRNPM	0.65531	0	0
ETF1	0.65503	0	0
DNLZ	0.65488	0	0
UBA52	0.65382	0	0
NAA15	0.65372	0	0
TRNT1	0.65314	0	0
DDX20	0.65234	0	0
AASDHPPT	0.65146	0	0
RPS24	0.64952	0	0
EIF6	0.64882	0	0
CDK6	0.64763	0	0
RPL35	0.64656	0	0
VARS	0.64522	0	0
EXOSC5	0.64477	0	0
NSMCE1	0.64273	0	0
DDX46	0.64159	0	0
TRIAP1	0.64079	0	0
EPRS	0.64053	0	0
WDR3	0.63974	0	0
DHX9	0.63845	0	0
TRIM28	0.63817	0	0
PNO1	0.6375	0	0
NMD3	0.63717	0	0
MRPL3	0.63618	0	0
DPAGT1	0.63495	0	0
GARS	0.63457	0	0
CCT2	0.63238	0	0
EIF3D	0.63207	0	0
ADSL	0.63174	0	0
PGP	0.62513	0	0
MED8	0.62121	0	0
DCTD	0.62103	0	0
LETM1	0.62047	0	0
NDNL2	0.62023	0	0
WDR33	0.61877	0	0
ADIPOR2	0.61731	0	0
FCF1	0.6124	0	0
USP36	0.61031	0	0
SUPV3L1	0.60794	0	0
LTV1	0.60731	0	0
MAPKAP1	0.60553	0	0
DCAF13	0.60254	0	0
C1orf131	0.6013	0	0
FDX1L	0.5966	0	0
ATP5A1	0.59612	0	0
MRPS24	0.59529	0	0
TADA3	0.59483	0	0
DDX56	0.59458	0	0
DGCR8	0.59254	0	0
ORAOV1	0.5907	0	0
DCAF7	0.58812	0	0
RPL27A	0.58735	0	0
NVL	0.58565	0	0
MRPS6	0.58507	0	0
CLPB	0.58405	0	0
CARS	0.58169	0	0
CINP	0.58003	0	0
CPSF3	0.5783	0	0
THG1L	0.57794	0	0
EEFSEC	0.57662	0	0
POP7	0.57584	0	0
SMARCC2	0.57576	0	0
CPSF4	0.57432	0	0
MRPS30	0.57294	0	0
MRPL44	0.56923	0	0
SNRNP70	0.56836	0	0
GEMIN5	0.56726	0	0
SLC25A22	0.56682	0	0
GTPBP4	0.56136	0	0
RPN2	0.5591	0	0
BRD4	0.55649	0	0
EED	0.55425	0	0
PRPF38B	0.55204	0	0
MSTO1	0.55147	0	0
MIOS	0.55072	0	0
KDM5C	0.54568	0	0
PKM	0.54507	0	0
TRAPPC2	0.54243	0	0
EIF3H	0.53872	0	0
DDX21	0.53842	0	0
DDX6	0.53824	0	0
PISD	0.53762	0	0
PPP1R15B	0.53543	0	0
DOT1L	0.53356	0	0
ZNHIT6	0.53291	0	0
HIST1H1E	0.53205	0	0
CCDC59	0.52564	0	0
GTF2H1	0.52391	0	0
TELO2	0.52195	0	0
OGDH	0.52115	0	0
E4F1	0.51812	0	0
TRAPPC3	0.51615	0	0
GEMIN4	0.51453	0	0
TAF11	0.51448	0	0
ALG11	0.51348	0	0
PAK1IP1	0.51321	0	0
GEMIN8	0.5121	0	0
GLTSCR2	0.51146	0	0
MRPL45	0.51037	0	0
GEMIN7	0.50898	0	0
RPL34	0.50689	0	0
GFM1	0.50361	0	0
BAZ1B	0.50137	0	0
SNAPC3	0.49695	0	0
WDR59	0.49494	2	0
STRIP1	0.48989	0	0
SRPR	0.48294	0	0
SMARCA5	0.47665	2	0
FURIN	0.47313	0	0
DCTPP1	0.47202	0	0
SRP54	0.46879	0	0
COQ2	0.46813	0	0
PFKFB3	0.45776	0	0
PTPMT1	0.45486	0	0
POLR1C	0.44798	0	0
LAGE3	0.44643	0	0
IGF2BP1	0.44029	0	0
MED14	0.43787	0	0
CBFA2T3	0.43725	0	0
COX5A	0.43482	0	0
ZC3H18	0.43164	0	0
FIP1L1	0.43117	0	0
LAS1L	0.42354	0	0
C16orf80	0.41847	0	0
CDK11B	0.41137	0	0
ZZZ3	0.41121	0	0
CALR	0.40349	0	0
RPL11	0.40195	0	0
DAP3	0.3977	0	0
NCAPD2	0.39699	0	0
C12orf45	0.39469	0	0
SAMM50	0.39169	0	0
TAF15	0.38286	0	0
TTI1	0.3733	0	0
APC	0.35093	2	0
HMGN1	0.34836	0	0
TAF12	0.34647	0	0
SUV420H2	0.34098	0	0
EIF5A	0.33185	0	0
CCAR1	0.32913	2	0
VPS13A	0.32724	0	0
UMPS	0.30983	0	-1
LPCAT1	0.29297	0	0
TREML4	0.29202	0	0
IKZF1	0.28117	5	0
SEPHS2	0.24259	0	0
STAG3	0.17873	0	0
MARS	0.11201	0	0
GPN2	0.071709	0	0
TREX1	-0.042896	0	0
SDR39U1	-0.055647	0	0
CENPK	-0.35079	0	0
TK1	-0.45856	0	0
PCM1	-0.46046	0	0
LIN37	-0.46347	0	0
HERC1	-0.48793	0	0
TSC1	-0.51031	0	1
RB1CC1	-0.51688	0	0
ACTR8	-0.56394	0	0
LYL1	-0.58661	0	0
CYLD	-0.58881	0	0
TBK1	-0.59999	0	0
TSC2	-0.6123	0	1
HUS1	-0.63238	0	0
BIRC2	-0.64937	0	0
INO80C	-0.7144	0	0
LMO2	-0.86329	0	0
TRAF2	-0.89086	0	0
PPM1D	-1.137	0	0
BCL2	-1.3704	0	0
