gene_name	lfc	n_mutations	mtor_path
TOP2B	2.4823	0	0
HINFP	1.8969	0	0
CRCP	1.6789	0	0
BRF1	1.6622	0	0
YARS	1.564	0	0
DHODH	1.5282	0	-1
IARS2	1.5182	0	0
LONP1	1.4311	0	0
PAICS	1.4079	0	0
CSNK2B	1.3907	0	0
POLR3H	1.3834	0	0
PHAX	1.372	0	0
NOP16	1.3466	0	0
IMPDH2	1.34	0	0
hsa-mir-1273c	1.3214	0	0
NUDT21	1.2403	0	0
DUT	1.2199	0	0
POLR3A	1.2084	0	0
HSPE1	1.1923	0	0
VPRBP	1.1907	0	0
NAA10	1.1679	0	0
CPSF6	1.1604	0	0
CSTF3	1.1544	0	0
FARSA	1.1478	0	0
EIF2B2	1.141	0	0
TRAPPC11	1.1365	0	0
NOC4L	1.1319	0	0
TIMM13	1.1307	0	0
NMNAT1	1.128	0	0
DLD	1.1167	0	0
FPGS	1.1032	0	0
GNL3	1.0993	0	0
RPL39	1.0991	0	0
HCFC1	1.094	0	0
ROMO1	1.0911	0	0
EIF2B3	1.0769	0	0
TRMT112	1.0754	0	0
LIPT1	1.072	0	0
HARS	1.053	0	0
PMPCA	1.0476	0	0
GMPPB	1.0443	0	0
PELO	1.0417	0	0
EIF2S3	1.0309	0	0
MDN1	1.0293	0	0
ACSL4	1.0271	0	0
ATAD3A	1.0093	0	0
ATP2A2	1.0058	0	0
hsa-mir-6127	0.99894	0	0
AARS	0.98663	0	0
GFER	0.9812	0	0
RABGGTB	0.96474	0	0
HNRNPM	0.96421	0	0
MTOR	0.95825	4	1
GPN3	0.95593	0	0
TOP2A	0.94856	0	0
SFSWAP	0.94611	0	0
DHDDS	0.94588	0	0
ATP1B3	0.94575	0	0
NARS	0.94113	0	0
ERCC2	0.9393	0	0
MFN2	0.93844	0	0
NDNL2	0.93508	0	0
PHF5A	0.93465	0	0
TP53	0.93208	17	0
RIOK1	0.93121	0	0
ABT1	0.93083	0	0
AHCY	0.93073	0	0
UBTF	0.92891	0	0
POLR3B	0.926	0	0
RPL5	0.92446	0	0
HEATR3	0.92102	0	0
RPP38	0.92083	0	0
RPL18A	0.92083	0	0
WDR55	0.91167	0	0
SNRPA1	0.9047	0	0
TAF1B	0.90189	0	0
SPATA5L1	0.89902	0	0
UBE2N	0.89292	0	0
MRPL33	0.88783	0	0
EIF3I	0.88499	0	0
UBL5	0.88475	0	0
EBF1	0.88153	0	0
PABPC1	0.88051	0	0
PGP	0.87905	0	0
C3orf17	0.87298	0	0
RPL26	0.87243	0	0
SARS	0.86807	0	0
LIAS	0.86188	0	0
ISG20L2	0.86181	0	0
GARS	0.86062	0	0
ERCC3	0.85466	0	0
C21orf59	0.85184	0	0
PPAT	0.84566	0	0
NIP7	0.84402	0	0
COA5	0.83949	0	0
EMG1	0.83688	0	0
RPL24	0.83324	0	0
RPS8	0.83288	0	0
TMA16	0.83259	0	0
EIF2B5	0.83228	0	0
WDR24	0.8315	0	0
CTPS1	0.82799	0	0
XRN2	0.82771	0	0
RPS19	0.82658	0	0
PSMG4	0.82338	0	0
ADSL	0.82124	0	0
UQCRC1	0.81999	0	0
EEF1A1	0.81996	0	0
CRLS1	0.81931	0	0
UBE2I	0.81735	0	0
MYC	0.81339	5	0
RPL38	0.81148	0	0
RNMT	0.81147	0	0
GTF2H3	0.80896	0	0
NFS1	0.80625	0	0
DDX27	0.80216	0	0
MED9	0.80076	0	0
FAM50A	0.79606	0	0
PCBP2	0.79285	0	0
GFM1	0.79108	0	0
ISCA2	0.78903	0	0
MRPL41	0.78225	0	0
TUBGCP4	0.78116	0	0
PHB	0.77957	0	0
ARGLU1	0.77771	0	0
TBL3	0.76288	0	0
EIF5AL1	0.76133	0	0
TAF10	0.75914	0	0
TTF1	0.75755	0	0
MTHFD1	0.7474	0	0
RRP9	0.74683	0	0
DBR1	0.74586	0	0
DHX15	0.74413	0	0
DDX46	0.7428	0	0
SNRNP35	0.74005	0	0
MLST8	0.73902	0	1
KAT5	0.73772	0	0
DHX33	0.73752	0	0
MRPS24	0.73727	0	0
PES1	0.72981	0	0
UBE2K	0.72946	0	0
KAT8	0.72253	0	0
IMP3	0.72202	0	0
NOL6	0.71891	0	0
MRPS2	0.71811	0	0
AP2S1	0.71555	0	0
NAA15	0.71506	0	0
C15orf41	0.71247	0	0
COPS4	0.71207	0	0
RPS11	0.71167	0	0
PDRG1	0.70905	0	0
METTL14	0.70644	0	0
MRPL13	0.70407	0	0
RPTOR	0.70297	0	0
UTP15	0.70209	0	0
MRPL53	0.69962	0	0
KAT7	0.69809	0	0
HYOU1	0.69671	0	0
EXOSC4	0.69564	0	0
COQ4	0.69351	0	0
BRD4	0.68877	0	0
POLR3C	0.68638	0	0
RBM8A	0.68452	0	0
PRELID1	0.68412	0	0
PRPF19	0.68386	0	0
EIF3H	0.68126	0	0
WTAP	0.68008	0	0
TAF5	0.67646	0	0
PRPF38B	0.67561	0	0
SMARCB1	0.6751	0	0
AASDHPPT	0.67477	0	0
EIF3D	0.67139	0	0
ENO1	0.67125	0	0
POLR1C	0.67085	0	0
SMS	0.66983	0	0
TRIAP1	0.66847	0	0
EIF2B4	0.66826	0	0
GNL3L	0.66393	0	0
UXT	0.66368	0	0
TMX2	0.66258	0	0
CDK9	0.66149	0	0
PISD	0.66125	0	0
SKP1	0.66015	0	0
EMC1	0.65902	0	0
GABPA	0.65867	0	0
HSPD1	0.65799	0	0
SNRNP70	0.65661	0	0
