gene_name	lfc	n_mutations	mtor_path
DHODH	2.9941	0	-1
NAA10	2.9033	0	0
EIF2S3	2.5704	0	0
LONP1	2.5527	0	0
CRCP	2.4771	0	0
HSPE1	2.4752	0	0
RNMT	2.4694	0	0
NMNAT1	2.3201	0	0
BRF1	2.3161	0	0
BANF1	2.299	0	0
PPP2CA	2.2615	0	0
RICTOR	2.2269	0	1
GMPPB	2.1461	0	0
AARS	2.1176	0	0
RABGGTB	2.1	0	0
NDNL2	2.0397	0	0
hsa-mir-3661	2.0368	0	0
DHX33	2.016	0	0
DHX15	1.9497	0	0
MLST8	1.9414	0	1
PSMG4	1.936	0	0
IARS2	1.9053	0	0
CAD	1.8716	0	-1
PRPF38B	1.8536	0	0
PPP4C	1.8272	0	0
NRF1	1.8172	0	0
G6PD	1.7795	0	0
FPGS	1.7745	0	0
GFM1	1.773	0	0
ATP2A2	1.7668	0	0
EIF1AX	1.7633	0	0
NAA30	1.746	0	0
PRPF19	1.7426	0	0
YARS	1.7318	0	0
TRMT112	1.7313	0	0
SCO2	1.7158	0	0
AHCY	1.7031	0	0
PTPMT1	1.6894	0	0
CDK9	1.6759	0	0
FARSA	1.6697	0	0
TRAPPC11	1.6619	0	0
ENO1	1.6521	0	0
EIF2B3	1.6507	0	0
COQ2	1.642	0	0
SNRPD1	1.6367	0	0
IMPDH2	1.6361	0	0
CTPS1	1.6312	0	0
HARS	1.6246	0	0
IARS	1.6142	0	0
GARS	1.6094	0	0
PPIL4	1.6071	0	0
TUBG1	1.6066	0	0
PHAX	1.6056	0	0
PRIM2	1.5999	0	0
TAF1B	1.5947	0	0
MCM5	1.5916	0	0
IPO11	1.5841	0	0
GTF2A2	1.5632	0	0
CPSF3	1.5588	0	0
GAPDH	1.5549	0	0
DTYMK	1.5515	0	0
DCTN5	1.5515	0	0
MTOR	1.544	4	1
SLC25A19	1.5322	0	1
DLD	1.5294	0	0
MTG2	1.5281	0	0
TRAPPC3	1.5237	0	0
DHX35	1.5053	0	0
