gene_name	lfc	n_mutations	mtor_path
TP53	2.1621	17	0
RPL11	1.5546	0	0
ACSL4	1.4665	0	0
RPL23	1.3106	0	0
EP400	1.2904	0	0
FLCN	1.2395	0	0
HEATR3	1.2388	0	0
KAT5	1.2079	0	0
RPL9	1.2049	0	0
RICTOR	1.1541	0	1
RPS19	1.141	0	0
TRMT112	1.1208	0	0
EIF2S3	1.0817	0	0
HNRNPM	1.0584	0	0
EPC2	1.058	0	0
EIF3I	1.0112	0	0
RPL18A	1.0045	0	0
CTPS1	1.0007	0	0
PIK3CD	1.0006	3	1
TRRAP	0.98547	0	0
SMARCA5	0.96427	2	0
CCND3	0.95898	0	0
DCAF7	0.94364	0	0
IKZF1	0.93249	5	0
HSPA8	0.89945	0	0
RIOK1	0.88338	0	0
SNRNP35	0.87419	0	0
PMAIP1	0.84946	0	0
EBF1	0.84909	0	0
TADA3	0.84095	0	0
MTHFD1	0.83594	0	0
FPGS	0.83571	0	0
MAPKAP1	0.8344	0	0
CDS2	0.83297	0	0
YEATS2	0.83242	0	0
CDK6	0.82801	0	0
RPL37A	0.80857	0	0
LPCAT1	0.80827	0	0
PHB	0.79587	0	0
WDR24	0.79009	0	0
AHCY	0.78952	0	0
EMC6	0.78611	0	0
PAICS	0.7789	0	0
PPAT	0.7751	0	0
MTOR	0.77225	4	1
CHEK2	0.76967	0	0
DHODH	0.74916	0	-1
MDN1	0.73972	0	0
CAD	0.73276	0	-1
SLC2A1	0.73019	0	0
ETNK1	0.72631	0	0
BAZ1B	0.72191	0	0
MYC	0.71645	5	0
RPS11	0.71585	0	0
PRELID1	0.69915	0	0
NSUN2	0.69532	0	0
UBE2K	0.68556	0	0
DBR1	0.68041	0	0
SRP54	0.67969	0	0
SARS	0.66901	0	0
ZZZ3	0.66857	0	0
EIF5	0.65896	0	0
MLST8	0.6573	0	1
NARS	0.65089	0	0
RPS23	0.64633	0	0
EIF2B5	0.64554	0	0
CTDSPL2	0.63491	0	0
SLC7A5	0.63413	0	0
TMEM164	0.61607	0	0
SLFN11	0.61482	0	0
COPE	0.61405	0	0
EMC1	0.60196	0	0
TP53BP1	0.5779	0	0
VPRBP	0.57706	0	0
CKS1B	0.5732	0	0
LAMTOR1	0.55465	0	1
TPT1	0.54053	0	0
CDK13	0.53162	0	0
CRLS1	0.52782	0	0
TAF12	0.5231	0	0
SUZ12	0.50139	0	0
ARHGAP6	0.49971	0	0
ZNF143	0.46788	0	0
ZSWIM8	0.4559	0	0
PSIP1	0.45075	0	0
BAX	0.40473	0	0
FADS2	0.36601	0	0
BRD4	0.26606	0	0
EIF5A	0.042085	0	0
FBXO38	-0.31976	0	0
FBLN7	-0.44854	0	0
KIF18A	-0.47585	0	0
SMNDC1	-0.48524	0	0
EXO1	-0.50218	0	0
XPA	-0.52743	0	0
RNF8	-0.53715	0	0
ERCC1	-0.5416	0	0
UVSSA	-0.54968	0	0
LIN37	-0.58991	0	0
ANKRD32	-0.59398	0	0
LYL1	-0.59682	0	0
WSB1	-0.60328	0	0
hsa-mir-6893	-0.61157	0	0
C1orf112	-0.62039	0	0
APITD1	-0.6257	0	0
BIRC2	-0.63634	0	0
RAD17	-0.64721	0	0
TGFBR2	-0.64834	0	0
C1orf86	-0.67701	0	0
GCLC	-0.69246	0	0
C19orf40	-0.69623	0	0
STRA13	-0.69879	0	0
CCAR1	-0.70668	2	0
TRAF2	-0.721	0	0
SNRNP40	-0.72294	0	0
C7orf26	-0.72313	0	0
DCAF8	-0.73183	0	0
UBE2G1	-0.73631	0	0
NFRKB	-0.73748	0	0
FANCM	-0.74576	0	0
WDR26	-0.74856	0	0
ERCC4	-0.75384	0	0
RB1CC1	-0.78433	0	0
BCL2	-0.82888	0	0
RANBP9	-0.83674	0	0
UBE2H	-0.83884	0	0
C16orf80	-0.84912	0	0
TXNDC17	-0.88932	0	0
HUS1	-0.95024	0	0
CPPED1	-0.95408	0	0
C19orf43	-0.96154	0	0
POLH	-0.977	0	0
RAD9A	-0.98848	0	0
ERCC5	-1.0081	0	0
RAD1	-1.0602	0	0
FANCB	-1.0767	0	0
YPEL5	-1.0857	0	0
DYRK1A	-1.1692	0	0
FANCD2	-1.1835	0	0
FANCG	-1.425	0	0
PPM1D	-1.4666	0	0
HELQ	-1.4685	0	0
FANCF	-1.4741	0	0
FANCE	-1.553	0	0
UBE2T	-1.5685	0	0
FANCA	-1.587	0	0
LMO2	-1.5989	0	0
RAD18	-1.6352	0	0
SLX4IP	-1.8077	0	0
FANCL	-1.9354	0	0
UBE2D3	-1.9414	0	0
ATR	-2.1514	0	0
BRIP1	-2.6796	0	0
