gene_name	lfc	n_mutations	mtor_path
SLC19A1	4.8868	2	0
NAA60	4.4439	0	0
PPP2CA	3.2935	0	0
CNOT4	3.0542	0	0
HNRNPM	2.9752	0	0
CAD	2.9751	0	-1
DHODH	2.9139	0	-1
NAA30	2.8596	0	0
hsa-mir-3661	2.6787	0	0
CMIP	2.5951	0	0
TAF3	2.5783	0	0
PRKRIP1	2.53	0	0
AARS	2.5	0	0
hsa-mir-483	2.4661	0	0
GTF2A2	2.4642	0	0
SRRD	2.4112	0	0
PRPF38B	2.4075	0	0
YBX1	2.386	0	0
PPAT	2.3732	0	0
DHX35	2.3555	0	0
CXXC1	2.3469	0	0
POLE3	2.3263	0	0
CCNA2	2.3157	0	0
E2F1	2.2846	0	0
TAF11	2.2376	0	0
WDR83	2.1757	0	0
PPIH	2.1708	0	0
PQBP1	2.1696	0	0
RPL4	2.1541	0	0
ARIH1	2.119	0	0
SRSF10	2.0989	0	0
CDK2	2.0864	0	0
TIMM13	2.0794	0	0
CCDC130	2.0557	0	0
SIVA1	2.0092	0	0
hsa-mir-4419b	2.0001	0	0
PHF5A	1.9842	0	0
SLC30A1	1.973	0	0
GNB2L1	1.9707	0	0
WDR25	1.9463	0	0
CTNNBL1	1.9316	0	0
SNRPD1	1.9113	0	0
RPS27	1.8878	0	0
TMEM41B	1.8842	0	0
GMPPB	1.8823	0	0
EIF2B2	1.8804	0	0
EP400	1.8687	0	0
SMG7	1.8665	0	0
SIN3A	1.8608	0	0
FLCN	1.8456	0	0
SRSF11	1.8295	0	0
CCNT1	1.8284	0	0
NCDN	1.8241	0	0
SFSWAP	1.8061	0	0
MLST8	1.7831	0	1
ROMO1	1.7797	0	0
MTF1	1.7773	0	0
EIF5AL1	1.7751	0	0
PTBP1	1.7744	0	0
CTPS1	1.7715	0	0
SRRM1	1.7659	0	0
TAF5	1.7633	0	0
KAT5	1.7631	0	0
DNM2	1.7611	7	0
WDR82	1.7601	0	0
SCAP	1.7504	0	0
WDR24	1.747	0	0
DDX23	1.7444	0	0
STK11	1.7431	0	0
ATXN2L	1.7426	0	0
ELOF1	1.7256	0	0
HARS	1.7201	0	0
hsa-mir-1254-2	1.711	0	0
PPP1R8	1.6959	0	0
CHERP	1.6894	0	0
DHX15	1.6833	0	0
CHAF1B	1.68	0	0
PDXK	1.6728	0	0
EIF2S3	1.6717	0	0
MBNL1	1.6685	0	0
SETD1B	1.6561	3	0
NRF1	1.6537	0	0
SMARCA5	1.6531	2	0
TCEB2	1.6437	0	0
ATP2A2	1.6227	0	0
ASH2L	1.6203	0	0
BRD4	1.6094	0	0
SLC25A22	1.602	0	0
TFRC	1.5927	0	0
hsa-mir-5692c-2	1.587	0	0
LSM2	1.5847	0	0
RTEL1	1.5814	0	0
ZC3H4	1.577	0	0
SUV420H1	1.5739	0	0
WSB1	1.5715	0	0
PHAX	1.5704	0	0
NAA38	1.5594	0	0
RSRC2	1.5592	0	0
ATAD3A	1.5426	0	0
VHL	1.5383	0	0
MYBL2	1.5382	0	0
SMARCB1	1.5378	0	0
POLE4	1.5374	0	0
TAF13	1.5298	0	0
FAM50A	1.526	0	0
RPS15A	1.5246	0	0
GARS	1.5242	0	0
LDLR	1.5199	0	0
hsa-mir-7975	1.5098	0	0
LONP1	1.5073	0	0
EIF3I	1.5043	0	0
PIK3CD	1.504	3	1
NRBP1	1.5003	0	0
IARS2	1.4933	0	0
FAM96B	1.4814	0	0
TXNL4A	1.4778	0	0
hsa-mir-5684	1.4695	0	0
CRNKL1	1.4583	0	0
hsa-mir-4769	1.4578	0	0
ATP1B3	1.4573	0	0
DHDDS	1.4563	0	0
TFDP1	1.4545	0	0
RECQL4	1.4523	0	0
E2F3	1.4514	0	0
EED	1.445	0	0
