gene_name	lfc	n_mutations	mtor_path
hsa-mir-548ak	3.1945	0	0
NOP16	0.99505	0	0
DHODH	0.97316	0	-1
TRMT112	0.9559	0	0
TP53	0.93454	17	0
CRCP	0.91053	0	0
EIF3I	0.89706	0	0
POLR3H	0.83687	0	0
TMEM41B	0.8137	0	0
RNMT	0.7949	0	0
PELO	0.77119	0	0
NAA10	0.74754	0	0
CSNK2B	0.73021	0	0
ACSL4	0.71048	0	0
RIOK1	0.70358	0	0
DBR1	0.68401	0	0
IARS2	0.68105	0	0
RRP9	0.67563	0	0
YARS	0.6637	0	0
RPS15A	0.66266	0	0
BRF1	0.65289	0	0
LONP1	0.63887	0	0
DLD	0.63767	0	0
TP53BP1	0.62782	0	0
LARS2	0.62292	0	0
RABGGTB	0.61902	0	0
MLST8	0.6126	0	1
hsa-mir-142	0.59715	0	0
USP28	0.59389	0	0
GFPT1	0.59181	0	0
POLR2D	0.58032	0	0
RPS14	0.55028	0	0
TRAPPC11	0.54597	0	0
SPI1	0.5407	0	0
RPS19	0.53055	0	0
EMG1	0.51904	0	0
CSTF3	0.51597	0	0
EIF4E	0.50995	0	-1
MYC	0.50963	5	0
MED12	0.50913	4	0
MCM5	0.49848	0	0
ATP1B3	0.48964	0	0
NAA15	0.48771	0	0
ROMO1	0.47089	0	0
AHCY	0.46812	0	0
LIPT1	0.46702	0	0
NIP7	0.46462	0	0
UQCRC1	0.4634	0	0
SEC61B	0.4631	0	0
UBTF	0.46102	0	0
SPATA5L1	0.45885	0	0
DHX33	0.45578	0	0
CRLS1	0.45191	0	0
PABPC1	0.4511	0	0
EIF2B2	0.45076	0	0
IMP3	0.44598	0	0
PCBP2	0.44419	0	0
DHX15	0.44404	0	0
MRPS24	0.44074	0	0
EEFSEC	0.43905	0	0
SMARCB1	0.43799	0	0
RBBP4	0.43732	0	0
HNRNPM	0.43512	0	0
NOL9	0.43258	0	0
SHQ1	0.4298	0	0
PSMG4	0.42229	0	0
AASDHPPT	0.42054	0	0
C3orf17	0.41785	0	0
METTL14	0.41367	0	0
NOC4L	0.41354	0	0
TTF1	0.40986	0	0
RPP25L	0.4087	0	0
MDN1	0.40813	0	0
SPATA5	0.40768	0	0
RPP38	0.40635	0	0
MTHFD1	0.40516	0	0
NOB1	0.40438	0	0
KPNB1	0.40431	0	0
PHB2	0.40056	0	0
CTPS1	0.3991	0	0
SKIV2L2	0.3969	0	0
HINFP	0.39635	0	0
RPS11	0.39589	0	0
CPSF1	0.39581	0	0
C21orf59	0.39361	0	0
DAD1	0.39115	0	0
ATAD3A	0.38306	0	0
ISCA2	0.3823	0	0
RPS18	0.38204	0	0
POLR3B	0.38035	0	0
MRPL14	0.38028	0	0
UBE2I	0.37901	0	0
IMP4	0.37897	0	0
CDS2	0.37895	0	0
USP36	0.3788	0	0
NXT1	0.3778	0	0
TFAP4	0.37603	0	0
MEF2C	0.3749	0	0
EIF4A1	0.37422	0	0
MAPKAP1	0.37373	0	0
EIF3A	0.37166	0	0
CDC37	0.36945	0	0
TAF1B	0.36476	0	0
LSM11	0.36232	0	0
TMX2	0.35853	0	0
EXOSC4	0.35369	0	0
WDR24	0.35181	0	0
GPN3	0.35167	0	0
EIF3D	0.34875	0	0
TRAPPC3	0.34568	0	0
DDX10	0.34252	0	0
PPAT	0.3409	0	0
NUMA1	0.3408	0	0
DIMT1	0.33895	0	0
SARS2	0.33888	0	0
LIAS	0.33777	0	0
NPLOC4	0.33666	0	0
RPL15	0.33639	0	0
AK6	0.33577	0	0
MNAT1	0.33352	0	0
HYOU1	0.33038	0	0
UTP14A	0.33004	0	0
WDR92	0.32873	0	0
ASNA1	0.3251	0	0
HCCS	0.31963	0	0
DTYMK	0.31873	0	0
UXT	0.31684	0	0
PDCD11	0.3141	0	0
DDX49	0.3117	0	0
PGP	0.30772	0	0
SLC25A3	0.307	0	0
UTP15	0.30589	0	0
TRNT1	0.30408	0	0
EMC1	0.30207	0	0
MRPL53	0.30036	0	0
POLR3C	0.29934	0	0
EIF1AD	0.2988	0	0
TMA16	0.29582	0	0
LAMTOR5	0.29519	0	1
ZFR	0.29413	2	0
RFT1	0.29296	0	0
FPGS	0.29122	0	0
POLR3A	0.29093	0	0
MED21	0.28289	0	0
TAF10	0.28147	0	0
CIRH1A	0.28055	0	0
TAMM41	0.28047	0	0
SLC2A1	0.27875	0	0
NMT1	0.27485	0	0
VPRBP	0.26479	0	0
TAF12	0.26438	0	0
AKT1	0.2632	0	1
RPP21	0.26299	0	0
POLR1C	0.25714	0	0
GGPS1	0.2531	0	0
DAP3	0.25138	0	0
ARFRP1	0.24876	0	0
MAD1L1	0.24596	0	0
WDR83	0.24454	0	0
ERCC2	0.23881	0	0
LCE3A	0.23842	0	0
PRMT1	0.23732	0	0
RGP1	0.23545	0	0
WDR59	0.23009	2	0
DHDDS	0.21811	0	0
DDX47	0.2109	0	0
ZIC2	0.20798	0	0
DCAF13	0.20725	0	0
GEMIN8	0.20691	0	0
G6PD	0.20017	0	0
MINOS1	0.19692	0	0
METTL3	0.19565	0	0
ABT1	0.19539	0	0
TTL	0.19432	0	0
CDC7	0.19233	0	0
EIF3B	0.17876	0	0
DRAP1	0.16555	0	0
TSR1	0.15117	0	0
NDNL2	0.10299	0	0
EBF1	0.064787	0	0
ORAOV1	0.009785	0	0
TRAPPC5	0.0055942	0	0
COX10	-0.0044665	0	0
SF3A2	-0.010394	0	0
TP53RK	-0.023933	0	0
