name	taxID	num_of_read	num_of_contigs	longest_contig	len_longest_contig	RPMH
Neisseria meningitidis LNP21362	1386087	69	1	contig_5443	450	1.91
Corynebacterium glutamicum	1718	12	3	contig_1522	172	0.33
Myriangiales sp. A569	1750909	3	1	contig_3393	101	0.08
Haemophilus parainfluenzae T3T1	862965	1056	10	contig_1504	756	29.26
Stenotrophomonas rhizophila	216778	2	1	contig_2837	101	0.06
Acinetobacter pittii	48296	14	3	contig_10505	168	0.39
Shiraia bambusicola	224420	2	1	contig_9034	100	0.06
uncultured Frankia sp.	181582	5	2	contig_99	166	0.14
Bacillus thuringiensis str. Al Hakam	412694	7	2	contig_7561	101	0.19
Bacteroides fragilis	817	166	1	contig_4806	540	4.6
Rothia mucilaginosa DY-18	680646	2	1	contig_8191	101	0.06
Corynebacterium deserti GIMN1.010	931089	2	1	contig_8798	101	0.06
Deinococcus radiodurans R1	243230	3	1	contig_5700	100	0.08
Postia placenta Mad-698-R	561896	2	1	contig_7025	100	0.06
Actinomyces sp. oral taxon 414	712122	14	4	contig_8309	173	0.39
Cloning vector pLR5-Ppy-luc2	1898664	50	2	contig_6613	451	1.39
Streptococcus oralis Uo5	927666	4	1	contig_5779	101	0.11
Hymenobacter sp. APR13	1356852	2	1	contig_3347	100	0.06
Actinomycetospora sp.	1872135	6	1	contig_6525	214	0.17
Corynebacterium stationis	1705	221	10	contig_9017	411	6.12
Corynebacterium ureicelerivorans	401472	22	7	contig_9028	200	0.61
Tritodynamia horvathi	585954	41	1	contig_8115	183	1.14
uncultured organism	155900	45	6	contig_559	179	1.25
[Ruminococcus] torques L2-14	657313	6	1	contig_8856	172	0.17
bacterium	1869227	353	2	contig_9902	242	9.78
Corynebacterium humireducens NBRC 106098 = DSM...	1223515	9	3	contig_5558	147	0.25
Methylorubrum populi	223967	5	2	contig_2491	101	0.14
Coriobacteriaceae bacterium 68-1-3	1531429	3	1	contig_8536	101	0.08
Campylobacter jejuni	197	4	1	contig_11202	171	0.11
Human coronavirus 229E	11137	6	3	contig_1853	101	0.17
Streptococcus himalayensis	1888195	4	1	contig_7206	143	0.11
Corynebacterium epidermidicanis	1050174	8	4	contig_8392	101	0.22
Malassezia sympodialis ATCC 42132	1230383	34	9	contig_566	274	0.94
Lactobacillus johnsonii	33959	16	1	contig_8612	116	0.44
Streptococcus mitis	28037	1394	6	contig_6481	1216	38.62
Staphylococcus lugdunensis	28035	40	1	contig_5006	401	1.11
uncultured Propionibacterium sp.	218066	101	3	contig_456	192	2.8
Lactobacillus curvatus	28038	2	1	contig_8776	101	0.06
Finegoldia magna ATCC 29328	334413	31	3	contig_4130	202	0.86
Cladosporium cladosporioides	29917	6	1	contig_7015	100	0.17
Burkholderia sp. CCGE1002	640511	3	1	contig_9026	101	0.08
Pleurastrum insigne	34115	2	1	contig_9196	101	0.06
Human rhinovirus sp.	169066	3	1	contig_9673	138	0.08
Rhinovirus B	147712	6	3	contig_9075	125	0.17
Corynebacterium resistens DSM 45100	662755	14	4	contig_6375	146	0.39
Glutamicibacter arilaitensis	256701	6	1	contig_9301	128	0.17
Corynebacterium diphtheriae HC04	698970	2	1	contig_5610	101	0.06
uncultured Gemella sp.	254352	22	3	contig_3201	135	0.61
Corynebacterium ulcerans	65058	947	2	contig_9639	335	26.24
Acinetobacter sp. TGL-Y2	1407071	4	1	contig_107	198	0.11
Lactobacillus heilongjiangensis	1074467	83	1	contig_5122	256	2.3
Corynebacterium kroppenstedtii DSM 44385	645127	4	1	contig_2749	187	0.11
Clostridium chauvoei	46867	2	1	contig_3493	100	0.06
Streptococcus constellatus subsp. pharyngis	184250	21	3	contig_10762	134	0.58
Ezakiella massiliensis	1852374	13	2	contig_5130	166	0.36
Hymenobacter sp. DG25B	1385664	5	1	contig_4792	101	0.14
Corynebacterium kutscheri	35755	7	3	contig_8332	160	0.19
Aerococcus urinae ACS-120-V-Col10a	866775	2097	1	contig_5125	674	58.1
Cronobacter sakazakii	28141	0	1	contig_5106	106	0.0
Methylobacterium sp. C1	1479019	8	3	contig_5736	133	0.22
Rummeliibacillus stabekisii	241244	7	1	contig_10245	128	0.19
Bacillus muralis	264697	24	3	contig_5405	123	0.66
Selenomonas sp. oral taxon 920	1884263	0	1	contig_6167	117	0.0
uncultured Atopobium sp.	274587	7	1	contig_10720	261	0.19
Acidipropionibacterium acidipropionici ATCC 4875	1171373	8	1	contig_7009	153	0.22
uncultured Dialister sp.	278064	4	1	contig_11397	105	0.11
uncultured Sneathia sp.	278067	26	1	contig_945	164	0.72
Lactobacillus salivarius	1624	10	1	contig_236	265	0.28
Tylorida ventralis	1654948	7	1	contig_5300	100	0.19
Pseudomonas denitrificans (nomen rejiciendum)	43306	11	2	contig_8395	139	0.3
Cloning vector pUC19TpTer	1918677	398	1	contig_6287	1685	11.03
Anoxybacillus gonensis	198467	3	1	contig_8990	100	0.08
Castanea sativa	21020	4	1	contig_2829	101	0.11
Pseudarthrobacter phenanthrenivorans Sphe3	930171	3	1	contig_9237	100	0.08
Veillonella parvula DSM 2008	479436	654	38	contig_10643	704	18.12
Pasteurella multocida	747	3	1	contig_9949	104	0.08
Streptomyces puniciscabiei	164348	4	1	contig_6875	166	0.11
Telmatoscopus albipunctatus	1255143	3	1	contig_4107	101	0.08
Nakamurella panacisegetis	1090615	3	1	contig_7415	123	0.08
Corynebacterium timonense	441500	2	2	contig_1863	106	0.06
Enterococcus silesiacus	332949	6	1	contig_8025	108	0.17
Frankia inefficax	298654	4	1	contig_11312	101	0.11
Neisseria elongata subsp. glycolytica ATCC 29315	546263	241	4	contig_5281	647	6.68
Staphylococcus sp. KSUM_33	1908468	39	1	contig_3984	309	1.08
Burkholderia pseudomallei MSHR1153	1437000	24	1	contig_6004	192	0.66
Streptococcus mitis B6	365659	687	3	contig_1869	736	19.03
Prevotella scopos JCM 17725	1236518	63	10	contig_2858	173	1.75
Deinococcus deserti VCD115	546414	3	1	contig_1138	145	0.08
Corynebacterium sp. NML98-0116	702967	561	4	contig_11076	143	15.54
Staphylococcus capitis CR01	1296619	13	2	contig_8317	173	0.36
Micrococcus luteus	1270	29	7	contig_10143	194	0.8
Dothideomycetes sp. genotype 630 JMUR-2016	1919727	2	1	contig_2240	100	0.06
Sphingobium sp. SYK-6	627192	2	1	contig_5840	101	0.06
Dermacoccus nishinomiyaensis	1274	25	5	contig_9703	155	0.69
Kytococcus sedentarius	1276	2	1	contig_929	100	0.06
Glyptapanteles flavicoxis bracovirus	451706	3	1	contig_4980	113	0.08
Pseudomonas vancouverensis	95300	2	1	contig_8394	104	0.06
Streptococcus parasanguinis	1318	61	2	contig_5120	448	1.69
Tissierellia bacterium KA00581	1588751	169	1	contig_3822	179	4.68
Staphylococcus aureus	1280	122	6	contig_796	343	3.38
Staphylococcus haemolyticus	1283	20	3	contig_668	178	0.55
Staphylococcus epidermidis	1282	223	5	contig_8316	509	6.18
Thermoanaerobacter wiegelii Rt8.B1	697303	2	1	contig_2722	127	0.06
Sporosarcina psychrophila	1476	3	1	contig_9751	108	0.08
Encheliophis vermiops	1819256	5	1	contig_3818	100	0.14
Streptococcus parasanguinis FW213	1114965	4	1	contig_237	101	0.11
Streptococcus salivarius	1304	116	4	contig_8396	420	3.21
Actinomyces meyeri	52773	49	8	contig_10197	252	1.36
Streptococcus gordonii	1302	419	10	contig_3720	420	11.61
Anaerococcus mediterraneensis	1870984	33	6	contig_7547	291	0.91
Streptococcus mutans	1309	6	1	contig_10874	100	0.17
Marmoricola scoriae	642780	2	1	contig_11100	101	0.06
Arthrobacter sp. YC-RL1	1652545	2	1	contig_3023	101	0.06
Carnobacterium sp. 17-4	208596	2	1	contig_5633	101	0.06
Neisseria macacae	496	4	1	contig_4033	143	0.11
Propionibacterium sp. oral taxon 193	671223	453	4	contig_914	195	12.55
uncultured Neisseria sp.	237778	25	1	contig_4696	204	0.69
Malassezia globosa CBS 7966	425265	8	3	contig_1155	101	0.22
Aerococcus viridans	1377	586	3	contig_5998	269	16.23
Curvibacter putative symbiont of Hydra magnipa...	667019	3	1	contig_11241	173	0.08
Sphingomonas sp.	28214	3	1	contig_4701	123	0.08
Salmonella enterica subsp. enterica serovar Ne...	108619	5	1	contig_10497	156	0.14
Gardnerella vaginalis 409-05	553190	5	2	contig_7674	101	0.14
uncultured Clostridia bacterium	244328	3	1	contig_3825	179	0.08
Pseudomonas protegens	380021	2	1	contig_31	101	0.06
Carnobacterium maltaromaticum ATCC 35586	1087479	13	1	contig_11013	299	0.36
Corynebacterium efficiens YS-314	196164	17	4	contig_9709	126	0.47
Rosa roxburghii	74654	5	1	contig_5813	179	0.14
Bacillus licheniformis WX-02	1126218	545	1	contig_4093	404	15.1
Delftia tsuruhatensis	180282	14	3	contig_3845	215	0.39
Corynebacterium halotolerans YIM 70093 = DSM 4...	1121362	7	3	contig_2863	116	0.19
Corynebacterium propinquum DSM 44285	1121367	18	2	contig_8619	200	0.5
Prevotella melaninogenica	28132	390	17	contig_6241	1193	10.8
Prevotella intermedia	28131	255	15	contig_7355	805	7.06
Klebsiella quasipneumoniae	1463165	81	6	contig_6221	124	2.24
Corynebacterium jeikeium K411	306537	4	1	contig_8635	100	0.11
Prevotella ihumii	1917878	14	1	contig_4704	141	0.39
unidentified	32644	7	1	contig_11003	154	0.19
Lactobacillus crispatus ST1	748671	2	1	contig_1172	100	0.06
Sinorhizobium fredii NGR234	394	3	1	contig_2113	123	0.08
Capnocytophaga sp. oral taxon 323	1705617	14	4	contig_10466	196	0.39
Corynebacterium diphtheriae	1717	1804	6	contig_6873	508	49.98
Acidovorax sp.	1872122	8	1	contig_8342	130	0.22
Corynebacterium pseudodiphtheriticum	37637	891	4	contig_4729	675	24.68
Caulobacteraceae bacterium OTSz_A_272	1759059	2	1	contig_5661	101	0.06
Granulicatella adiacens	46124	2	1	contig_323	126	0.06
Microterricola viridarii	412690	3	1	contig_1498	100	0.08
uncultured prokaryote	198431	32	2	contig_3938	194	0.89
