length	height
2500000	4
2500000	45
2500000	18
2500000	41
2500000	59
2500000	2
2500000	16
2500000	85
2500000	41
2500000	44
2500000	36
2500000	66
2500000	72
2500000	0
2500000	54
2500000	81
2500000	12
2500000	10
2500000	78
2500000	78
2500000	40
2500000	74
2500000	16
2500000	87
2500000	9
2500000	3
2500000	31
2500000	36
2500000	2
2500000	9
2500000	75
2500000	97
2500000	74
2500000	69
2500000	63
2500000	15
2500000	39
2500000	75
2500000	49
2500000	57
2500000	40
2500000	57
2500000	59
2500000	6
2500000	71
2500000	70
2500000	6
2500000	32
2500000	42
2500000	53
2500000	51
2500000	79
2500000	16
2500000	21
2500000	6
2500000	74
2500000	35
2500000	68
2500000	58
2500000	61
2500000	1
2500000	21
2500000	79
2500000	35
2500000	24
2500000	11
2500000	53
2500000	87
2500000	88
2500000	85
2500000	25
2500000	14
2500000	95
2500000	30
2500000	71
2500000	8
2500000	37
2500000	46
