region	chromosome	position
chr1:191116008-191126008	chr1	191115932
chr1:191116008-191126008	chr1	191116093
chr1:191116008-191126008	chr1	191116093
chr1:191116008-191126008	chr1	191116266
chr1:191116008-191126008	chr1	191116312
chr1:191116008-191126008	chr1	191116475
chr1:191116008-191126008	chr1	191116475
chr1:191116008-191126008	chr1	191116475
chr1:191116008-191126008	chr1	191116716
chr1:191116008-191126008	chr1	191116719
chr1:191116008-191126008	chr1	191116799
chr1:191116008-191126008	chr1	191116863
chr1:191116008-191126008	chr1	191116863
chr1:191116008-191126008	chr1	191116959
chr1:191116008-191126008	chr1	191117189
chr1:191116008-191126008	chr1	191117189
chr1:191116008-191126008	chr1	191117393
chr1:191116008-191126008	chr1	191117393
chr1:191116008-191126008	chr1	191117438
chr1:191116008-191126008	chr1	191117438
chr1:191116008-191126008	chr1	191117703
chr1:191116008-191126008	chr1	191117750
chr1:191116008-191126008	chr1	191118377
chr1:191116008-191126008	chr1	191118377
chr1:191116008-191126008	chr1	191118377
chr1:191116008-191126008	chr1	191118377
chr1:191116008-191126008	chr1	191118460
chr1:191116008-191126008	chr1	191118460
chr1:191116008-191126008	chr1	191118467
chr1:191116008-191126008	chr1	191118480
chr1:191116008-191126008	chr1	191118487
chr1:191116008-191126008	chr1	191118608
chr1:191116008-191126008	chr1	191118672
chr1:191116008-191126008	chr1	191118672
chr1:191116008-191126008	chr1	191118687
chr1:191116008-191126008	chr1	191118687
chr1:191116008-191126008	chr1	191118687
chr1:191116008-191126008	chr1	191118828
chr1:191116008-191126008	chr1	191118852
chr1:191116008-191126008	chr1	191118861
chr1:191116008-191126008	chr1	191118988
chr1:191116008-191126008	chr1	191118988
chr1:191116008-191126008	chr1	191118997
chr1:191116008-191126008	chr1	191119005
chr1:191116008-191126008	chr1	191119011
chr1:191116008-191126008	chr1	191119011
chr1:191116008-191126008	chr1	191119011
chr1:191116008-191126008	chr1	191119023
chr1:191116008-191126008	chr1	191119023
chr1:191116008-191126008	chr1	191119033
chr1:191116008-191126008	chr1	191119049
chr1:191116008-191126008	chr1	191119049
chr1:191116008-191126008	chr1	191119090
chr1:191116008-191126008	chr1	191119090
chr1:191116008-191126008	chr1	191119090
chr1:191116008-191126008	chr1	191119121
chr1:191116008-191126008	chr1	191119121
chr1:191116008-191126008	chr1	191119165
chr1:191116008-191126008	chr1	191119244
chr1:191116008-191126008	chr1	191119244
chr1:191116008-191126008	chr1	191119281
chr1:191116008-191126008	chr1	191119281
chr1:191116008-191126008	chr1	191119455
chr1:191116008-191126008	chr1	191119500
chr1:191116008-191126008	chr1	191119537
chr1:191116008-191126008	chr1	191119599
chr1:191116008-191126008	chr1	191119603
chr1:191116008-191126008	chr1	191119603
chr1:191116008-191126008	chr1	191119603
chr1:191116008-191126008	chr1	191119635
chr1:191116008-191126008	chr1	191119650
chr1:191116008-191126008	chr1	191119703
chr1:191116008-191126008	chr1	191119703
chr1:191116008-191126008	chr1	191119708
chr1:191116008-191126008	chr1	191119708
chr1:191116008-191126008	chr1	191119756
chr1:191116008-191126008	chr1	191119759
chr1:191116008-191126008	chr1	191119771
chr1:191116008-191126008	chr1	191119771
chr1:191116008-191126008	chr1	191119784
chr1:191116008-191126008	chr1	191119803
chr1:191116008-191126008	chr1	191119814
chr1:191116008-191126008	chr1	191119814
chr1:191116008-191126008	chr1	191119990
chr1:191116008-191126008	chr1	191120039
chr1:191116008-191126008	chr1	191120120
chr1:191116008-191126008	chr1	191120132
chr1:191116008-191126008	chr1	191120188
chr1:191116008-191126008	chr1	191120188
chr1:191116008-191126008	chr1	191120188
chr1:191116008-191126008	chr1	191120233
chr1:191116008-191126008	chr1	191120233
chr1:191116008-191126008	chr1	191120233
chr1:191116008-191126008	chr1	191120233
chr1:191116008-191126008	chr1	191120240
chr1:191116008-191126008	chr1	191120290
chr1:191116008-191126008	chr1	191120330
chr1:191116008-191126008	chr1	191120330
chr1:191116008-191126008	chr1	191120331
chr1:191116008-191126008	chr1	191120336
chr1:191116008-191126008	chr1	191120351
chr1:191116008-191126008	chr1	191120421
chr1:191116008-191126008	chr1	191120421
chr1:191116008-191126008	chr1	191120442
chr1:191116008-191126008	chr1	191120462
chr1:191116008-191126008	chr1	191120476
chr1:191116008-191126008	chr1	191120501
chr1:191116008-191126008	chr1	191120501
chr1:191116008-191126008	chr1	191120501
chr1:191116008-191126008	chr1	191120517
