Rname	Junction
chr1	11232487
chr1	14232015
chr1	20674154
chr1	20674154
chr1	20674154
chr1	20674154
chr1	27515179
chr1	60067842
chr1	73666768
chr1	78084227
chr1	82131334
chr1	82569397
chr1	90538682
chr1	92028868
chr1	107829959
chr1	113904192
chr1	121767750
chr1	123111663
chr1	148113237
chr1	155057742
chr10	4939264
chr10	9588070
chr10	56420433
chr10	60202579
chr10	60202579
chr10	60202579
chr10	60202579
chr10	73020865
chr10	78155233
chr10	94902859
chr10	96794616
chr11	13448857
chr11	13448857
chr11	20694924
chr11	37013905
chr11	59793225
chr11	69127528
chr11	82310726
chr11	82969588
chr11	85877229
chr11	97708540
chr11	98193830
chr11	110645403
chr12	27339516
chr12	28359019
chr12	40893721
chr12	69171685
chr12	80441532
chr12	80441532
chr12	80441532
chr12	80441532
chr12	80441532
chr12	80441532
chr12	80441533
chr12	80441536
chr12	80441537
chr12	80441537
chr12	80441537
chr12	80441537
chr12	80441537
chr12	80441540
chr12	80441540
chr12	80441541
chr12	87379836
chr12	109744780
chr12	109744783
chr12	113426519
chr13	5845917
chr13	6279536
chr13	22162286
chr13	23315179
chr13	28452659
chr13	42891351
chr13	43011063
chr13	44040490
chr13	48838257
chr13	52909847
chr13	62964857
chr13	80783180
chr14	12766154
chr14	14839183
chr14	15755054
chr14	19781391
chr14	33073683
chr14	56694151
chr14	56694151
chr14	56694321
chr14	68739309
chr14	85733333
chr14	85733333
chr14	92706434
chr14	92706434
chr14	92706434
chr14	96228585
chr15	36087280
chr15	79673072
chr15	81935789
chr15	93690386
chr15	100030714
chr15	102420504
chr16	13614958
chr16	28420923
chr16	33337110
chr16	34122735
chr16	57343345
chr16	69513286
chr17	4060904
chr17	7455009
chr17	7952457
chr17	15218558
chr17	17115143
chr17	24665311
chr17	24666015
chr17	24666020
chr17	24666024
chr17	24666052
chr17	32135055
chr17	51617620
chr17	79239001
chr17	79239001
chr17	81715725
chr17	84175465
chr17	86300455
chr17	94265589
chr18	7494769
chr18	19537975
chr18	34683207
chr18	46585028
chr18	46585028
chr18	49990312
chr18	49990312
chr18	52811882
chr18	55766179
chr18	66814561
chr18	69570284
chr18	69570284
chr18	76885680
chr18	86650432
chr18	87905726
chr19	29857311
chr19	46074808
chr19	55506445
chr2	5379214
chr2	13231345
chr2	31193095
chr2	31193095
chr2	31947454
chr2	86554602
chr2	98962147
chr2	125305850
chr2	130772071
chr2	131455741
chr2	166179448
chr3	16099735
chr3	16099736
chr3	16099738
chr3	16099740
chr3	25488980
chr3	27678718
chr3	49510103
chr3	49510103
chr3	52999775
chr3	66023153
chr3	67621108
chr3	89166356
chr3	107232812
chr3	108843712
chr3	120261593
chr3	156468243
chr4	21260395
chr4	21260400
chr4	34694117
chr4	38445336
chr4	57099307
chr4	62378109
chr4	68198471
chr4	79944246
chr4	89101040
chr4	117729538
chr4	124176872
chr4	124480350
chr4	129608790
chr4	132504811
chr4	147477697
chr4	150030291
chr5	15873415
chr5	17571093
chr5	17776731
chr5	28174707
chr5	34914981
