region	chromosome	position
chr1:191116008-191126008	chr1	191116131
chr1:191116008-191126008	chr1	191116131
chr1:191116008-191126008	chr1	191116139
chr1:191116008-191126008	chr1	191116139
chr1:191116008-191126008	chr1	191116230
chr1:191116008-191126008	chr1	191116230
chr1:191116008-191126008	chr1	191117428
chr1:191116008-191126008	chr1	191117428
chr1:191116008-191126008	chr1	191117474
chr1:191116008-191126008	chr1	191117474
chr1:191116008-191126008	chr1	191118188
chr1:191116008-191126008	chr1	191118206
chr1:191116008-191126008	chr1	191118378
chr1:191116008-191126008	chr1	191118378
chr1:191116008-191126008	chr1	191118411
chr1:191116008-191126008	chr1	191119049
chr1:191116008-191126008	chr1	191119051
chr1:191116008-191126008	chr1	191119075
chr1:191116008-191126008	chr1	191119075
chr1:191116008-191126008	chr1	191119075
chr1:191116008-191126008	chr1	191119075
chr1:191116008-191126008	chr1	191119075
chr1:191116008-191126008	chr1	191119075
chr1:191116008-191126008	chr1	191119075
chr1:191116008-191126008	chr1	191119075
chr1:191116008-191126008	chr1	191119075
chr1:191116008-191126008	chr1	191119075
chr1:191116008-191126008	chr1	191119075
chr1:191116008-191126008	chr1	191119075
chr1:191116008-191126008	chr1	191119094
chr1:191116008-191126008	chr1	191119094
chr1:191116008-191126008	chr1	191119094
chr1:191116008-191126008	chr1	191119094
chr1:191116008-191126008	chr1	191119168
chr1:191116008-191126008	chr1	191119168
chr1:191116008-191126008	chr1	191119185
chr1:191116008-191126008	chr1	191119185
chr1:191116008-191126008	chr1	191119277
chr1:191116008-191126008	chr1	191119304
chr1:191116008-191126008	chr1	191119304
chr1:191116008-191126008	chr1	191119304
chr1:191116008-191126008	chr1	191119304
chr1:191116008-191126008	chr1	191119311
chr1:191116008-191126008	chr1	191119671
chr1:191116008-191126008	chr1	191119671
chr1:191116008-191126008	chr1	191119675
chr1:191116008-191126008	chr1	191119675
chr1:191116008-191126008	chr1	191119804
chr1:191116008-191126008	chr1	191119804
chr1:191116008-191126008	chr1	191120127
chr1:191116008-191126008	chr1	191120217
chr1:191116008-191126008	chr1	191120223
chr1:191116008-191126008	chr1	191120259
chr1:191116008-191126008	chr1	191120309
chr1:191116008-191126008	chr1	191120309
chr1:191116008-191126008	chr1	191120309
chr1:191116008-191126008	chr1	191120309
chr1:191116008-191126008	chr1	191120309
chr1:191116008-191126008	chr1	191120309
chr1:191116008-191126008	chr1	191120309
chr1:191116008-191126008	chr1	191120309
chr1:191116008-191126008	chr1	191120309
chr1:191116008-191126008	chr1	191120309
chr1:191116008-191126008	chr1	191120555
chr1:191116008-191126008	chr1	191120555
chr1:191116008-191126008	chr1	191120555
chr1:191116008-191126008	chr1	191120555
chr1:191116008-191126008	chr1	191120555
chr1:191116008-191126008	chr1	191120555
chr1:191116008-191126008	chr1	191120555
chr1:191116008-191126008	chr1	191120555
chr1:191116008-191126008	chr1	191120575
chr1:191116008-191126008	chr1	191120575
chr1:191116008-191126008	chr1	191120575
chr1:191116008-191126008	chr1	191120575
chr1:191116008-191126008	chr1	191120779
chr1:191116008-191126008	chr1	191120779
chr1:191116008-191126008	chr1	191120779
chr1:191116008-191126008	chr1	191120779
chr1:191116008-191126008	chr1	191120860
chr1:191116008-191126008	chr1	191120860
chr1:191116008-191126008	chr1	191121514
chr1:191116008-191126008	chr1	191121514
chr1:191116008-191126008	chr1	191121529
chr1:191116008-191126008	chr1	191121529
chr1:191116008-191126008	chr1	191121541
chr1:191116008-191126008	chr1	191121541
chr1:191116008-191126008	chr1	191121763
chr1:191116008-191126008	chr1	191121763
chr1:191116008-191126008	chr1	191122076
chr1:191116008-191126008	chr1	191122076
chr1:191116008-191126008	chr1	191122836
chr1:191116008-191126008	chr1	191122863
chr1:191116008-191126008	chr1	191122863
chr1:191116008-191126008	chr1	191122885
chr1:191116008-191126008	chr1	191122885
chr1:191116008-191126008	chr1	191122885
chr1:191116008-191126008	chr1	191122885
chr1:191116008-191126008	chr1	191122900
chr1:191116008-191126008	chr1	191122955
chr1:191116008-191126008	chr1	191122984
chr1:191116008-191126008	chr1	191123123
chr1:191116008-191126008	chr1	191123173
chr1:191116008-191126008	chr1	191123289
chr1:191116008-191126008	chr1	191123289
chr1:191116008-191126008	chr1	191123441
chr1:191116008-191126008	chr1	191123441
chr1:191116008-191126008	chr1	191123807
chr1:191116008-191126008	chr1	191123807
chr1:191116008-191126008	chr1	191123912
chr1:191116008-191126008	chr1	191123912
chr1:191116008-191126008	chr1	191123946
chr1:191116008-191126008	chr1	191124014
chr1:191116008-191126008	chr1	191124057
chr1:191116008-191126008	chr1	191124120
chr1:191116008-191126008	chr1	191124318
chr1:191116008-191126008	chr1	191124318
chr1:191116008-191126008	chr1	191124318
chr1:191116008-191126008	chr1	191124318
chr1:191116008-191126008	chr1	191124339
