chromosome	position
chrR	6448
chrR	6448
chrR	6449
chrR	6449
chrR	6449
chrR	6449
chrR	6449
chrR	6449
chrR	6449
chrR	6449
chrR	6449
chrR	6449
chrR	6449
chrR	6449
chrR	6449
chrR	6450
chrR	6450
chrR	6450
chrR	6451
chrR	6451
chrR	6451
chrR	6451
chrR	6451
chrR	6451
chrR	6451
chrR	6452
chrR	6452
chrR	6452
chrR	6454
chrR	6454
chrR	6454
chrR	6454
chrR	6455
chrR	6455
chrR	6455
chrR	6455
chrR	6455
chrR	6455
chrR	6455
chrR	6455
chrR	6455
chrR	6455
chrR	6455
chrR	6455
chrR	6455
chrR	6456
chrR	6456
chrR	6456
chrR	6456
chrR	6456
chrR	6456
chrR	6456
chrR	6456
chrR	6456
chrR	6456
chrR	6456
chrR	6457
chrR	6459
chrR	6459
chrR	6460
chrR	6460
chrR	6460
chrR	6460
chrR	6460
chrR	6460
chrR	6460
chrR	6460
chrR	6462
chrR	6462
chrR	6464
chrR	6464
chrR	6464
chrR	6464
chrR	6464
chrR	6464
chrR	6464
chrR	6464
chrR	6464
chrR	6465
chrR	6465
chrR	6465
chrR	6466
chrR	6466
chrR	6466
chrR	6466
chrR	6466
chrR	6466
chrR	6466
chrR	6466
chrR	6466
chrR	6466
chrR	6466
chrR	6466
chrR	6466
chrR	6466
chrR	6466
chrR	6466
chrR	6466
chrR	6466
chrR	6466
chrR	6466
chrR	6466
chrR	6466
chrR	6466
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6467
chrR	6468
chrR	6469
chrR	6470
chrR	6470
chrR	6470
chrR	6470
chrR	6471
chrR	6471
chrR	6471
chrR	6471
chrR	6471
chrR	6471
chrR	6471
chrR	6471
chrR	6471
chrR	6471
chrR	6471
chrR	6471
chrR	6471
chrR	6471
chrR	6471
chrR	6471
chrR	6472
chrR	6472
chrR	6472
chrR	6472
chrR	6472
chrR	6472
chrR	6473
chrR	6473
chrR	6473
chrR	6473
chrR	6474
chrR	6474
chrR	6474
chrR	6474
chrR	6474
chrR	6474
chrR	6474
chrR	6474
chrR	6474
chrR	6474
chrR	6474
chrR	6474
chrR	6474
chrR	6474
chrR	6474
chrR	6474
chrR	6474
chrR	6474
chrR	6475
chrR	6476
chrR	6476
chrR	6476
chrR	6476
chrR	6476
chrR	6476
chrR	6476
chrR	6476
chrR	6476
chrR	6476
chrR	6476
chrR	6476
chrR	6476
chrR	6476
chrR	6476
chrR	6476
chrR	6477
chrR	6477
chrR	6477
chrR	6479
chrR	6479
chrR	6479
chrR	6479
chrR	6479
chrR	6479
chrR	6479
chrR	6479
chrR	6479
chrR	6479
chrR	6479
chrR	6479
chrR	6479
chrR	6479
chrR	6479
chrR	6479
chrR	6479
chrR	6480
chrR	6480
chrR	6480
chrR	6480
chrR	6481
chrR	6481
chrR	6481
chrR	6481
chrR	6481
chrR	6481
chrR	6481
chrR	6481
chrR	6481
chrR	6481
chrR	6481
chrR	6482
chrR	6482
chrR	6483
chrR	6483
chrR	6483
chrR	6484
chrR	6484
chrR	6484
chrR	6484
chrR	6484
chrR	6484
chrR	6484
chrR	6484
chrR	6484
chrR	6484
chrR	6484
chrR	6484
chrR	6484
chrR	6485
chrR	6485
chrR	6485
chrR	6485
chrR	6485
chrR	6485
chrR	6485
chrR	6485
chrR	6486
chrR	6488
chrR	6488
chrR	6488
chrR	6488
chrR	6488
chrR	6488
chrR	6489
chrR	6489
chrR	6490
chrR	6490
chrR	6490
chrR	6490
chrR	6490
chrR	6490
chrR	6490
chrR	6490
chrR	6490
chrR	6490
chrR	6490
chrR	6491
chrR	6491
chrR	6492
chrR	6492
chrR	6492
chrR	6492
chrR	6492
chrR	6492
chrR	6492
chrR	6492
chrR	6492
chrR	6492
chrR	6492
chrR	6492
chrR	6492
chrR	6492
chrR	6492
chrR	6492
chrR	6492
chrR	6492
chrR	6492
chrR	6492
chrR	6492
chrR	6492
chrR	6493
chrR	6493
chrR	6493
chrR	6494
chrR	6494
chrR	6494
chrR	6495
chrR	6495
chrR	6495
chrR	6495
chrR	6495
chrR	6495
chrR	6495
chrR	6495
chrR	6495
chrR	6495
chrR	6495
chrR	6495
chrR	6495
chrR	6495
chrR	6495
chrR	6495
