region	chromosome	position
chr1:191116008-191126008	chr1	191116142
chr1:191116008-191126008	chr1	191116364
chr1:191116008-191126008	chr1	191116405
chr1:191116008-191126008	chr1	191116405
chr1:191116008-191126008	chr1	191116767
chr1:191116008-191126008	chr1	191116769
chr1:191116008-191126008	chr1	191116892
chr1:191116008-191126008	chr1	191117203
chr1:191116008-191126008	chr1	191117242
chr1:191116008-191126008	chr1	191117913
chr1:191116008-191126008	chr1	191117952
chr1:191116008-191126008	chr1	191118017
chr1:191116008-191126008	chr1	191118104
chr1:191116008-191126008	chr1	191118145
chr1:191116008-191126008	chr1	191118198
chr1:191116008-191126008	chr1	191118340
chr1:191116008-191126008	chr1	191118426
chr1:191116008-191126008	chr1	191118434
chr1:191116008-191126008	chr1	191118477
chr1:191116008-191126008	chr1	191118534
chr1:191116008-191126008	chr1	191118603
chr1:191116008-191126008	chr1	191118843
chr1:191116008-191126008	chr1	191118903
chr1:191116008-191126008	chr1	191118983
chr1:191116008-191126008	chr1	191118993
chr1:191116008-191126008	chr1	191119047
chr1:191116008-191126008	chr1	191119220
chr1:191116008-191126008	chr1	191119240
chr1:191116008-191126008	chr1	191119266
chr1:191116008-191126008	chr1	191119269
chr1:191116008-191126008	chr1	191119361
chr1:191116008-191126008	chr1	191119367
chr1:191116008-191126008	chr1	191119413
chr1:191116008-191126008	chr1	191119824
chr1:191116008-191126008	chr1	191119950
chr1:191116008-191126008	chr1	191120173
chr1:191116008-191126008	chr1	191120199
chr1:191116008-191126008	chr1	191120226
chr1:191116008-191126008	chr1	191120349
chr1:191116008-191126008	chr1	191120413
chr1:191116008-191126008	chr1	191120505
chr1:191116008-191126008	chr1	191120564
chr1:191116008-191126008	chr1	191120574
chr1:191116008-191126008	chr1	191120589
chr1:191116008-191126008	chr1	191120594
chr1:191116008-191126008	chr1	191120621
chr1:191116008-191126008	chr1	191120646
chr1:191116008-191126008	chr1	191120681
chr1:191116008-191126008	chr1	191120740
chr1:191116008-191126008	chr1	191120763
chr1:191116008-191126008	chr1	191120765
chr1:191116008-191126008	chr1	191120779
chr1:191116008-191126008	chr1	191120791
chr1:191116008-191126008	chr1	191120806
chr1:191116008-191126008	chr1	191120821
chr1:191116008-191126008	chr1	191120831
chr1:191116008-191126008	chr1	191120831
chr1:191116008-191126008	chr1	191120854
chr1:191116008-191126008	chr1	191120856
chr1:191116008-191126008	chr1	191120859
chr1:191116008-191126008	chr1	191120874
chr1:191116008-191126008	chr1	191120876
chr1:191116008-191126008	chr1	191120878
chr1:191116008-191126008	chr1	191120887
chr1:191116008-191126008	chr1	191120889
chr1:191116008-191126008	chr1	191120902
chr1:191116008-191126008	chr1	191120942
chr1:191116008-191126008	chr1	191120986
chr1:191116008-191126008	chr1	191121010
chr1:191116008-191126008	chr1	191121013
chr1:191116008-191126008	chr1	191121067
chr1:191116008-191126008	chr1	191121384
chr1:191116008-191126008	chr1	191121412
chr1:191116008-191126008	chr1	191121502
chr1:191116008-191126008	chr1	191121548
chr1:191116008-191126008	chr1	191121618
chr1:191116008-191126008	chr1	191121624
chr1:191116008-191126008	chr1	191121853
chr1:191116008-191126008	chr1	191121933
chr1:191116008-191126008	chr1	191121944
chr1:191116008-191126008	chr1	191122019
chr1:191116008-191126008	chr1	191122021
chr1:191116008-191126008	chr1	191122036
chr1:191116008-191126008	chr1	191122069
chr1:191116008-191126008	chr1	191122078
chr1:191116008-191126008	chr1	191122286
chr1:191116008-191126008	chr1	191122337
chr1:191116008-191126008	chr1	191122380
chr1:191116008-191126008	chr1	191122432
chr1:191116008-191126008	chr1	191122509
chr1:191116008-191126008	chr1	191122577
chr1:191116008-191126008	chr1	191122673
chr1:191116008-191126008	chr1	191122715
chr1:191116008-191126008	chr1	191122744
chr1:191116008-191126008	chr1	191122885
chr1:191116008-191126008	chr1	191122932
chr1:191116008-191126008	chr1	191123268
chr1:191116008-191126008	chr1	191123407
chr1:191116008-191126008	chr1	191123413
chr1:191116008-191126008	chr1	191123416
chr1:191116008-191126008	chr1	191123481
chr1:191116008-191126008	chr1	191123556
chr1:191116008-191126008	chr1	191123722
chr1:191116008-191126008	chr1	191123819
chr1:191116008-191126008	chr1	191123870
chr1:191116008-191126008	chr1	191124001
chr1:191116008-191126008	chr1	191124044
chr1:191116008-191126008	chr1	191124045
chr1:191116008-191126008	chr1	191124077
chr1:191116008-191126008	chr1	191124184
chr1:191116008-191126008	chr1	191124189
chr1:191116008-191126008	chr1	191124207
chr1:191116008-191126008	chr1	191124274
chr1:191116008-191126008	chr1	191124392
chr1:191116008-191126008	chr1	191124470
chr1:191116008-191126008	chr1	191124489
chr1:191116008-191126008	chr1	191124515
chr1:191116008-191126008	chr1	191124521
chr1:191116008-191126008	chr1	191124522
chr1:191116008-191126008	chr1	191124775
chr1:191116008-191126008	chr1	191125405
chr1:191116008-191126008	chr1	191125723
chr1:191116008-191126008	chr1	191125761
chr1:191116008-191126008	chr1	191125782
chr1:191116008-191126008	chr1	191125884
chr1:191116008-191126008	chr1	191125908
chr1:191116008-191126008	chr1	191125979
chr1:191116008-191126008	chr1	191125996
chr1:93147786-93157786	chr1	93147963
chr1:93147786-93157786	chr1	93148180
