region	chromosome	position
chr1:191116008-191126008	chr1	191117219
chr1:191116008-191126008	chr1	191117428
chr1:191116008-191126008	chr1	191117495
chr1:191116008-191126008	chr1	191118128
chr1:191116008-191126008	chr1	191118166
chr1:191116008-191126008	chr1	191118446
chr1:191116008-191126008	chr1	191118466
chr1:191116008-191126008	chr1	191118505
chr1:191116008-191126008	chr1	191118528
chr1:191116008-191126008	chr1	191118621
chr1:191116008-191126008	chr1	191119069
chr1:191116008-191126008	chr1	191119098
chr1:191116008-191126008	chr1	191119482
chr1:191116008-191126008	chr1	191119591
chr1:191116008-191126008	chr1	191119591
chr1:191116008-191126008	chr1	191119617
chr1:191116008-191126008	chr1	191119643
chr1:191116008-191126008	chr1	191120070
chr1:191116008-191126008	chr1	191120252
chr1:191116008-191126008	chr1	191120261
chr1:191116008-191126008	chr1	191120261
chr1:191116008-191126008	chr1	191120332
chr1:191116008-191126008	chr1	191120332
chr1:191116008-191126008	chr1	191120580
chr1:191116008-191126008	chr1	191121073
chr1:191116008-191126008	chr1	191121073
chr1:191116008-191126008	chr1	191121816
chr1:191116008-191126008	chr1	191121816
chr1:191116008-191126008	chr1	191122076
chr1:191116008-191126008	chr1	191122127
chr1:191116008-191126008	chr1	191122146
chr1:191116008-191126008	chr1	191122164
chr1:191116008-191126008	chr1	191122164
chr1:191116008-191126008	chr1	191122164
chr1:191116008-191126008	chr1	191122184
chr1:191116008-191126008	chr1	191122738
chr1:191116008-191126008	chr1	191122762
chr1:191116008-191126008	chr1	191122858
chr1:191116008-191126008	chr1	191122875
chr1:191116008-191126008	chr1	191122943
chr1:191116008-191126008	chr1	191123330
chr1:191116008-191126008	chr1	191123360
chr1:191116008-191126008	chr1	191123360
chr1:191116008-191126008	chr1	191123360
chr1:191116008-191126008	chr1	191123360
chr1:191116008-191126008	chr1	191123422
chr1:191116008-191126008	chr1	191123738
chr1:191116008-191126008	chr1	191124079
chr1:191116008-191126008	chr1	191124095
chr1:191116008-191126008	chr1	191124181
chr1:191116008-191126008	chr1	191124369
chr1:191116008-191126008	chr1	191124369
chr1:191116008-191126008	chr1	191124424
chr1:191116008-191126008	chr1	191124469
chr1:191116008-191126008	chr1	191124515
chr1:191116008-191126008	chr1	191124515
chr1:191116008-191126008	chr1	191124655
chr1:191116008-191126008	chr1	191124713
chr1:191116008-191126008	chr1	191124749
chr1:191116008-191126008	chr1	191124749
chr1:191116008-191126008	chr1	191125069
chr1:191116008-191126008	chr1	191125349
chr1:191116008-191126008	chr1	191125349
chr1:191116008-191126008	chr1	191125438
chr1:191116008-191126008	chr1	191125438
chr1:191116008-191126008	chr1	191125613
chr1:191116008-191126008	chr1	191125613
chr1:191116008-191126008	chr1	191125851
chr1:191116008-191126008	chr1	191125877
chr1:191116008-191126008	chr1	191125900
chr1:191116008-191126008	chr1	191125900
chr1:191116008-191126008	chr1	191125928
chr1:191116008-191126008	chr1	191125928
chr1:93147786-93157786	chr1	93147902
chr1:93147786-93157786	chr1	93147902
chr1:93147786-93157786	chr1	93148484
chr1:93147786-93157786	chr1	93148524
chr1:93147786-93157786	chr1	93148773
chr1:93147786-93157786	chr1	93148773
chr1:93147786-93157786	chr1	93148773
chr1:93147786-93157786	chr1	93148773
chr1:93147786-93157786	chr1	93149557
chr1:93147786-93157786	chr1	93149557
chr1:93147786-93157786	chr1	93149816
chr1:93147786-93157786	chr1	93149858
chr1:93147786-93157786	chr1	93149972
chr1:93147786-93157786	chr1	93150029
chr1:93147786-93157786	chr1	93150040
chr1:93147786-93157786	chr1	93150040
chr1:93147786-93157786	chr1	93150981
chr1:93147786-93157786	chr1	93150981
chr1:93147786-93157786	chr1	93151045
chr1:93147786-93157786	chr1	93151045
chr1:93147786-93157786	chr1	93151561
chr1:93147786-93157786	chr1	93151659
chr1:93147786-93157786	chr1	93151662
chr1:93147786-93157786	chr1	93151665
chr1:93147786-93157786	chr1	93152030
chr1:93147786-93157786	chr1	93152039
chr1:93147786-93157786	chr1	93152280
chr1:93147786-93157786	chr1	93152280
chr1:93147786-93157786	chr1	93152333
chr1:93147786-93157786	chr1	93152376
chr1:93147786-93157786	chr1	93152673
chr1:93147786-93157786	chr1	93152714
chr1:93147786-93157786	chr1	93153206
chr1:93147786-93157786	chr1	93153206
chr1:93147786-93157786	chr1	93153281
chr1:93147786-93157786	chr1	93153287
chr1:93147786-93157786	chr1	93153291
chr1:93147786-93157786	chr1	93153312
chr1:93147786-93157786	chr1	93153328
chr1:93147786-93157786	chr1	93153328
chr1:93147786-93157786	chr1	93153600
chr1:93147786-93157786	chr1	93153674
chr1:93147786-93157786	chr1	93153931
chr1:93147786-93157786	chr1	93153931
chr1:93147786-93157786	chr1	93153974
chr1:93147786-93157786	chr1	93153974
chr1:93147786-93157786	chr1	93154113
chr1:93147786-93157786	chr1	93154113
chr1:93147786-93157786	chr1	93154274
chr1:93147786-93157786	chr1	93154274
chr1:93147786-93157786	chr1	93154303
chr1:93147786-93157786	chr1	93154303
chr1:93147786-93157786	chr1	93154305
chr1:93147786-93157786	chr1	93154305
chr1:93147786-93157786	chr1	93154531
chr1:93147786-93157786	chr1	93154595
chr1:93147786-93157786	chr1	93154595
chr1:93147786-93157786	chr1	93154595
chr1:93147786-93157786	chr1	93154694
chr1:93147786-93157786	chr1	93154969
chr1:93147786-93157786	chr1	93155112
chr1:93147786-93157786	chr1	93155228
chr1:93147786-93157786	chr1	93155422
chr1:93147786-93157786	chr1	93155468
chr1:93147786-93157786	chr1	93155746
chr1:93147786-93157786	chr1	93155746
chr1:93147786-93157786	chr1	93155991
chr1:93147786-93157786	chr1	93155991
chr1:93147786-93157786	chr1	93156110
chr1:93147786-93157786	chr1	93156194
chr1:93147786-93157786	chr1	93156310
chr1:93147786-93157786	chr1	93156601
chr1:93147786-93157786	chr1	93156601
chr1:93147786-93157786	chr1	93157099
chr1:93147786-93157786	chr1	93157228
chr1:93147786-93157786	chr1	93157360
chr1:93147786-93157786	chr1	93157374
chr1:113899189-113909189	chr1	113899154
chr1:113899189-113909189	chr1	113899226
chr1:113899189-113909189	chr1	113899339
chr1:113899189-113909189	chr1	113899414
chr1:113899189-113909189	chr1	113899425
chr1:113899189-113909189	chr1	113899553
chr1:113899189-113909189	chr1	113899658
chr1:113899189-113909189	chr1	113900016
chr1:113899189-113909189	chr1	113900016
chr1:113899189-113909189	chr1	113900279
chr1:113899189-113909189	chr1	113900289
chr1:113899189-113909189	chr1	113900289
chr1:113899189-113909189	chr1	113900353
chr1:113899189-113909189	chr1	113900454
chr1:113899189-113909189	chr1	113900458
chr1:113899189-113909189	chr1	113900461
chr1:113899189-113909189	chr1	113900770
chr1:113899189-113909189	chr1	113901098
chr1:113899189-113909189	chr1	113901663
chr1:113899189-113909189	chr1	113901663
chr1:113899189-113909189	chr1	113901715
