region	chromosome	position
chr1:191116008-191126008	chr1	191116245
chr1:191116008-191126008	chr1	191116245
chr1:191116008-191126008	chr1	191117275
chr1:191116008-191126008	chr1	191117275
chr1:191116008-191126008	chr1	191117410
chr1:191116008-191126008	chr1	191117410
chr1:191116008-191126008	chr1	191119049
chr1:191116008-191126008	chr1	191119049
chr1:191116008-191126008	chr1	191119269
chr1:191116008-191126008	chr1	191119269
chr1:191116008-191126008	chr1	191119480
chr1:191116008-191126008	chr1	191119683
chr1:191116008-191126008	chr1	191120835
chr1:191116008-191126008	chr1	191120835
chr1:191116008-191126008	chr1	191121751
chr1:191116008-191126008	chr1	191121751
chr1:191116008-191126008	chr1	191121816
chr1:191116008-191126008	chr1	191121816
chr1:191116008-191126008	chr1	191122631
chr1:191116008-191126008	chr1	191122631
chr1:191116008-191126008	chr1	191122858
chr1:191116008-191126008	chr1	191122858
chr1:191116008-191126008	chr1	191123303
chr1:191116008-191126008	chr1	191123377
chr1:191116008-191126008	chr1	191124032
chr1:191116008-191126008	chr1	191124111
chr1:191116008-191126008	chr1	191124854
chr1:191116008-191126008	chr1	191125430
chr1:191116008-191126008	chr1	191125430
chr1:191116008-191126008	chr1	191125899
chr1:191116008-191126008	chr1	191125905
chr1:191116008-191126008	chr1	191125905
chr1:191116008-191126008	chr1	191125908
chr1:191116008-191126008	chr1	191125935
chr1:191116008-191126008	chr1	191125935
chr1:191116008-191126008	chr1	191125959
chr1:191116008-191126008	chr1	191125987
chr1:191116008-191126008	chr1	191125987
chr1:191116008-191126008	chr1	191126004
chr1:93147786-93157786nodechr1	93148221
chr1:93147786-93157786	chr1	93148359
chr1:93147786-93157786	chr1	93149360
chr1:93147786-93157786	chr1	93149372
chr1:93147786-93157786	chr1	93149372
chr1:93147786-93157786	chr1	93149439
chr1:93147786-93157786	chr1	93149947
chr1:93147786-93157786	chr1	93149947
chr1:93147786-93157786	chr1	93150164
chr1:93147786-93157786	chr1	93150164
chr1:93147786-93157786	chr1	93150238
chr1:93147786-93157786	chr1	93150239
chr1:93147786-93157786	chr1	93151793
chr1:93147786-93157786	chr1	93151793
chr1:93147786-93157786	chr1	93151793
chr1:93147786-93157786	chr1	93151793
chr1:93147786-93157786	chr1	93152059
chr1:93147786-93157786	chr1	93152166
chr1:93147786-93157786	chr1	93152600
chr1:93147786-93157786	chr1	93152695
chr1:93147786-93157786	chr1	93152787
chr1:93147786-93157786	chr1	93152787
chr1:93147786-93157786	chr1	93152948
chr1:93147786-93157786	chr1	93152948
chr1:93147786-93157786	chr1	93152948
chr1:93147786-93157786	chr1	93152948
chr1:93147786-93157786	chr1	93152948
chr1:93147786-93157786	chr1	93152948
chr1:93147786-93157786	chr1	93153066
chr1:93147786-93157786	chr1	93153066
chr1:93147786-93157786	chr1	93153272
chr1:93147786-93157786	chr1	93153318
chr1:93147786-93157786	chr1	93153326
chr1:93147786-93157786	chr1	93153406
chr1:93147786-93157786	chr1	93153608
chr1:93147786-93157786	chr1	93153828
chr1:93147786-93157786	chr1	93154286
chr1:93147786-93157786	chr1	93154288
chr1:93147786-93157786	chr1	93154365
chr1:93147786-93157786	chr1	93154365
chr1:93147786-93157786	chr1	93155000
chr1:93147786-93157786	chr1	93155000
chr1:93147786-93157786	chr1	93155496
chr1:93147786-93157786	chr1	93155498
chr1:93147786-93157786	chr1	93155604
chr1:93147786-93157786	chr1	93155677
chr1:93147786-93157786	chr1	93155747
chr1:93147786-93157786	chr1	93155747
chr1:93147786-93157786	chr1	93155797
chr1:93147786-93157786	chr1	93155868
chr1:93147786-93157786	chr1	93156809
chr1:93147786-93157786	chr1	93156809
chr1:93147786-93157786	chr1	93156994
chr1:93147786-93157786	chr1	93157096
chr1:113899189-113909189	chr1	113899273
chr1:113899189-113909189	chr1	113899339
chr1:113899189-113909189	chr1	113900464
chr1:113899189-113909189	chr1	113901103
chr1:113899189-113909189	chr1	113901205
chr1:113899189-113909189	chr1	113904200
chr1:113899189-113909189	chr1	113905380
chr1:113899189-113909189	chr1	113905430
chr1:113899189-113909189	chr1	113906377
chr1:113899189-113909189	chr1	113906377
chr1:113899189-113909189	chr1	113908548
chr1:113899189-113909189	chr1	113908548
chr1:113899189-113909189	chr1	113908558
chr1:113899189-113909189	chr1	113908687
chr1:113899189-113909189	chr1	113908945
chr1:113899189-113909189	chr1	113909044
chr1:46071100-46081100	chr1	46071128
chr1:46071100-46081100	chr1	46071128
chr1:46071100-46081100	chr1	46071435
chr1:46071100-46081100	chr1	46071435
chr1:46071100-46081100	chr1	46071435
chr1:46071100-46081100	chr1	46071495
chr1:46071100-46081100	chr1	46071495
chr1:46071100-46081100	chr1	46071495
chr1:46071100-46081100	chr1	46072377
chr1:46071100-46081100	chr1	46072377
chr1:46071100-46081100	chr1	46072377
chr1:46071100-46081100	chr1	46072659
chr1:46071100-46081100	chr1	46072659
chr1:46071100-46081100	chr1	46072659
chr1:46071100-46081100	chr1	46074066
chr1:46071100-46081100	chr1	46074129
chr1:46071100-46081100	chr1	46074926
chr1:46071100-46081100	chr1	46074940
chr1:46071100-46081100	chr1	46074940
chr1:46071100-46081100	chr1	46075006
chr1:46071100-46081100	chr1	46075113
chr1:46071100-46081100	chr1	46075113
chr1:46071100-46081100	chr1	46076735
chr1:46071100-46081100	chr1	46076808
chr1:46071100-46081100	chr1	46077135
chr1:46071100-46081100	chr1	46077135
chr1:46071100-46081100	chr1	46077135
chr1:46071100-46081100	chr1	46077206
chr1:46071100-46081100	chr1	46077206
chr1:46071100-46081100	chr1	46077206
chr1:46071100-46081100	chr1	46078006
chr1:46071100-46081100	chr1	46078026
chr1:46071100-46081100	chr1	46078051
chr1:46071100-46081100	chr1	46078064
chr1:46071100-46081100	chr1	46078078
chr1:46071100-46081100	chr1	46078161
chr1:46071100-46081100	chr1	46078161
chr1:46071100-46081100	chr1	46078240
chr1:46071100-46081100	chr1	46078240
chr1:46071100-46081100	chr1	46080177
