region	chromosome	position
chr1:191116008-191126008	chr1	191115986
chr1:191116008-191126008	chr1	191115995
chr1:191116008-191126008	chr1	191116109
chr1:191116008-191126008	chr1	191116109
chr1:191116008-191126008	chr1	191116109
chr1:191116008-191126008	chr1	191116109
chr1:191116008-191126008	chr1	191116245
chr1:191116008-191126008	chr1	191116245
chr1:191116008-191126008	chr1	191116278
chr1:191116008-191126008	chr1	191116278
chr1:191116008-191126008	chr1	191116956
chr1:191116008-191126008	chr1	191116973
chr1:191116008-191126008	chr1	191117409
chr1:191116008-191126008	chr1	191117409
chr1:191116008-191126008	chr1	191117433
chr1:191116008-191126008	chr1	191117433
chr1:191116008-191126008	chr1	191117485
chr1:191116008-191126008	chr1	191117485
chr1:191116008-191126008	chr1	191117658
chr1:191116008-191126008	chr1	191117658
chr1:191116008-191126008	chr1	191117666
chr1:191116008-191126008	chr1	191117666
chr1:191116008-191126008	chr1	191117749
chr1:191116008-191126008	chr1	191117749
chr1:191116008-191126008	chr1	191117749
chr1:191116008-191126008	chr1	191117749
chr1:191116008-191126008	chr1	191117766
chr1:191116008-191126008	chr1	191117766
chr1:191116008-191126008	chr1	191117813
chr1:191116008-191126008	chr1	191117831
chr1:191116008-191126008	chr1	191117831
chr1:191116008-191126008	chr1	191117838
chr1:191116008-191126008	chr1	191117838
chr1:191116008-191126008	chr1	191117846
chr1:191116008-191126008	chr1	191117846
chr1:191116008-191126008	chr1	191117907
chr1:191116008-191126008	chr1	191117907
chr1:191116008-191126008	chr1	191117907
chr1:191116008-191126008	chr1	191117907
chr1:191116008-191126008	chr1	191118041
chr1:191116008-191126008	chr1	191118041
chr1:191116008-191126008	chr1	191118077
chr1:191116008-191126008	chr1	191118077
chr1:191116008-191126008	chr1	191118113
chr1:191116008-191126008	chr1	191118113
chr1:191116008-191126008	chr1	191118270
chr1:191116008-191126008	chr1	191118270
chr1:191116008-191126008	chr1	191118270
chr1:191116008-191126008	chr1	191118270
chr1:191116008-191126008	chr1	191118270
chr1:191116008-191126008	chr1	191118270
chr1:191116008-191126008	chr1	191118270
chr1:191116008-191126008	chr1	191118270
chr1:191116008-191126008	chr1	191118270
chr1:191116008-191126008	chr1	191118585
chr1:191116008-191126008	chr1	191118595
chr1:191116008-191126008	chr1	191118673
chr1:191116008-191126008	chr1	191118717
chr1:191116008-191126008	chr1	191118734
chr1:191116008-191126008	chr1	191118760
chr1:191116008-191126008	chr1	191118782
chr1:191116008-191126008	chr1	191118782
chr1:191116008-191126008	chr1	191118809
chr1:191116008-191126008	chr1	191118809
chr1:191116008-191126008	chr1	191118915
chr1:191116008-191126008	chr1	191118915
chr1:191116008-191126008	chr1	191118915
chr1:191116008-191126008	chr1	191118915
chr1:191116008-191126008	chr1	191118915
chr1:191116008-191126008	chr1	191118915
chr1:191116008-191126008	chr1	191118992
chr1:191116008-191126008	chr1	191118992
chr1:191116008-191126008	chr1	191119018
chr1:191116008-191126008	chr1	191119023
chr1:191116008-191126008	chr1	191119023
chr1:191116008-191126008	chr1	191119027
chr1:191116008-191126008	chr1	191119027
chr1:191116008-191126008	chr1	191119027
chr1:191116008-191126008	chr1	191119027
chr1:191116008-191126008	chr1	191119027
chr1:191116008-191126008	chr1	191119027
chr1:191116008-191126008	chr1	191119034
chr1:191116008-191126008	chr1	191119044
chr1:191116008-191126008	chr1	191119044
chr1:191116008-191126008	chr1	191119044
chr1:191116008-191126008	chr1	191119044
chr1:191116008-191126008	chr1	191119044
chr1:191116008-191126008	chr1	191119044
chr1:191116008-191126008	chr1	191119044
chr1:191116008-191126008	chr1	191119044
chr1:191116008-191126008	chr1	191119044
chr1:191116008-191126008	chr1	191119044
chr1:191116008-191126008	chr1	191119049
chr1:191116008-191126008	chr1	191119049
chr1:191116008-191126008	chr1	191119049
chr1:191116008-191126008	chr1	191119049
chr1:191116008-191126008	chr1	191119068
chr1:191116008-191126008	chr1	191119070
chr1:191116008-191126008	chr1	191119071
chr1:191116008-191126008	chr1	191119073
chr1:191116008-191126008	chr1	191119073
chr1:191116008-191126008	chr1	191119088
chr1:191116008-191126008	chr1	191119096
chr1:191116008-191126008	chr1	191119096
chr1:191116008-191126008	chr1	191119109
chr1:191116008-191126008	chr1	191119118
chr1:191116008-191126008	chr1	191119140
chr1:191116008-191126008	chr1	191119140
chr1:191116008-191126008	chr1	191119140
chr1:191116008-191126008	chr1	191119140
chr1:191116008-191126008	chr1	191119190
chr1:191116008-191126008	chr1	191119190
chr1:191116008-191126008	chr1	191119190
