region	chromosome	position
chr1:191116008-191126008	chr1	191116247
chr1:191116008-191126008	chr1	191116247
chr1:191116008-191126008	chr1	191117229
chr1:191116008-191126008	chr1	191117423
chr1:191116008-191126008	chr1	191117429
chr1:191116008-191126008	chr1	191117429
chr1:191116008-191126008	chr1	191118085
chr1:191116008-191126008	chr1	191118139
chr1:191116008-191126008	chr1	191118181
chr1:191116008-191126008	chr1	191118195
chr1:191116008-191126008	chr1	191119081
chr1:191116008-191126008	chr1	191119084
chr1:191116008-191126008	chr1	191119475
chr1:191116008-191126008	chr1	191119708
chr1:191116008-191126008	chr1	191119720
chr1:191116008-191126008	chr1	191119816
chr1:191116008-191126008	chr1	191119823
chr1:191116008-191126008	chr1	191119823
chr1:191116008-191126008	chr1	191119998
chr1:191116008-191126008	chr1	191120002
chr1:191116008-191126008	chr1	191120004
chr1:191116008-191126008	chr1	191120008
chr1:191116008-191126008	chr1	191120016
chr1:191116008-191126008	chr1	191120061
chr1:191116008-191126008	chr1	191120118
chr1:191116008-191126008	chr1	191120223
chr1:191116008-191126008	chr1	191120223
chr1:191116008-191126008	chr1	191120280
chr1:191116008-191126008	chr1	191120312
chr1:191116008-191126008	chr1	191120511
chr1:191116008-191126008	chr1	191120515
chr1:191116008-191126008	chr1	191120515
chr1:191116008-191126008	chr1	191120587
chr1:191116008-191126008	chr1	191120587
chr1:191116008-191126008	chr1	191120599
chr1:191116008-191126008	chr1	191120608
chr1:191116008-191126008	chr1	191120608
chr1:191116008-191126008	chr1	191120632
chr1:191116008-191126008	chr1	191120658
chr1:191116008-191126008	chr1	191120658
chr1:191116008-191126008	chr1	191120658
chr1:191116008-191126008	chr1	191120801
chr1:191116008-191126008	chr1	191120801
chr1:191116008-191126008	chr1	191121489
chr1:191116008-191126008	chr1	191121489
chr1:191116008-191126008	chr1	191121550
chr1:191116008-191126008	chr1	191121618
chr1:191116008-191126008	chr1	191121618
chr1:191116008-191126008	chr1	191121758
chr1:191116008-191126008	chr1	191121758
chr1:191116008-191126008	chr1	191121825
chr1:191116008-191126008	chr1	191121841
chr1:191116008-191126008	chr1	191121899
chr1:191116008-191126008	chr1	191121965
chr1:191116008-191126008	chr1	191121965
chr1:191116008-191126008	chr1	191121965
chr1:191116008-191126008	chr1	191121965
chr1:191116008-191126008	chr1	191122357
chr1:191116008-191126008	chr1	191122430
chr1:191116008-191126008	chr1	191122844
chr1:191116008-191126008	chr1	191122858
chr1:191116008-191126008	chr1	191122893
chr1:191116008-191126008	chr1	191122983
chr1:191116008-191126008	chr1	191123258
chr1:191116008-191126008	chr1	191123269
chr1:191116008-191126008	chr1	191123289
chr1:191116008-191126008	chr1	191123289
chr1:191116008-191126008	chr1	191123347
chr1:191116008-191126008	chr1	191123405
chr1:191116008-191126008	chr1	191124035
chr1:191116008-191126008	chr1	191124144
chr1:191116008-191126008	chr1	191124345
chr1:191116008-191126008	chr1	191124422
chr1:191116008-191126008	chr1	191125908
chr1:93147786-93157786	chr1	93148484
chr1:93147786-93157786	chr1	93148484
chr1:93147786-93157786	chr1	93148512
chr1:93147786-93157786	chr1	93148600
chr1:93147786-93157786	chr1	93148773
chr1:93147786-93157786	chr1	93148791
chr1:93147786-93157786	chr1	93148839
chr1:93147786-93157786	chr1	93148866
chr1:93147786-93157786	chr1	93148934
chr1:93147786-93157786	chr1	93148942
chr1:93147786-93157786	chr1	93149027
chr1:93147786-93157786	chr1	93149125
chr1:93147786-93157786	chr1	93149125
chr1:93147786-93157786	chr1	93149200
chr1:93147786-93157786	chr1	93149200
chr1:93147786-93157786	chr1	93149260
chr1:93147786-93157786	chr1	93149260
chr1:93147786-93157786	chr1	93149353
chr1:93147786-93157786	chr1	93149365
chr1:93147786-93157786	chr1	93149626
chr1:93147786-93157786	chr1	93149649
chr1:93147786-93157786	chr1	93149675
chr1:93147786-93157786	chr1	93149765
chr1:93147786-93157786	chr1	93149950
chr1:93147786-93157786	chr1	93150220
chr1:93147786-93157786	chr1	93150842
chr1:93147786-93157786	chr1	93150903
chr1:93147786-93157786	chr1	93150947
chr1:93147786-93157786	chr1	93150947
chr1:93147786-93157786	chr1	93151455
chr1:93147786-93157786	chr1	93151554
chr1:93147786-93157786	chr1	93151613
chr1:93147786-93157786	chr1	93151613
chr1:93147786-93157786	chr1	93151708
chr1:93147786-93157786	chr1	93151708
chr1:93147786-93157786	chr1	93152284
chr1:93147786-93157786	chr1	93152284
chr1:93147786-93157786	chr1	93152710
chr1:93147786-93157786	chr1	93152710
chr1:93147786-93157786	chr1	93152988
chr1:93147786-93157786	chr1	93152988
chr1:93147786-93157786	chr1	93152993
chr1:93147786-93157786	chr1	93153055
chr1:93147786-93157786	chr1	93153055
chr1:93147786-93157786	chr1	93153077
chr1:93147786-93157786	chr1	93154218
chr1:93147786-93157786	chr1	93154218
chr1:93147786-93157786	chr1	93154251
chr1:93147786-93157786	chr1	93154251
chr1:93147786-93157786	chr1	93154278
chr1:93147786-93157786	chr1	93154278
chr1:93147786-93157786	chr1	93154293
chr1:93147786-93157786	chr1	93154354
chr1:93147786-93157786	chr1	93155281
chr1:93147786-93157786	chr1	93155284
chr1:93147786-93157786	chr1	93155303
chr1:93147786-93157786	chr1	93155314
chr1:93147786-93157786	chr1	93155535
chr1:93147786-93157786	chr1	93155535
chr1:93147786-93157786	chr1	93155871
chr1:93147786-93157786	chr1	93156421
chr1:93147786-93157786	chr1	93156421
chr1:93147786-93157786	chr1	93157047
chr1:93147786-93157786	chr1	93157123
chr1:93147786-93157786	chr1	93157409
chr1:93147786-93157786	chr1	93157410
chr1:93147786-93157786	chr1	93157597
chr1:93147786-93157786	chr1	93157725
chr1:93147786-93157786	chr1	93157738
chr1:113899189-113909189	chr1	113899239
chr1:113899189-113909189	chr1	113899312
chr1:113899189-113909189	chr1	113899958
chr1:113899189-113909189	chr1	113899958
chr1:113899189-113909189	chr1	113899958
chr1:113899189-113909189	chr1	113899958
chr1:113899189-113909189	chr1	113900266
chr1:113899189-113909189	chr1	113901769
chr1:113899189-113909189	chr1	113901769
chr1:113899189-113909189	chr1	113902417
chr1:113899189-113909189	chr1	113902461
chr1:113899189-113909189	chr1	113902541
chr1:113899189-113909189	chr1	113902579
chr1:113899189-113909189	chr1	113903079
chr1:113899189-113909189	chr1	113903081
chr1:113899189-113909189	chr1	113903380
chr1:113899189-113909189	chr1	113903380
chr1:113899189-113909189	chr1	113903471
chr1:113899189-113909189	chr1	113903471
chr1:113899189-113909189	chr1	113903574
chr1:113899189-113909189	chr1	113903736
chr1:113899189-113909189	chr1	113903962
chr1:113899189-113909189	chr1	113903962
chr1:113899189-113909189	chr1	113904018
chr1:113899189-113909189	chr1	113904018
chr1:113899189-113909189	chr1	113904052
chr1:113899189-113909189	chr1	113904075
chr1:113899189-113909189	chr1	113904075
chr1:113899189-113909189	chr1	113904075
chr1:113899189-113909189	chr1	113904075
chr1:113899189-113909189	chr1	113904278
chr1:113899189-113909189	chr1	113904278
chr1:113899189-113909189	chr1	113904348
chr1:113899189-113909189	chr1	113904348
chr1:113899189-113909189	chr1	113904349
chr1:113899189-113909189	chr1	113904349
chr1:113899189-113909189	chr1	113904363
chr1:113899189-113909189	chr1	113904386
chr1:113899189-113909189	chr1	113904428
chr1:113899189-113909189	chr1	113904477
chr1:113899189-113909189	chr1	113904482
chr1:113899189-113909189	chr1	113904495
chr1:113899189-113909189	chr1	113904613
chr1:113899189-113909189	chr1	113904875
chr1:113899189-113909189	chr1	113904958
chr1:113899189-113909189	chr1	113904958
chr1:113899189-113909189	chr1	113905040
chr1:113899189-113909189	chr1	113905057
chr1:113899189-113909189	chr1	113905169
chr1:113899189-113909189	chr1	113905169
chr1:113899189-113909189	chr1	113905209
chr1:113899189-113909189	chr1	113906340
chr1:113899189-113909189	chr1	113906435
chr1:113899189-113909189	chr1	113906435
chr1:113899189-113909189	chr1	113906496
chr1:113899189-113909189	chr1	113906597
chr1:113899189-113909189	chr1	113906671
chr1:113899189-113909189	chr1	113906902
chr1:113899189-113909189	chr1	113906968
chr1:113899189-113909189	chr1	113906968
chr1:113899189-113909189	chr1	113907050
chr1:113899189-113909189	chr1	113907050
chr1:113899189-113909189	chr1	113907157
chr1:113899189-113909189	chr1	113907671
chr1:113899189-113909189	chr1	113907688
chr1:113899189-113909189	chr1	113907929
chr1:113899189-113909189	chr1	113907973
chr1:113899189-113909189	chr1	113908162
chr1:113899189-113909189	chr1	113908162
chr1:113899189-113909189	chr1	113908522
chr1:113899189-113909189	chr1	113908630
chr1:113899189-113909189	chr1	113908955
chr1:113899189-113909189	chr1	113909032
chr1:46071100-46081100	chr1	46071384
chr1:46071100-46081100	chr1	46071485
chr1:46071100-46081100	chr1	46071568
chr1:46071100-46081100	chr1	46071586
chr1:46071100-46081100	chr1	46071794
chr1:46071100-46081100	chr1	46071867
chr1:46071100-46081100	chr1	46072122
chr1:46071100-46081100	chr1	46072417
chr1:46071100-46081100	chr1	46074275
chr1:46071100-46081100	chr1	46074505
chr1:46071100-46081100	chr1	46074813
chr1:46071100-46081100	chr1	46074891
chr1:46071100-46081100	chr1	46075795
chr1:46071100-46081100	chr1	46075795
chr1:46071100-46081100	chr1	46075849
chr1:46071100-46081100	chr1	46075856
chr1:46071100-46081100	chr1	46075940
chr1:46071100-46081100	chr1	46075963
chr1:46071100-46081100	chr1	46075963
chr1:46071100-46081100	chr1	46075963
chr1:46071100-46081100	chr1	46075963
chr1:46071100-46081100	chr1	46075971
chr1:46071100-46081100	chr1	46076156
chr1:46071100-46081100	chr1	46076212
chr1:46071100-46081100	chr1	46076283
chr1:46071100-46081100	chr1	46076290
chr1:46071100-46081100	chr1	46076342
chr1:46071100-46081100	chr1	46076345
chr1:46071100-46081100	chr1	46076452
chr1:46071100-46081100	chr1	46076500
chr1:46071100-46081100	chr1	46076688
chr1:46071100-46081100	chr1	46076688
chr1:46071100-46081100	chr1	46076813
chr1:46071100-46081100	chr1	46076813
chr1:46071100-46081100	chr1	46076983
chr1:46071100-46081100	chr1	46077096
chr1:46071100-46081100	chr1	46077096
chr1:46071100-46081100	chr1	46077309
chr1:46071100-46081100	chr1	46077680
chr1:46071100-46081100	chr1	46077977
chr1:46071100-46081100	chr1	46078006
chr1:46071100-46081100	chr1	46078011
chr1:46071100-46081100	chr1	46078026
chr1:46071100-46081100	chr1	46078026
chr1:46071100-46081100	chr1	46078050
chr1:46071100-46081100	chr1	46078050
chr1:46071100-46081100	chr1	46078068
chr1:46071100-46081100	chr1	46078068
chr1:46071100-46081100	chr1	46078071
chr1:46071100-46081100	chr1	46078197
chr1:46071100-46081100	chr1	46078199
