Rname	Junction
chr1	9605669
chr1	12926124
chr1	20674154
chr1	20674154
chr1	20674154
chr1	23399980
chr1	25963073
chr1	74442549
chr1	101433804
chr1	113904068
chr1	180338456
chr1	180478255
chr1	191120967
chr1	191120967
chr1	191121074
chr1	191121074
chr1	191121513
chr1	191121513
chr1	192119023
chr10	3440563
chr10	9180297
chr10	23811679
chr10	61290400
chr10	63957656
chr10	76705931
chr10	83949950
chr10	111623521
chr10	117234944
chr10	124035738
chr10	128988770
chr11	25692488
chr11	35051160
chr11	60909291
chr11	67075664
chr11	75756584
chr11	78063712
chr11	87805823
chr11	89857832
chr11	95030983
chr11	100935614
chr11	104600339
chr12	8967806
chr12	15693129
chr12	47878766
chr12	77269451
chr12	78743448
chr12	80440798
chr12	80441454
chr12	80441454
chr12	80441524
chr12	80441531
chr12	80441531
chr12	80441675
chr12	80441675
chr12	87232574
chr12	103067843
chr12	105259580
chr13	4568271
chr13	22162286
chr13	32459773
chr13	50513324
chr13	62741876
chr13	64827584
chr13	69265215
chr13	74526373
chr13	80783183
chr13	105055113
chr13	105055113
chr13	109354839
chr14	10404389
chr14	13953566
chr14	14839183
chr14	14839183
chr14	14839183
chr14	14839183
chr14	20659136
chr14	21482327
chr14	21482327
chr14	50327553
chr14	56693119
chr14	56694117
chr14	56694188
chr14	56695014
chr14	86927865
chr14	105265061
chr14	113264749
chr15	12835366
chr15	20135137
chr15	20385117
chr15	20385117
chr15	21618253
chr15	43873055
chr15	44445602
chr15	62401529
chr15	76829900
chr15	79673072
chr15	81988283
chr15	84506018
chr15	91223896
chr15	97539563
chr15	97539563
chr15	97539563
chr16	19067122
chr16	19067131
chr16	21375055
chr16	21375055
chr16	33337115
chr16	41193277
chr16	63719017
chr16	81767411
chr17	5200466
chr17	7455009
chr17	7455009
chr17	7455009
chr17	7455009
chr17	7455009
chr17	7455009
chr17	7455009
chr17	7952301
chr17	24665845
chr17	24665845
chr17	24665845
chr17	24665886
chr17	24665927
chr17	24665927
chr17	24665927
chr17	24665955
chr17	27932829
chr17	33897233
chr17	37283599
chr17	56128230
chr17	56128230
chr17	56128230
chr17	56128230
chr17	67083306
chr17	79965286
chr17	84175465
chr17	84175465
chr18	32027320
chr18	32027320
chr18	32027320
chr18	46585028
chr18	47642353
chr18	53255376
chr18	70598912
chr18	71515766
chr18	86650432
chr19	46957941
chr2	5379220
chr2	6332295
chr2	11894395
chr2	37959793
chr2	40164442
chr2	59707501
chr2	59707501
chr2	59707501
chr2	62540405
chr2	78584962
chr2	79900472
chr2	113338461
chr2	143520909
chr2	155371246
chr2	156702842
chr2	163667573
chr2	179910333
chr3	4372955
chr3	16099711
chr3	27797959
chr3	42413890
chr3	46047460
chr3	46505679
chr3	74382347
chr3	79401673
chr3	88611451
chr3	99960516
chr3	118400523
chr3	121250036
chr3	133265826
chr3	134755767
chr4	8282836
chr4	9386292
chr4	23419523
chr4	30242611
chr4	65651189
chr4	82065388
chr4	100644279
chr4	134894137
chr4	155967272
chr5	5104843
chr5	7113715
chr5	18258407
chr5	28174707
chr5	28174707
chr5	33125245
chr5	33916952
chr5	33916952
chr5	54495584
chr5	55281878
chr5	56694939
chr5	58417792
chr5	59913772
chr5	66938547
chr5	103754774
chr5	110177318
chr5	113832947
chr5	113832947
chr5	114851323
chr5	114851323
chr5	114851323
chr5	114851689
chr5	114851689
chr5	114852082
chr5	114852100
chr5	114852101
chr5	114852101
chr5	114852101
chr5	114852101
chr5	114852102
chr5	114852102
chr5	114852102
chr5	114852103
chr5	114852103
chr5	114852103
chr5	114852104
chr5	114852104
chr5	114852104
chr5	114852114
chr5	114852116
chr5	114852118
chr5	114852118
