Rname	Junction
chr1	8394497
chr1	10009854
chr1	17097752
chr1	20674154
chr1	20674154
chr1	34442577
chr1	38824643
chr1	40503167
chr1	41074814
chr1	42324085
chr1	45158568
chr1	49919051
chr1	58136830
chr1	58499657
chr1	58738736
chr1	70460745
chr1	76484902
chr1	78084222
chr1	78084223
chr1	78084223
chr1	78084227
chr1	79464245
chr1	79464245
chr1	82793972
chr1	88301556
chr1	98043346
chr1	102807927
chr1	112110174
chr1	118913198
chr1	130094739
chr1	131105947
chr1	134647337
chr1	134647337
chr1	144405574
chr1	145444480
chr1	146598075
chr1	157600952
chr1	168820629
chr1	171140609
chr1	172047053
chr1	174734481
chr1	174734481
chr1	176968985
chr1	181723088
chr1	181890766
chr1	186542900
chr1	189987853
chr1	195371814
chr10	4621457
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856928
chr10	4856928
chr10	4856960
chr10	4939209
chr10	4939306
chr10	4939316
chr10	4969199
chr10	4969199
chr10	4969250
chr10	4969259
chr10	4997979
chr10	5001272
chr10	8545165
chr10	8545165
chr10	8545165
chr10	8545165
chr10	12968655
chr10	14758918
chr10	16994117
chr10	17270705
chr10	29061392
chr10	31947551
chr10	33681416
chr10	38950068
chr10	41798206
chr10	41798206
chr10	47214337
chr10	53348031
chr10	55720644
chr10	56847571
chr10	57469564
chr10	60158694
chr10	61065550
chr10	74288789
chr10	79453869
chr10	79551947
chr10	80092279
chr10	80092279
chr10	88162440
chr10	92458354
chr10	92765997
chr10	94872144
chr10	94872145
chr10	100634976
chr10	104640397
chr10	104870315
chr10	105817364
chr10	110714816
chr10	111623550
chr10	115238600
chr10	117958564
chr10	118803559
chr10	119391435
chr10	120289422
chr10	127940718
chr10	127940718
chr10	130594561
chr10	130594567
chr10	130594567
chr10	130594591
chr10	130594591
chr10	130594703
chr10	130594735
chr10	130594765
chr10	130594765
chr11	5550555
chr11	9850758
chr11	20975983
chr11	25743411
chr11	27246210
chr11	31342463
chr11	31342463
chr11	31342463
chr11	39377851
chr11	45160556
chr11	47010434
chr11	61494510
chr11	67102866
chr11	68009240
chr11	75081329
chr11	75173335
chr11	85426008
chr11	86926899
chr11	87741911
chr11	95412481
chr11	97124959
chr11	97124959
chr11	98856862
chr11	98947217
chr11	102919221
chr11	106536358
chr11	110602092
chr11	110947307
chr11	111569496
chr11	113654701
chr12	4596452
chr12	7468436
chr12	7926238
chr12	9758536
chr12	11304073
chr12	13605883
chr12	17031260
chr12	17031260
chr12	19248435
chr12	19926898
chr12	20274225
chr12	44357840
chr12	45664178
chr12	46817834
chr12	55012947
chr12	55344266
chr12	56133145
chr12	58305762
chr12	66250362
chr12	66250364
chr12	69518289
chr12	69518541
chr12	69519045
chr12	69519075
chr12	69519159
chr12	69519875
chr12	69519875
chr12	69520190
chr12	69520351
chr12	69531214
chr12	69627088
chr12	69663988
chr12	69663988
chr12	69663988
chr12	69663988
chr12	69663988
chr12	69663988
chr12	69663988
chr12	69663988
chr12	69663988
chr12	69663988
chr12	69663988
chr12	69663988
chr12	69663988
chr12	69663988
chr12	69663988
chr12	69663988
chr12	69663988
chr12	75837499
chr12	76985805
chr12	76985805
chr12	87147009
chr12	88210854
chr12	88210870
chr12	90519429
chr12	90519429
chr12	93577844
chr12	98982924
chr12	98982924
chr12	99882445
chr12	101573746
chr12	103352112
chr12	105474954
chr12	108646589
chr12	111960257
chr12	111960257
chr12	112302603
chr12	112481243
chr12	113136766
chr12	113136766
chr12	114013109
chr12	118122569
chr12	119281151
chr12	120028657
chr13	12921769
chr13	15680820
chr13	15680820
chr13	22162286
chr13	22162286
chr13	42436787
chr13	44056792
chr13	46396717
chr13	47119348
chr13	47119348
chr13	54818527
chr13	60630789
chr13	66957989
chr13	69208575
chr13	74087403
chr13	81689962
chr13	82179457
chr13	83578674
chr13	91147635
chr13	103221580
chr13	110398589
chr13	110603045
chr13	111408758
chr13	117035002
chr13	120321206
chr13	120321435
chr13	120321488
chr14	9444683
chr14	9448430
chr14	10728781
chr14	18893053
chr14	19415826
chr14	19416565
chr14	19417134
chr14	19417289
chr14	19417651
chr14	19418289
chr14	20171821
chr14	31571893
chr14	37218096
chr14	60736232
chr14	63205993
chr14	64851553
chr14	66123278
chr14	68866701
chr14	70283900
chr14	70496379
chr14	77716928
chr14	81058000
chr14	87229008
chr14	87901525
chr14	115040903
chr14	116543405
chr14	118846098
chr14	122617472
chr14	123393214
chr14	123451619
chr14	124801196
chr15	9998312
chr15	11573944
chr15	11963455
chr15	12222598
chr15	13080263
chr15	15939201
chr15	21656537
chr15	22575331
chr15	47844957
chr15	55613481
chr15	55613481
chr15	55613481
chr15	55613481
chr15	55613481
chr15	55613481
chr15	73507296
chr15	76240249
chr15	77480375
chr15	77839617
chr15	79195054
chr15	81135424
chr15	82390681
chr15	83650905
chr15	85089628
chr15	87329030
chr15	94497077
chr15	98133593
chr15	98623011
chr15	99648889
chr15	101254449
chr15	102620641
chr15	102676676
chr15	103503405
chr16	3792581
chr16	4548508
chr16	5709172
chr16	12291207
chr16	12711786
chr16	12711824
chr16	16808379
chr16	21168505
chr16	22462950
chr16	33337109
chr16	34503605
chr16	34957634
chr16	49252403
chr16	49817628
chr16	52289728
chr16	54291007
chr16	55973618
chr16	56870921
chr16	64031036
chr16	66275673
chr16	67286092
chr16	69313088
chr16	70736588
chr16	73253926
chr16	73926400
chr16	75517586
chr16	78597812
chr16	78744974
chr16	78840287
chr16	80113543
chr16	83324278
chr16	89523796
chr16	98107333
chr16	98107339
chr16	98107339
chr16	98107351
chr17	14260114
chr17	25168468
chr17	25876763
chr17	27693973
chr17	27693973
chr17	30704387
chr17	34552623
chr17	34826512
chr17	35843923
chr17	35843923
chr17	38788655
chr17	41855453
chr17	43568026
chr17	48905782
chr17	49083280
chr17	53689345
chr17	56016846
chr17	65006594
chr17	66141559
chr17	66969129
chr17	77078209
chr17	81667930
chr17	83122852
chr17	83122852
chr17	84146413
chr17	84149011
chr17	84149011
chr17	84149011
chr17	84149011
chr17	84149011
chr17	84149011
chr17	84149011
chr17	84149011
chr17	84149011
chr17	84149011
chr17	84149011
chr17	84149011
chr17	84149011
chr17	84149011
chr17	84149011
chr17	84149011
chr17	84149011
chr17	84149011
chr17	84149011
chr17	84149011
chr17	84149011
chr17	84149059
chr17	84370316
chr17	86118240
chr17	87381132
chr17	90850589
chr17	93046473
chr18	5932526
chr18	11253045
chr18	11535879
chr18	11882973
chr18	13341320
chr18	15819691
chr18	21075151
chr18	22819976
chr18	22819976
chr18	22819981
chr18	30271078
chr18	34602764
chr18	46600405
chr18	48496876
chr18	52764206
chr18	54489334
chr18	55036854
chr18	58794748
chr18	60479575
chr18	61178894
chr18	62474339
chr18	63314970
chr18	63314970
chr18	66157202
chr18	66767008
chr18	71040438
chr18	75419923
chr18	75851660
chr18	75851660
chr18	75851660
chr18	75851660
chr18	78198241
chr18	84776571
chr18	90602174
chr18	90602180
chr18	90602180
chr18	90602180
chr18	90602180
chr18	90602180
chr18	90602181
chr19	4013916
chr19	15000286
chr19	20244712
chr19	28690095
chr19	28929121
chr19	33506708
chr19	34526643
chr19	36573434
chr19	38381161
chr19	40882317
chr19	46304134
chr19	46468389
chr19	46957941
chr19	57406621
chr19	57590726
chr19	61065078
chr19	61195406
chr2	10413115
chr2	16023353
chr2	20529005
chr2	23052427
chr2	24528179
chr2	27325940
chr2	27501196
chr2	28184305
chr2	28184582
chr2	29147294
chr2	30049769
chr2	30887488
chr2	31510246
chr2	32571307
chr2	33561079
chr2	33561079
chr2	33587723
chr2	33587723
chr2	34429217
chr2	35380827
chr2	41937538
chr2	47024170
chr2	53586822
chr2	54650492
chr2	57000281
chr2	59989840
chr2	67863680
chr2	71325833
chr2	71868885
chr2	74174944
chr2	80434548
chr2	80434548
chr2	88321701
chr2	91584969
chr2	93446641
chr2	94399804
chr2	96917842
chr2	98109803
chr2	98666733
chr2	98666861
chr2	98666993
chr2	98667258
chr2	98667309
chr2	101628361
chr2	110371201
chr2	115686157
chr2	127696325
chr2	130796329
chr2	130796329
chr2	132331958
chr2	133279395
chr2	142900352
chr2	143468824
chr2	146225951
chr2	150136917
chr2	155792812
chr2	156829222
chr2	160271343
chr2	160525937
chr2	162987541
chr2	163856539
chr2	164879652
chr2	169425507
chr2	174077800
chr2	177518951
chr2	182012680
chr2	182012692
chr2	182012702
chr3	4155335
chr3	19884036
chr3	32652394
chr3	32652394
chr3	50216613
chr3	51559684
chr3	54502040
chr3	54794258
chr3	62528269
chr3	62892400
chr3	75882680
chr3	78024012
chr3	85301092
chr3	85301106
chr3	85301112
chr3	87573103
chr3	95732093
chr3	97879059
chr3	100634458
chr3	101077615
chr3	103328471
chr3	104014116
chr3	104388211
chr3	104651275
chr3	105198259
chr3	107825959
chr3	108634776
chr3	109271137
chr3	116267266
chr3	121163930
chr3	129289471
chr3	133879386
chr3	149052707
chr3	149052835
chr4	5057237
chr4	6001947
chr4	6947153
chr4	7695143
chr4	8458342
chr4	9709635
chr4	15237382
chr4	18804859
chr4	32041083
chr4	32041083
chr4	32041083
chr4	32041083
chr4	32041083
chr4	32041083
chr4	32041083
chr4	32041083
chr4	32041083
chr4	35202069
chr4	45244903
chr4	47228891
chr4	47228891
chr4	57892265
chr4	57892265
chr4	57892265
chr4	59509630
chr4	60106234
chr4	63661599
chr4	70378208
chr4	70798820
chr4	71098830
chr4	73127641
chr4	75903559
chr4	79697298
chr4	82672554
chr4	88305960
chr4	99260790
chr4	101295408
chr4	103959826
chr4	105964019
chr4	110169346
chr4	117362710
chr4	118613512
chr4	120268642
chr4	121050168
chr4	132324878
chr4	132415214
chr4	134461670
chr4	134746364
chr4	139513216
chr4	140514692
chr4	141397127
chr4	143199892
chr4	147460333
chr4	152106324
chr4	152106324
chr4	152106324
chr4	152106324
chr4	152106324
chr4	152106324
chr4	152830903
chr4	152939647
chr4	153153139
chr4	154082019
chr5	16293343
chr5	19326512
chr5	22626745
chr5	24236934
chr5	24398030
chr5	25810035
chr5	32181478
chr5	37249596
chr5	40085480
chr5	45914672
chr5	49211211
chr5	52854265
chr5	54935803
chr5	54935803
chr5	54935803
chr5	56284867
chr5	66169192
chr5	74513450
chr5	88984055
chr5	93160295
chr5	96732012
chr5	97273282
chr5	103567676
chr5	103757350
chr5	104439040
chr5	105625642
chr5	109773112
chr5	111757818
chr5	115409485
chr5	115527280
chr5	118988895
chr5	127241798
chr5	127276380
chr5	129255642
chr5	129404060
chr5	131096757
chr5	139889867
chr5	141943315
chr5	143456827
chr5	147945906
chr5	150491978
chr6	3972868
chr6	4516024
chr6	5238539
chr6	6618888
chr6	8434368
chr6	17045951
chr6	23988060
chr6	24196588
chr6	29793764
chr6	29900827
chr6	31008531
chr6	32708905
chr6	35842251
chr6	35842268
chr6	38833464
chr6	45608450
chr6	50591995
chr6	62003117
chr6	70117065
chr6	77246585
chr6	87095020
chr6	88363892
chr6	88722095
chr6	94079435
chr6	99386314
chr6	101396767
chr6	106120951
chr6	110305330
chr6	116029615
chr6	118265931
chr6	120473908
chr6	125692414
chr6	127337426
chr6	131870734
chr6	133553701
chr6	138580402
chr6	140571081
chr6	145135262
chr6	147689101
chr7	4171803
chr7	5101496
chr7	6644471
chr7	10348125
chr7	12935355
chr7	19033577
chr7	19781873
chr7	24185699
chr7	28379892
chr7	28960036
chr7	34492563
chr7	39583089
chr7	44063642
chr7	47815162
chr7	48887663
