region	chromosome	position
chr1:191116008-191126008	chr1	191116046
chr1:191116008-191126008	chr1	191116267
chr1:191116008-191126008	chr1	191116267
chr1:191116008-191126008	chr1	191116413
chr1:191116008-191126008	chr1	191116419
chr1:191116008-191126008	chr1	191116427
chr1:191116008-191126008	chr1	191116427
chr1:191116008-191126008	chr1	191116443
chr1:191116008-191126008	chr1	191116995
chr1:191116008-191126008	chr1	191117231
chr1:191116008-191126008	chr1	191117749
chr1:191116008-191126008	chr1	191117749
chr1:191116008-191126008	chr1	191117791
chr1:191116008-191126008	chr1	191117791
chr1:191116008-191126008	chr1	191118263
chr1:191116008-191126008	chr1	191118428
chr1:191116008-191126008	chr1	191118468
chr1:191116008-191126008	chr1	191118487
chr1:191116008-191126008	chr1	191118507
chr1:191116008-191126008	chr1	191118551
chr1:191116008-191126008	chr1	191118551
chr1:191116008-191126008	chr1	191118852
chr1:191116008-191126008	chr1	191118852
chr1:191116008-191126008	chr1	191118852
chr1:191116008-191126008	chr1	191118852
chr1:191116008-191126008	chr1	191119287
chr1:191116008-191126008	chr1	191119378
chr1:191116008-191126008	chr1	191119580
chr1:191116008-191126008	chr1	191119616
chr1:191116008-191126008	chr1	191119696
chr1:191116008-191126008	chr1	191119698
chr1:191116008-191126008	chr1	191119757
chr1:191116008-191126008	chr1	191120009
chr1:191116008-191126008	chr1	191120138
chr1:191116008-191126008	chr1	191120138
chr1:191116008-191126008	chr1	191120154
chr1:191116008-191126008	chr1	191120188
chr1:191116008-191126008	chr1	191120194
chr1:191116008-191126008	chr1	191120204
chr1:191116008-191126008	chr1	191120204
chr1:191116008-191126008	chr1	191120210
chr1:191116008-191126008	chr1	191120225
chr1:191116008-191126008	chr1	191120225
chr1:191116008-191126008	chr1	191120240
chr1:191116008-191126008	chr1	191120240
chr1:191116008-191126008	chr1	191120249
chr1:191116008-191126008	chr1	191120275
chr1:191116008-191126008	chr1	191120277
chr1:191116008-191126008	chr1	191120285
chr1:191116008-191126008	chr1	191120285
chr1:191116008-191126008	chr1	191120288
chr1:191116008-191126008	chr1	191120319
chr1:191116008-191126008	chr1	191120321
chr1:191116008-191126008	chr1	191120351
chr1:191116008-191126008	chr1	191120351
chr1:191116008-191126008	chr1	191120590
chr1:191116008-191126008	chr1	191120649
chr1:191116008-191126008	chr1	191120671
chr1:191116008-191126008	chr1	191120671
chr1:191116008-191126008	chr1	191121756
chr1:191116008-191126008	chr1	191121756
chr1:191116008-191126008	chr1	191121810
chr1:191116008-191126008	chr1	191121810
chr1:191116008-191126008	chr1	191121939
chr1:191116008-191126008	chr1	191122026
chr1:191116008-191126008	chr1	191122026
chr1:191116008-191126008	chr1	191122026
chr1:191116008-191126008	chr1	191122059
chr1:191116008-191126008	chr1	191122195
chr1:191116008-191126008	chr1	191122837
chr1:191116008-191126008	chr1	191122837
chr1:191116008-191126008	chr1	191122919
chr1:191116008-191126008	chr1	191122919
chr1:191116008-191126008	chr1	191123085
chr1:191116008-191126008	chr1	191123091
chr1:191116008-191126008	chr1	191123340
