chromosome	position
chr1	191116347
chr1	191116702
chr1	191118972
chr1	191119471
chr1	191119574
chr1	191119688
chr1	191120283
chr1	191120936
chr1	191121132
chr1	191121541
chr1	191122597
chr1	191123428
chr1	191123697
chr1	191125948
chr1	93148143
chr1	93148880
chr1	93149067
chr1	93149855
chr1	93150379
chr1	93150411
chr1	93150934
chr1	93151179
chr1	93151619
chr1	93152014
chr1	93152138
chr1	93153147
chr1	93153370
chr1	93153508
chr1	93153552
chr1	93154490
chr1	93154660
chr1	93154845
chr1	93155064
chr1	93155487
chr1	93155514
chr1	93156218
chr1	93156316
chr1	93156550
chr1	93156978
chr1	93157647
chr1	113899828
chr1	113900968
chr1	113901794
chr1	113902588
chr1	113904620
chr1	113905092
chr1	113905322
chr1	113905479
chr1	113905666
chr1	113906145
chr1	113906328
chr1	113906373
chr1	113906707
chr1	113907117
chr1	113907551
chr1	46071167
chr1	46071357
chr1	46071469
chr1	46072285
chr1	46072320
chr1	46073143
chr1	46073423
chr1	46074269
chr1	46074409
chr1	46075625
chr1	46076066
chr1	46076072
chr1	46076129
chr1	46076436
chr1	46076536
chr1	46076541
chr1	46076791
chr1	46077159
chr1	46077295
chr1	46079345
chr1	46079459
chr1	46079831
chr1	46079884
chr1	46080246
chrX	116282409
chrX	116284469
chrX	116284801
chrX	116285901
chrX	116286789
chrX	116287203
chrX	116288378
chrX	116289637
chrX	116290363
chrX	116290794
chrX	116291191
chrX	116291234
chrX	116291565
chr3	138072574
chr3	138072897
chr3	138073076
chr3	138073203
chr3	138073620
chr3	138074204
chr3	138074577
chr3	138074912
chr3	138075970
chr3	138076733
chr3	138078038
chr3	138078282
chr3	138079250
chr3	138079553
chr3	138081855
chr3	138081985
chr3	138082006
chr3	138082296
chr3	121245084
chr3	121245111
chr3	121245769
chr3	121246343
chr3	121248550
chr3	121248564
chr3	121249039
chr3	121251458
chr3	121251683
chr3	121252297
chr3	121252793
chr3	121252870
chr3	121253335
chr3	121253370
chr3	121253888
chr3	121253993
chr3	121254168
chr3	121254381
chr3	121254749
chr4	72023524
chr4	72023564
chr4	72024886
chr4	72027158
chr4	72027977
chr4	72028090
chr4	72028505
chr4	72029501
chr4	72031639
chr4	72032560
chr4	72032761
chr5	114846982
chr5	114847062
chr5	114847607
chr5	114848858
chr5	114848983
chr5	114849153
chr5	114849362
chr5	114849610
chr5	114849968
chr5	114850147
chr5	114850647
chr5	114850839
chr5	114851238
chr5	114851547
chr5	114851694
chr5	114851802
chr5	114851803
chr5	114852067
chr5	114852101
chr5	114852855
chr5	114853225
chr5	114853264
chr5	114853309
chr5	114853348
chr5	114853570
chr5	114854275
chr5	114854563
chr5	114854749
chr5	114855657
chr5	114855755
chr5	114855861
chr5	114855865
chr5	114856631
chr7	120751513
chr7	120751615
chr7	120752036
chr7	120752116
chr7	120752138
chr7	120753097
chr7	120754003
chr7	120754845
chr7	120755160
chr7	120756420
chr7	120757533
chr7	120757789
chr7	120757952
chr7	120758745
chr10	55567753
chr10	55568205
chr10	55569680
chr10	55571992
chr10	55572636
chr10	55573504
chr10	55573660
chr10	55573701
chr10	55574387
chr10	55574536
chr10	55574661
chr10	55574830
chr10	55575244
chr10	55575560
chr10	55575602
chr10	55576492
chr10	55577127
chr10	55577319
chr10	55577559
chr10	55577689
chr14	56689145
chr14	56689246
chr14	56689576
chr14	56690398
chr14	56690482
chr14	56690755
chr14	56691650
chr14	56691971
chr14	56692207
chr14	56692285
chr14	56692960
chr14	56693085
chr14	56693157
chr14	56693621
chr14	56694936
chr14	56695180
chr14	56695740
chr14	56696713
chr14	56698658
chr14	56698814
chr14	56698929
chr14	56699070
chr9	113562161
chr9	113562617
chr9	113564152
chr9	113564634
chr9	113565085
chr9	113565232
chr9	113565560
chr9	113566225
chr9	113566235
chr9	113566412
chr9	113567198
chr9	113567416
chr9	113567665
chr9	113568553
chr9	113568661
chr9	113568766
chr9	113568900
chr9	113569548
chr9	113569693
chr9	113569812
chr9	113570114
chr9	113570620
chr9	113570992
chr13	45894217
chr13	45894341
chr13	45894767
chr13	45895360
chr13	45895495
chr13	45896121
chr13	45896703
chr13	45897309
chr13	45898379
chr13	45898669
chr13	45899075
chr13	45899773
chr13	45900027
chr13	45900596
chr13	45901320
chr13	45902033
chr13	45903505
chr13	45903812
chr12	80436435
chr12	80436447
chr12	80436456
chr12	80436719
chr12	80436734
chr12	80436911
chr12	80436950
chr12	80437097
chr12	80438187
chr12	80439021
chr12	80440783
chr12	80441421
chr12	80441433
chr12	80441860
chr12	80443329
chr12	80444232
chr12	80444907
chr12	80445357
chr12	80446181
chr17	24661737
chr17	24663959
chr17	24664033
chr17	24664474
chr17	24665289
chr17	24665343
chr17	24665599
chr17	24665827
chr17	24665934
chr17	24666633
chr17	24666799
chr17	24667666
chr17	24669575
chr17	24669906
chr17	24670029
chr17	24670127
chr17	24670430
chr17	24670571
chr17	24671010
chr17	6936982
chr17	6937312
chr17	6938134
chr17	6938465
chr17	6939432
chr17	6940252
chr17	6940514
chr17	6941339
chr17	6941569
chr17	6941761
chr17	6941869
chr17	6941912
chr17	6941975
chr17	6942873
chr17	6943286
chr17	6943499
chr17	6945373
chr17	6946703
chr17	7947294
chr17	7947325
chr17	7948465
chr17	7948994
chr17	7949050
chr17	7949661
chr17	7949919
chr17	7950706
chr17	7950920
chr17	7951280
chr17	7951506
chr17	7952744
chr17	7952910
chr17	7953403
chr17	7953911
chr17	7956173
chr17	7956547
chr17	7956671
chr17	7956991
chr17	7957001
chr17	7957360
