Rname	Junction
chr1	17446244
chr1	19176276
chr1	19176276
chr1	19176276
chr1	19986365
chr1	20674153
chr1	20674154
chr1	20674154
chr1	20674154
chr1	20674154
chr1	20674155
chr1	20674157
chr1	29693977
chr1	29811365
chr1	39108269
chr1	56397080
chr1	72047005
chr1	72219928
chr1	78084223
chr1	84751752
chr1	87168780
chr1	87168780
chr1	91105405
chr1	97977560
chr1	100763804
chr1	103961459
chr1	105268904
chr1	111020562
chr1	118974539
chr1	128633201
chr1	128877878
chr1	128877878
chr1	128877878
chr1	140884481
chr1	156635923
chr1	159958684
chr1	164228228
chr1	164228228
chr1	165189388
chr1	169830567
chr1	183138895
chr1	183608920
chr1	188672582
chr1	192374382
chr1	193303095
chr1	195371846
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856926
chr10	4856935
chr10	4856958
chr10	4856960
chr10	4856962
chr10	4856962
chr10	4857033
chr10	4857067
chr10	4857080
chr10	4857085
chr10	4857139
chr10	4939223
chr10	4939311
chr10	4939312
chr10	4939317
chr10	4939326
chr10	4997949
chr10	4997960
chr10	5001197
chr10	5001272
chr10	5001272
chr10	5001272
chr10	5001272
chr10	5001292
chr10	5001341
chr10	5001372
chr10	5001372
chr10	5001372
chr10	5816566
chr10	7346264
chr10	8545165
chr10	8545165
chr10	8545165
chr10	8545165
chr10	16642407
chr10	24162444
chr10	33681416
chr10	33681416
chr10	34598278
chr10	41798206
chr10	41798242
chr10	45470065
chr10	46957132
chr10	48145158
chr10	48922551
chr10	56832935
chr10	62663331
chr10	62887255
chr10	63957656
chr10	68157686
chr10	77151051
chr10	78413160
chr10	78773917
chr10	82215787
chr10	84341026
chr10	84861275
chr10	94872144
chr10	94872144
chr10	94872144
chr10	94872144
chr10	94872144
chr10	103898644
chr10	110725284
chr10	111363872
chr10	111623521
chr10	115390221
chr10	127940718
chr10	127940718
chr10	128720268
chr10	129202994
chr10	130594591
chr10	130594591
chr10	130594591
chr10	130594597
chr10	130594703
chr10	130594708
chr10	130594708
chr10	130594708
chr10	130594735
chr10	130594741
chr11	5374976
chr11	8967197
chr11	25365743
chr11	31342463
chr11	31342463
chr11	31342463
chr11	31342463
chr11	31343002
chr11	32178003
chr11	33367907
chr11	35618567
chr11	35797094
chr11	38331394
chr11	53567671
chr11	57788906
chr11	60326306
chr11	66149311
chr11	67049164
chr11	70184843
chr11	78062587
chr11	80226287
chr11	88604436
chr11	90613701
chr11	90613701
chr11	90613701
chr11	93995964
chr11	95247528
chr11	95247528
chr11	98925385
chr11	98935329
chr11	98935330
chr11	98939717
chr11	98939717
chr11	98939717
chr11	98939718
chr11	98939718
chr11	98962051
chr11	98975373
chr11	106999587
chr11	116968811
chr11	119304973
chr11	120690695
chr11	120851095
chr12	7926203
chr12	16588855
chr12	25182232
chr12	27296270
chr12	35053194
chr12	36870587
chr12	38449724
chr12	39096786
chr12	44935227
chr12	45057524
chr12	48979176
chr12	54315478
chr12	55379033
chr12	58308927
chr12	70333027
chr12	71876577
chr12	72338190
chr12	75503436
chr12	75841059
chr12	77738014
chr12	78887738
chr12	79344833
chr12	81689782
chr12	82527760
chr12	83390367
chr12	86977063
chr12	87552742
chr12	88210847
chr12	93577696
chr12	105462363
chr12	108179994
chr12	108179994
chr12	108229577
chr12	108229577
chr12	113597470
chr12	114200547
chr12	118908876
chr13	13860974
chr13	13865009
chr13	32994964
chr13	33917249
chr13	34647621
chr13	37869832
chr13	42423956
chr13	50316528
chr13	52834440
chr13	58025107
chr13	59774591
chr13	68934440
chr13	72618352
chr13	73179663
chr13	74087403
chr13	74087403
chr13	74087403
chr13	78558644
chr13	89798097
chr13	91736540
chr13	93941210
chr13	110603045
chr13	110744226
chr13	110744368
chr13	118032764
chr13	118740601
chr13	119141480
chr13	120321385
chr13	120321488
chr14	10274428
chr14	19417407
chr14	19417874
chr14	19418222
chr14	20957532
chr14	20957532
chr14	22888700
chr14	23717281
chr14	24809110
chr14	24809110
chr14	27385616
chr14	28785837
chr14	28785837
chr14	30250291
chr14	30933327
chr14	32271406
chr14	35862686
chr14	45318503
chr14	45566135
chr14	46795645
chr14	50327553
chr14	54112289
chr14	57099170
chr14	57099173
chr14	60660119
chr14	63209930
chr14	63209938
chr14	69161999
chr14	70712273
chr14	79448011
chr14	83710019
