chromosome	position
chr1	191116405
chr1	191116456
chr1	191116600
chr1	191116638
chr1	191116691
chr1	191116702
chr1	191116718
chr1	191117029
chr1	191117160
chr1	191117913
chr1	191118144
chr1	191118534
chr1	191118593
chr1	191118638
chr1	191118828
chr1	191118836
chr1	191118926
chr1	191119256
chr1	191119266
chr1	191119291
chr1	191119740
chr1	191120211
chr1	191120325
chr1	191120399
chr1	191120477
chr1	191120574
chr1	191120666
chr1	191120791
chr1	191120899
chr1	191120907
chr1	191120939
chr1	191120941
chr1	191121010
chr1	191121094
chr1	191121605
chr1	191121667
chr1	191121980
chr1	191121999
chr1	191122089
chr1	191122244
chr1	191122337
chr1	191122450
chr1	191122673
chr1	191122864
chr1	191123065
chr1	191123407
chr1	191123526
chr1	191123529
chr1	191123624
chr1	191123665
chr1	191124216
chr1	191124341
chr1	191124705
chr1	191124896
chr1	191125202
chr1	191125266
chr1	191125416
chr1	191125540
chr1	191125761
chr1	93147769
chr1	93147851
chr1	93148072
chr1	93148212
chr1	93148241
chr1	93148278
chr1	93148694
chr1	93148748
chr1	93148783
chr1	93148962
chr1	93149067
chr1	93149078
chr1	93149284
chr1	93149411
chr1	93149427
chr1	93149642
chr1	93149735
chr1	93149746
chr1	93149855
chr1	93149860
chr1	93149936
chr1	93150011
chr1	93150013
chr1	93150142
chr1	93150156
chr1	93150204
chr1	93150208
chr1	93150211
chr1	93150246
chr1	93150272
chr1	93150319
chr1	93150602
chr1	93150996
chr1	93151030
chr1	93151136
chr1	93151243
chr1	93151331
chr1	93151343
chr1	93151358
chr1	93151667
chr1	93151673
chr1	93151698
chr1	93151753
chr1	93151761
chr1	93151761
chr1	93151879
chr1	93151884
chr1	93152014
chr1	93152063
chr1	93152098
chr1	93152111
chr1	93152156
chr1	93152173
chr1	93152304
chr1	93152321
chr1	93152417
chr1	93152457
chr1	93152532
chr1	93152589
chr1	93152722
chr1	93152740
chr1	93152806
chr1	93152895
chr1	93153014
chr1	93153122
chr1	93153313
chr1	93153430
chr1	93153442
chr1	93153444
chr1	93153487
chr1	93153546
chr1	93153552
chr1	93153653
chr1	93153697
chr1	93153718
chr1	93153884
chr1	93153943
chr1	93153954
chr1	93153966
chr1	93153983
chr1	93154046
chr1	93154141
chr1	93154303
chr1	93154375
chr1	93154439
chr1	93154465
chr1	93154485
chr1	93154619
chr1	93154728
chr1	93154784
chr1	93154814
chr1	93154819
chr1	93154907
chr1	93155330
chr1	93155338
chr1	93155348
chr1	93155424
chr1	93155432
chr1	93155609
chr1	93155653
chr1	93155683
chr1	93155749
chr1	93155762
chr1	93155903
chr1	93156038
chr1	93156052
chr1	93156072
chr1	93156076
chr1	93156172
chr1	93156258
chr1	93156281
chr1	93156314
chr1	93156327
chr1	93156477
chr1	93156553
chr1	93156555
chr1	93156585
chr1	93156605
chr1	93156663
chr1	93156774
chr1	93156804
chr1	93156853
chr1	93156895
chr1	93156898
chr1	93157010
chr1	93157125
chr1	93157129
chr1	93157198
chr1	93157370
chr1	93157501
chr1	93157671
chr1	93157747
chr1	93157770
chr1	113899229
chr1	113899494
chr1	113899511
chr1	113900282
chr1	113900305
chr1	113900316
chr1	113900510
chr1	113900539
chr1	113900591
chr1	113900830
chr1	113900884
chr1	113900892
chr1	113901224
chr1	113901359
chr1	113901599
chr1	113902023
chr1	113902048
chr1	113902058
chr1	113902315
chr1	113902500
chr1	113902517
chr1	113902564
chr1	113902619
