region	chromosome	position
chr1:191116008-191126008	chr1	191117307
chr1:191116008-191126008	chr1	191117346
chr1:191116008-191126008	chr1	191117448
chr1:191116008-191126008	chr1	191117448
chr1:191116008-191126008	chr1	191118110
chr1:191116008-191126008	chr1	191118110
chr1:191116008-191126008	chr1	191118155
chr1:191116008-191126008	chr1	191118161
chr1:191116008-191126008	chr1	191118161
chr1:191116008-191126008	chr1	191118189
chr1:191116008-191126008	chr1	191118791
chr1:191116008-191126008	chr1	191118827
chr1:191116008-191126008	chr1	191120138
chr1:191116008-191126008	chr1	191120138
chr1:191116008-191126008	chr1	191120232
chr1:191116008-191126008	chr1	191120255
chr1:191116008-191126008	chr1	191120587
chr1:191116008-191126008	chr1	191120587
chr1:191116008-191126008	chr1	191121663
chr1:191116008-191126008	chr1	191121773
chr1:191116008-191126008	chr1	191122016
chr1:191116008-191126008	chr1	191122026
chr1:191116008-191126008	chr1	191122252
chr1:191116008-191126008	chr1	191122252
chr1:191116008-191126008	chr1	191122256
chr1:191116008-191126008	chr1	191122256
chr1:191116008-191126008	chr1	191122440
chr1:191116008-191126008	chr1	191122440
chr1:191116008-191126008	chr1	191122469
chr1:191116008-191126008	chr1	191122469
chr1:191116008-191126008	chr1	191122924
chr1:191116008-191126008	chr1	191122924
chr1:191116008-191126008	chr1	191122995
chr1:191116008-191126008	chr1	191122995
chr1:191116008-191126008	chr1	191123407
chr1:191116008-191126008	chr1	191123407
chr1:191116008-191126008	chr1	191123781
chr1:191116008-191126008	chr1	191123781
chr1:191116008-191126008	chr1	191123822
chr1:191116008-191126008	chr1	191123822
chr1:191116008-191126008	chr1	191123826
chr1:191116008-191126008	chr1	191123826
chr1:191116008-191126008	chr1	191124506
chr1:191116008-191126008	chr1	191124506
chr1:191116008-191126008	chr1	191124506
chr1:191116008-191126008	chr1	191124506
chr1:191116008-191126008	chr1	191124641
chr1:191116008-191126008	chr1	191124641
chr1:191116008-191126008	chr1	191124641
chr1:191116008-191126008	chr1	191124641
chr1:191116008-191126008	chr1	191124701
chr1:191116008-191126008	chr1	191124701
chr1:191116008-191126008	chr1	191124928
chr1:191116008-191126008	chr1	191124928
chr1:191116008-191126008	chr1	191124928
chr1:191116008-191126008	chr1	191124928
chr1:191116008-191126008	chr1	191124946
chr1:191116008-191126008	chr1	191124946
chr1:191116008-191126008	chr1	191125088
chr1:191116008-191126008	chr1	191125088
chr1:191116008-191126008	chr1	191125088
chr1:191116008-191126008	chr1	191125088
chr1:191116008-191126008	chr1	191125088
chr1:191116008-191126008	chr1	191125088
chr1:191116008-191126008	chr1	191125088
chr1:191116008-191126008	chr1	191125088
chr1:191116008-191126008	chr1	191125224
chr1:191116008-191126008	chr1	191125292
chr1:191116008-191126008	chr1	191125310
chr1:191116008-191126008	chr1	191125310
chr1:191116008-191126008	chr1	191125935
chr1:191116008-191126008	chr1	191125935
chr1:191116008-191126008	chr1	191125953
chr1:191116008-191126008	chr1	191125976
chr1:191116008-191126008	chr1	191125979
chr1:191116008-191126008	chr1	191125979
chr1:93147786-93157786	chr1	93147759
chr1:93147786-93157786	chr1	93147759
chr1:93147786-93157786	chr1	93147759
chr1:93147786-93157786	chr1	93147759
chr1:93147786-93157786	chr1	93148105
chr1:93147786-93157786	chr1	93148105
chr1:93147786-93157786	chr1	93148105
chr1:93147786-93157786	chr1	93148105
chr1:93147786-93157786	chr1	93148186
chr1:93147786-93157786	chr1	93148186
chr1:93147786-93157786	chr1	93148186
chr1:93147786-93157786	chr1	93148186
chr1:93147786-93157786	chr1	93148305
chr1:93147786-93157786	chr1	93148305
chr1:93147786-93157786	chr1	93148599
chr1:93147786-93157786	chr1	93148648
chr1:93147786-93157786	chr1	93149112
chr1:93147786-93157786	chr1	93149150
chr1:93147786-93157786	chr1	93149601
chr1:93147786-93157786	chr1	93149601
chr1:93147786-93157786	chr1	93150268
chr1:93147786-93157786	chr1	93150268
chr1:93147786-93157786	chr1	93150352
chr1:93147786-93157786	chr1	93150352
chr1:93147786-93157786	chr1	93150377
chr1:93147786-93157786	chr1	93150431
chr1:93147786-93157786	chr1	93150456
chr1:93147786-93157786	chr1	93150726
chr1:93147786-93157786	chr1	93150734
chr1:93147786-93157786	chr1	93150734
chr1:93147786-93157786	chr1	93150734
chr1:93147786-93157786	chr1	93150808
chr1:93147786-93157786	chr1	93150831
chr1:93147786-93157786	chr1	93150831
chr1:93147786-93157786	chr1	93150831
chr1:93147786-93157786	chr1	93150853
chr1:93147786-93157786	chr1	93150879
chr1:93147786-93157786	chr1	93151025
chr1:93147786-93157786	chr1	93151025
chr1:93147786-93157786	chr1	93151113
chr1:93147786-93157786	chr1	93151113
chr1:93147786-93157786	chr1	93151114
chr1:93147786-93157786	chr1	93151114
chr1:93147786-93157786	chr1	93151114
chr1:93147786-93157786	chr1	93151114
chr1:93147786-93157786	chr1	93151114
chr1:93147786-93157786	chr1	93151114
chr1:93147786-93157786	chr1	93151114
chr1:93147786-93157786	chr1	93151114
chr1:93147786-93157786	chr1	93151138
chr1:93147786-93157786	chr1	93151138
chr1:93147786-93157786	chr1	93151450
chr1:93147786-93157786	chr1	93151450
chr1:93147786-93157786	chr1	93151508
chr1:93147786-93157786	chr1	93151508
chr1:93147786-93157786	chr1	93151808
chr1:93147786-93157786	chr1	93151835
chr1:93147786-93157786	chr1	93152036
chr1:93147786-93157786	chr1	93152083
chr1:93147786-93157786	chr1	93152179
chr1:93147786-93157786	chr1	93152179
chr1:93147786-93157786	chr1	93152179
chr1:93147786-93157786	chr1	93152179
chr1:93147786-93157786	chr1	93152205
chr1:93147786-93157786	chr1	93152205
chr1:93147786-93157786	chr1	93152205
chr1:93147786-93157786	chr1	93152205
chr1:93147786-93157786	chr1	93152205
chr1:93147786-93157786	chr1	93152205
chr1:93147786-93157786	chr1	93152444
chr1:93147786-93157786	chr1	93152455
chr1:93147786-93157786	chr1	93152605
chr1:93147786-93157786	chr1	93152645
chr1:93147786-93157786	chr1	93152861
chr1:93147786-93157786	chr1	93152861
chr1:93147786-93157786	chr1	93153244
chr1:93147786-93157786	chr1	93153296
chr1:93147786-93157786	chr1	93153356
chr1:93147786-93157786	chr1	93153356
chr1:93147786-93157786	chr1	93153356
chr1:93147786-93157786	chr1	93153379
chr1:93147786-93157786	chr1	93153394
chr1:93147786-93157786	chr1	93153394
chr1:93147786-93157786	chr1	93153504
chr1:93147786-93157786	chr1	93153504
chr1:93147786-93157786	chr1	93153504
chr1:93147786-93157786	chr1	93153504
chr1:93147786-93157786	chr1	93153589
chr1:93147786-93157786	chr1	93153589
chr1:93147786-93157786	chr1	93154122
chr1:93147786-93157786	chr1	93154145
chr1:93147786-93157786	chr1	93154310
chr1:93147786-93157786	chr1	93154310
chr1:93147786-93157786	chr1	93154471
chr1:93147786-93157786	chr1	93154471
chr1:93147786-93157786	chr1	93154507
chr1:93147786-93157786	chr1	93154507
chr1:93147786-93157786	chr1	93154543
chr1:93147786-93157786	chr1	93154610
chr1:93147786-93157786	chr1	93154769
chr1:93147786-93157786	chr1	93154877
chr1:93147786-93157786	chr1	93154961
chr1:93147786-93157786	chr1	93154961
chr1:93147786-93157786	chr1	93155238
chr1:93147786-93157786	chr1	93155238
chr1:93147786-93157786	chr1	93155285
chr1:93147786-93157786	chr1	93155285
chr1:93147786-93157786	chr1	93155370
chr1:93147786-93157786	chr1	93155370
chr1:93147786-93157786	chr1	93155606
chr1:93147786-93157786	chr1	93155606
chr1:93147786-93157786	chr1	93155606
chr1:93147786-93157786	chr1	93155606
chr1:93147786-93157786	chr1	93155645
chr1:93147786-93157786	chr1	93155683
chr1:93147786-93157786	chr1	93155758
chr1:93147786-93157786	chr1	93155758
chr1:93147786-93157786	chr1	93156646
chr1:93147786-93157786	chr1	93156646
chr1:93147786-93157786	chr1	93156942
chr1:93147786-93157786	chr1	93156946
chr1:93147786-93157786	chr1	93157021
chr1:93147786-93157786	chr1	93157021
chr1:93147786-93157786	chr1	93157396
chr1:93147786-93157786	chr1	93157557
chr1:93147786-93157786	chr1	93157557
chr1:93147786-93157786	chr1	93157557
chr1:93147786-93157786	chr1	93157557
chr1:113899189-113909189	chr1	113899125
chr1:113899189-113909189	chr1	113899125
chr1:113899189-113909189	chr1	113899962
chr1:113899189-113909189	chr1	113899962
chr1:113899189-113909189	chr1	113901047
chr1:113899189-113909189	chr1	113901136
chr1:113899189-113909189	chr1	113901436
chr1:113899189-113909189	chr1	113901436
chr1:113899189-113909189	chr1	113901792
chr1:113899189-113909189	chr1	113901792
chr1:113899189-113909189	chr1	113901920
chr1:113899189-113909189	chr1	113901920
chr1:113899189-113909189	chr1	113901920
chr1:113899189-113909189	chr1	113901920
chr1:113899189-113909189	chr1	113901954
chr1:113899189-113909189	chr1	113901954
chr1:113899189-113909189	chr1	113901954
chr1:113899189-113909189	chr1	113901954
chr1:113899189-113909189	chr1	113902573
chr1:113899189-113909189	chr1	113902613
chr1:113899189-113909189	chr1	113902636
chr1:113899189-113909189	chr1	113902636
