chromosome	position
chrR	6449
chrR	6450
chrR	6450
chrR	6452
chrR	6453
chrR	6460
chrR	6463
chrR	6464
chrR	6465
chrR	6466
chrR	6467
chrR	6469
chrR	6471
chrR	6472
chrR	6474
chrR	6475
chrR	6476
chrR	6480
chrR	6482
chrR	6482
chrR	6486
chrR	6488
chrR	6490
chrR	6503
chrR	6599
chrR	6599
chrR	6601
chrR	6614
chrR	6615
chrR	6626
chrR	6636
chrR	6644
chrR	6651
chrR	6746
chrR	6746
chrR	6750
chrR	6750
chrR	6759
chrR	6759
chrR	6760
chrR	6765
chrR	6767
chrR	6768
chrR	6771
chrR	6771
chrR	6771
chrR	6772
chrR	6775
chrR	6777
chrR	6777
chrR	6781
chrR	6781
chrR	6786
chrR	6789
chrR	6791
chrR	6793
chrR	6793
chrR	6795
chrR	6795
chrR	6795
chrR	6799
chrR	6801
chrR	6810
chrR	6814
chrR	6817
chrR	6817
chrR	6820
chrR	6823
chrR	6829
chrR	6829
chrR	6831
chrR	6834
chrR	6836
chrR	6841
chrR	6846
chrR	6849
chrR	6850
chrR	6853
chrR	6855
chrR	6858
chrR	6858
chrR	6861
chrR	6868
chrR	6870
chrR	6872
chrR	6878
chrR	6882
chrR	6884
chrR	6889
chrR	6891
chrR	6895
chrR	6895
chrR	6897
chrR	6899
chrR	6901
chrR	6904
chrR	6904
chrR	6904
chrR	6908
chrR	6910
chrR	6911
chrR	6923
chrR	6928
chrR	6932
chrR	6934
chrR	6936
chrR	6946
chrR	6948
chrR	6950
chrR	6955
chrR	6959
chrR	6964
chrR	6968
chrR	6971
chrR	6972
chrR	6979
chrR	6990
chrR	6992
chrR	6995
chrR	6996
chrR	6996
chrR	6997
chrR	7003
chrR	7004
chrR	7006
chrR	7009
chrR	7013
chrR	7016
chrR	7018
chrR	7019
chrR	7019
chrR	7021
chrR	7023
chrR	7029
chrR	7037
chrR	7038
chrR	7040
chrR	7042
chrR	7045
chrR	7046
chrR	7049
chrR	7051
chrR	7056
chrR	7057
chrR	7062
chrR	7062
chrR	7066
chrR	7069
chrR	7070
chrR	7076
chrR	7122
chrR	7183
chrR	7185
chrR	7189
chrR	7189
chrR	7191
chrR	7192
chrR	7194
chrR	7198
chrR	7199
chrR	7201
chrR	7207
chrR	7212
chrR	7217
chrR	7220
chrR	7222
chrR	7228
chrR	7229
chrR	7229
chrR	7230
chrR	7231
chrR	7233
chrR	7234
chrR	7237
chrR	7238
chrR	7239
chrR	7245
chrR	7246
chrR	7250
chrR	7252
chrR	7255
chrR	7256
chrR	7262
chrR	7264
chrR	7265
chrR	7270
chrR	7270
chrR	7271
chrR	7277
chrR	7282
chrR	7283
chrR	7285
chrR	7286
chrR	7292
chrR	7294
chrR	7294
chrR	7297
chrR	7298
chrR	7299
chrR	7300
chrR	7301
chrR	7305
chrR	7307
chrR	7307
chrR	7311
chrR	7315
