chromosome	position
chr1	191115958
chr1	191115992
chr1	191116237
chr1	191116898
chr1	191117133
chr1	191117463
chr1	191118159
chr1	191118190
chr1	191118479
chr1	191118511
chr1	191118554
chr1	191118639
chr1	191118675
chr1	191119030
chr1	191119117
chr1	191119126
chr1	191119220
chr1	191119483
chr1	191119594
chr1	191119761
chr1	191119794
chr1	191120466
chr1	191120599
chr1	191120702
chr1	191120740
chr1	191120801
chr1	191120929
chr1	191120932
chr1	191120936
chr1	191120939
chr1	191120939
chr1	191120942
chr1	191121010
chr1	191121532
chr1	191121654
chr1	191121837
chr1	191121962
chr1	191122019
chr1	191122069
chr1	191122098
chr1	191122337
chr1	191122450
chr1	191122573
chr1	191122707
chr1	191122968
chr1	191123068
chr1	191123274
chr1	191123428
chr1	191123438
chr1	191123528
chr1	191123550
chr1	191123921
chr1	191123967
chr1	191124378
chr1	191124390
chr1	191124392
chr1	191124470
chr1	191124515
chr1	191124671
chr1	191124690
chr1	191124851
chr1	191124924
chr1	191125032
chr1	191125266
chr1	191125421
chr1	191125527
chr1	191125591
chr1	191125742
chr1	191125762
chr1	191125779
chr1	191125891
chr1	191125895
chr1	191125937
chr1	191125967
chr1	191125996
chr1	93147737
chr1	93147901
chr1	93148252
chr1	93148367
chr1	93148605
chr1	93148707
chr1	93148761
chr1	93148851
chr1	93148942
chr1	93149196
chr1	93149214
chr1	93149259
chr1	93149284
chr1	93149296
chr1	93149305
chr1	93149344
chr1	93149608
chr1	93149735
chr1	93149804
chr1	93150142
chr1	93150201
chr1	93150206
chr1	93150452
chr1	93150749
chr1	93150770
chr1	93150844
chr1	93150866
chr1	93150972
chr1	93151011
chr1	93151030
chr1	93151060
chr1	93151143
chr1	93151149
chr1	93151169
chr1	93151201
chr1	93151595
chr1	93151651
chr1	93151685
chr1	93151749
chr1	93151780
chr1	93151882
chr1	93152009
chr1	93152014
chr1	93152098
chr1	93152147
chr1	93152173
chr1	93152280
chr1	93152311
chr1	93152341
chr1	93152372
chr1	93152536
chr1	93152603
chr1	93152724
chr1	93152762
chr1	93152767
chr1	93152781
chr1	93152806
chr1	93152813
chr1	93152884
chr1	93152895
chr1	93152897
chr1	93152919
chr1	93152924
chr1	93153078
chr1	93153093
chr1	93153153
chr1	93153179
chr1	93153269
chr1	93153322
chr1	93153344
chr1	93153430
chr1	93153446
chr1	93153453
chr1	93153508
chr1	93153515
chr1	93153522
chr1	93153530
chr1	93153559
chr1	93153720
chr1	93153856
chr1	93153894
chr1	93153895
chr1	93153966
chr1	93154030
chr1	93154068
chr1	93154076
chr1	93154224
chr1	93154251
chr1	93154303
chr1	93154365
chr1	93154439
chr1	93154463
chr1	93154526
chr1	93154530
chr1	93154535
chr1	93154824
chr1	93154825
chr1	93155114
chr1	93155236
chr1	93155317
chr1	93155418
chr1	93155594
chr1	93155609
chr1	93155624
chr1	93155626
chr1	93155654
chr1	93155749
chr1	93155778
chr1	93155807
chr1	93155898
chr1	93156314
chr1	93156327
chr1	93156411
chr1	93156418
chr1	93156432
chr1	93156449
chr1	93156468
chr1	93156477
chr1	93156509
chr1	93156663
chr1	93156814
chr1	93157018
chr1	93157043
chr1	93157057
chr1	93157068
chr1	93157202
chr1	93157332
chr1	93157379
chr1	93157467
chr1	93157493
chr1	93157501
chr1	93157519
chr1	93157529
chr1	93157607
chr1	93157661
chr1	93157689
chr1	113899430
chr1	113899850
chr1	113899967
chr1	113900120
chr1	113900324
chr1	113900712
chr1	113900729
chr1	113900989
chr1	113901203
chr1	113901225
chr1	113901447
chr1	113901486
chr1	113901798
chr1	113902306
chr1	113902312
chr1	113902413
chr1	113902415
chr1	113902564
chr1	113902732
chr1	113902931
chr1	113903182
chr1	113903353
chr1	113903550
chr1	113903600
chr1	113903650
chr1	113904009
chr1	113904014
chr1	113904041
chr1	113904769
chr1	113905586
chr1	113906247
chr1	113906418
chr1	113907019
chr1	113907292
chr1	113907363
chr1	113907771
chr1	113907856
chr1	113908112
chr1	113908237
chr1	113908527
chr1	113908567
chr1	113908567
chr1	113909027
chr1	113909148
chr1	46071130
chr1	46071222
chr1	46071389
chr1	46071472
chr1	46071492
chr1	46071624
chr1	46071669
chr1	46071791
chr1	46071816
chr1	46071859
chr1	46072293
chr1	46072531
chr1	46072817
chr1	46072930
chr1	46072931
chr1	46073238
chr1	46073570
chr1	46073584
chr1	46073667
chr1	46073723
chr1	46074287
chr1	46074560
chr1	46074839
chr1	46075002
chr1	46075081
chr1	46075159
chr1	46075282
chr1	46075310
chr1	46075995
chr1	46076006
chr1	46076066
chr1	46076072
chr1	46076076
chr1	46076082
chr1	46076103
chr1	46076312
chr1	46076460
chr1	46076516
chr1	46076620
chr1	46076688
chr1	46077043
chr1	46077096
chr1	46077162
chr1	46077193
chr1	46077260
chr1	46077368
chr1	46077581
chr1	46077779
chr1	46077891
chr1	46077919
chr1	46079133
chr1	46079450
chr1	46079571
chr1	46079626
chr1	46080097
chr1	46080270
chr1	46080922
chr1	46080970
chrX	116282171
chrX	116282958
chrX	116283364
chrX	116283668
chrX	116284215
chrX	116284459
chrX	116284469
chrX	116285468
chrX	116286432
chrX	116286913
chrX	116287039
chrX	116287077
chrX	116287168
chrX	116287383
chrX	116287448
chrX	116287487
chrX	116287509
chrX	116287546
chrX	116288128
chrX	116288262
chrX	116288412
chrX	116289022
chrX	116289365
chrX	116289454
chrX	116289787
chrX	116290420
chrX	116290736
chrX	116290882
chrX	116291028
chrX	116291286
chrX	116291317
chrX	116291615
chr3	138072632
chr3	138072679
chr3	138072684
chr3	138072707
chr3	138072874
chr3	138072936
chr3	138073060
chr3	138073076
chr3	138073098
chr3	138073264
chr3	138073266
chr3	138073273
chr3	138073410
chr3	138073454
chr3	138073788
chr3	138073846
chr3	138073946
chr3	138074423
chr3	138074449
chr3	138074625
chr3	138074912
chr3	138074980
chr3	138075020
chr3	138075093
chr3	138075306
chr3	138075321
chr3	138075630
chr3	138075857
chr3	138076338
chr3	138076672
chr3	138077094
chr3	138077095
chr3	138077098
chr3	138077210
chr3	138077289
chr3	138077317
chr3	138077492
chr3	138077560
chr3	138077605
chr3	138077965
chr3	138078137
chr3	138078509
chr3	138078562
chr3	138079202
chr3	138079208
chr3	138079208
chr3	138079353
chr3	138079690
chr3	138080481
chr3	138080604
chr3	138080688
chr3	138080888
chr3	138081147
chr3	138081291
chr3	138081301
chr3	138081370
chr3	138081607
chr3	138081636
chr3	138081662
chr3	138081665
chr3	138081786
chr3	138081825
chr3	138081867
chr3	138082226
chr3	121244900
chr3	121245026
chr3	121245068
chr3	121245139
chr3	121245467
chr3	121245490
chr3	121245558
chr3	121245942
chr3	121247445
chr3	121247474
chr3	121247480
chr3	121247506
chr3	121247521
chr3	121247698
chr3	121247704
chr3	121247778
chr3	121248259
chr3	121248393
chr3	121248429
chr3	121248497
chr3	121248829
chr3	121248906
chr3	121248973
chr3	121249044
chr3	121249817
chr3	121249840
chr3	121249845
chr3	121250032
chr3	121250108
chr3	121250221
chr3	121250221
chr3	121250234
chr3	121250308
chr3	121250384
chr3	121250392
chr3	121250413
chr3	121250421
chr3	121250450
chr3	121250656
chr3	121250873
chr3	121250934
chr3	121251030
chr3	121251169
chr3	121251248
chr3	121251255
chr3	121251282
chr3	121251335
chr3	121251370
chr3	121251410
chr3	121251431
chr3	121251462
chr3	121251468
chr3	121251515
chr3	121252425
chr3	121252465
chr3	121252565
chr3	121252614
chr3	121252682
chr3	121252813
chr3	121252828
chr3	121252884
chr3	121253009
chr3	121253884
chr3	121253898
chr3	121253946
chr3	121254053
chr3	121254745
chr3	121254770
chr3	121254798
chr3	121254865
chr4	72025053
chr4	72025156
chr4	72028084
chr4	72028416
chr4	72029263
chr4	72029540
chr4	72029558
chr4	72029659
chr4	72030660
chr4	72030706
chr4	72031626
chr4	72031799
chr4	72032483
chr4	72032491
chr4	72032933
chr5	114846973
chr5	114847009
chr5	114847014
chr5	114847019
chr5	114847019
chr5	114847043
chr5	114847301
chr5	114847305
chr5	114847312
chr5	114847374
chr5	114847410
chr5	114847581
chr5	114847637
chr5	114847648
chr5	114847787
chr5	114847859
chr5	114847899
chr5	114847984
chr5	114848027
chr5	114848035
chr5	114848041
chr5	114848080
chr5	114848240
chr5	114848264
chr5	114848282
chr5	114848337
chr5	114848337
chr5	114848525
chr5	114848571
chr5	114848618
chr5	114848622
chr5	114848639
chr5	114848671
chr5	114848683
chr5	114848790
chr5	114848844
chr5	114848851
chr5	114848885
chr5	114848916
chr5	114848983
chr5	114849093
chr5	114849231
chr5	114849357
chr5	114849617
chr5	114849664
chr5	114849777
chr5	114849809
chr5	114849820
chr5	114849892
chr5	114849932
chr5	114849939
chr5	114849955
chr5	114849964
chr5	114850001
chr5	114850019
chr5	114850063
chr5	114850064
chr5	114850071
chr5	114850147
chr5	114850155
chr5	114850210
chr5	114850220
chr5	114850226
chr5	114850245
chr5	114850254
chr5	114850307
chr5	114850310
chr5	114850321
chr5	114850329
chr5	114850333
chr5	114850388
chr5	114850421
chr5	114850453
chr5	114850457
chr5	114850464
chr5	114850477
chr5	114850502
chr5	114850510
chr5	114850554
chr5	114850760
chr5	114850788
chr5	114850804
chr5	114850834
chr5	114850836
chr5	114850919
chr5	114850960
chr5	114850963
chr5	114850970
chr5	114850978
chr5	114850981
chr5	114850987
chr5	114850993
chr5	114850997
chr5	114851024
chr5	114851037
chr5	114851200
chr5	114851238
chr5	114851380
chr5	114851388
chr5	114851411
chr5	114851490
chr5	114851497
chr5	114851547
chr5	114851588
chr5	114851604
chr5	114851622
chr5	114851670
chr5	114851674
chr5	114851762
chr5	114851791
chr5	114851808
chr5	114852060
chr5	114852133
chr5	114852189
chr5	114852216
chr5	114852267
chr5	114852269
chr5	114852309
chr5	114852357
chr5	114852370
chr5	114852513
chr5	114852588
chr5	114852596
chr5	114852793
chr5	114852797
chr5	114852842
chr5	114853018
chr5	114853025
chr5	114853025
chr5	114853031
chr5	114853083
chr5	114853084
chr5	114853145
chr5	114853151
chr5	114853193
chr5	114853211
chr5	114853246
chr5	114853319
chr5	114853364
chr5	114853491
chr5	114853548
chr5	114853571
chr5	114853849
chr5	114853934
chr5	114853950
chr5	114854282
chr5	114854328
chr5	114854409
chr5	114854441
chr5	114854489
chr5	114854569
chr5	114854575
chr5	114854604
chr5	114854688
chr5	114854793
chr5	114854935
chr5	114855113
chr5	114855120
chr5	114855256
chr5	114855535
chr5	114855586
chr5	114855612
chr5	114856005
chr5	114856071
chr5	114856098
chr5	114856179
chr5	114856203
chr5	114856247
chr5	114856300
chr5	114856346
chr5	114856353
chr5	114856369
chr5	114856403
chr5	114856462
chr5	114856495
chr5	114856570
chr5	114856619
chr5	114856713
chr5	114856721
chr5	114856725
chr5	114856751
chr5	114856774
chr5	114856855
chr5	114856889
chr5	114856970
chr5	114857001
chr7	120749624
chr7	120749796
chr7	120749822
chr7	120749912
chr7	120749959
chr7	120750122
chr7	120750264
chr7	120750397
chr7	120750402
chr7	120750452
chr7	120750456
chr7	120750700
chr7	120750787
chr7	120750821
chr7	120750907
chr7	120750990
chr7	120751000
chr7	120751013
chr7	120751105
chr7	120751366
chr7	120751450
chr7	120751578
chr7	120751590
chr7	120751714
chr7	120751784
chr7	120751787
chr7	120751840
chr7	120751854
chr7	120751856
chr7	120751866
chr7	120751972
chr7	120752169
chr7	120752291
chr7	120752521
chr7	120752751
chr7	120752754
chr7	120753145
chr7	120753349
chr7	120753442
chr7	120753794
chr7	120753889
chr7	120753944
chr7	120754070
chr7	120754074
chr7	120754715
chr7	120755497
chr7	120755525
chr7	120755536
chr7	120755832
chr7	120755858
chr7	120755925
chr7	120756211
chr7	120756274
chr7	120756552
chr7	120756621
chr7	120756676
chr7	120756849
chr7	120756885
chr7	120756904
chr7	120757023
chr7	120757033
chr7	120757072
chr7	120757121
chr7	120757193
chr7	120757547
chr7	120757560
chr7	120757560
chr7	120757690
chr7	120757802
chr7	120757930
chr7	120758014
chr7	120758096
chr7	120758209
chr7	120758320
chr7	120758571
chr7	120758597
chr7	120758661
chr7	120758720
chr7	120758860
chr7	120758985
chr7	120759078
chr10	55567903
chr10	55568106
chr10	55568108
chr10	55568238
chr10	55568764
chr10	55568840
chr10	55569084
chr10	55569277
chr10	55569290
chr10	55569487
chr10	55569505
chr10	55569795
chr10	55569831
chr10	55570021
chr10	55570061
chr10	55570095
chr10	55570099
chr10	55570460
chr10	55570693
chr10	55570800
chr10	55571169
chr10	55571444
chr10	55571671
chr10	55571905
chr10	55571934
chr10	55572444
chr10	55572628
chr10	55573461
chr10	55573641
chr10	55574503
chr10	55574514
chr10	55574522
chr10	55574530
chr10	55574602
chr10	55574748
chr10	55574786
chr10	55574837
chr10	55574868
chr10	55574886
chr10	55574935
chr10	55574947
chr10	55575049
chr10	55575085
chr10	55575134
chr10	55575255
chr10	55575288
chr10	55575361
chr10	55575403
chr10	55576005
chr10	55576133
chr10	55576179
chr10	55576210
chr10	55576446
chr10	55576581
chr10	55576855
chr10	55577026
chr10	55577069
chr10	55577201
chr10	55577529
chr10	55577616
chr10	55577701
chr14	56689224
chr14	56689414
chr14	56689620
chr14	56689676
chr14	56689762
chr14	56689837
chr14	56689968
chr14	56690137
chr14	56690352
chr14	56690440
chr14	56690473
chr14	56690501
chr14	56690511
chr14	56690567
chr14	56690690
chr14	56690786
chr14	56690942
chr14	56690963
chr14	56691712
chr14	56692054
chr14	56692081
chr14	56692130
chr14	56692278
chr14	56692357
chr14	56692367
chr14	56692434
chr14	56692474
chr14	56692740
chr14	56692820
chr14	56692910
chr14	56693123
chr14	56693144
chr14	56693289
chr14	56693820
chr14	56693866
chr14	56693968
chr14	56694023
chr14	56694035
chr14	56694077
chr14	56694199
chr14	56694248
chr14	56694370
chr14	56694552
chr14	56694832
chr14	56694839
chr14	56695495
chr14	56695712
chr14	56696255
chr14	56696409
chr14	56696943
chr14	56697056
chr14	56697079
chr14	56697765
chr14	56697822
chr14	56697910
chr14	56698165
chr14	56698189
chr14	56698277
chr14	56698572
chr14	56698602
chr14	56699027
chr9	113561679
chr9	113561765
chr9	113561949
chr9	113561957
chr9	113562045
chr9	113562217
chr9	113562351
chr9	113562389
chr9	113562623
chr9	113563004
chr9	113563060
chr9	113564315
chr9	113564625
chr9	113565315
chr9	113565530
chr9	113565533
chr9	113565555
chr9	113565621
chr9	113565700
chr9	113565789
chr9	113565852
chr9	113566093
chr9	113566260
chr9	113566289
chr9	113566360
chr9	113566383
chr9	113566733
chr9	113566741
chr9	113566974
chr9	113567172
chr9	113567242
chr9	113567599
chr9	113567635
chr9	113568030
chr9	113568080
chr9	113568082
chr9	113568084
chr9	113568129
chr9	113568764
chr9	113569441
chr9	113569505
chr9	113569536
chr9	113569772
chr9	113570002
chr9	113570100
chr9	113570114
chr9	113570118
chr9	113570491
chr9	113570692
chr9	113570855
chr9	113570952
chr9	113571197
chr9	113571362
chr13	45894024
chr13	45894297
chr13	45894299
chr13	45894333
chr13	45894371
chr13	45894463
chr13	45894473
chr13	45894584
chr13	45894588
chr13	45894694
chr13	45894808
chr13	45894939
chr13	45895050
chr13	45895232
chr13	45895350
chr13	45895457
chr13	45895612
chr13	45895681
chr13	45895761
chr13	45895815
chr13	45896005
chr13	45896095
chr13	45897193
chr13	45897324
chr13	45897448
chr13	45897736
chr13	45897905
chr13	45898263
chr13	45898691
chr13	45899317
chr13	45899526
chr13	45899548
chr13	45899692
chr13	45899748
chr13	45900881
chr13	45900897
chr13	45900954
chr13	45901003
chr13	45901103
chr13	45901292
chr13	45901556
chr13	45902017
chr13	45902129
chr13	45902130
chr13	45902696
chr13	45903228
chr13	45903357
chr12	80436610
chr12	80436618
chr12	80436687
chr12	80436774
chr12	80436876
chr12	80437066
chr12	80437073
chr12	80437097
chr12	80437110
chr12	80437295
chr12	80437358
chr12	80438764
chr12	80438848
chr12	80438988
chr12	80439185
chr12	80439594
chr12	80439786
chr12	80439839
chr12	80439851
chr12	80440094
chr12	80440223
chr12	80440232
chr12	80440291
chr12	80441348
chr12	80441433
chr12	80441506
chr12	80441530
chr12	80441565
chr12	80441567
chr12	80441580
chr12	80441605
chr12	80441665
chr12	80441683
chr12	80442463
chr12	80442468
chr12	80442651
