region	chromosome	position
chr1:191116008-191126008	chr1	191116862
chr1:191116008-191126008	chr1	191116862
chr1:191116008-191126008	chr1	191117280
chr1:191116008-191126008	chr1	191117280
chr1:191116008-191126008	chr1	191118402
chr1:191116008-191126008	chr1	191118402
chr1:191116008-191126008	chr1	191119049
chr1:191116008-191126008	chr1	191119049
chr1:191116008-191126008	chr1	191119495
chr1:191116008-191126008	chr1	191119497
chr1:191116008-191126008	chr1	191119751
chr1:191116008-191126008	chr1	191119751
chr1:191116008-191126008	chr1	191119751
chr1:191116008-191126008	chr1	191119751
chr1:191116008-191126008	chr1	191120539
chr1:191116008-191126008	chr1	191120539
chr1:191116008-191126008	chr1	191120539
chr1:191116008-191126008	chr1	191120546
chr1:191116008-191126008	chr1	191120553
chr1:191116008-191126008	chr1	191120553
chr1:191116008-191126008	chr1	191120619
chr1:191116008-191126008	chr1	191120668
chr1:191116008-191126008	chr1	191120668
chr1:191116008-191126008	chr1	191120695
chr1:191116008-191126008	chr1	191120697
chr1:191116008-191126008	chr1	191120714
chr1:191116008-191126008	chr1	191120714
chr1:191116008-191126008	chr1	191120778
chr1:191116008-191126008	chr1	191120778
chr1:191116008-191126008	chr1	191120882
chr1:191116008-191126008	chr1	191120888
chr1:191116008-191126008	chr1	191120888
chr1:191116008-191126008	chr1	191121420
chr1:191116008-191126008	chr1	191121425
chr1:191116008-191126008	chr1	191121526
chr1:191116008-191126008	chr1	191121577
chr1:191116008-191126008	chr1	191121651
chr1:191116008-191126008	chr1	191121709
chr1:191116008-191126008	chr1	191121807
chr1:191116008-191126008	chr1	191121807
chr1:191116008-191126008	chr1	191122113
chr1:191116008-191126008	chr1	191122178
chr1:191116008-191126008	chr1	191122337
chr1:191116008-191126008	chr1	191122337
chr1:191116008-191126008	chr1	191122912
chr1:191116008-191126008	chr1	191122935
chr1:191116008-191126008	chr1	191122935
chr1:191116008-191126008	chr1	191122961
chr1:191116008-191126008	chr1	191123585
chr1:191116008-191126008	chr1	191123588
chr1:191116008-191126008	chr1	191123885
chr1:191116008-191126008	chr1	191123901
chr1:191116008-191126008	chr1	191124283
chr1:191116008-191126008	chr1	191124386
chr1:191116008-191126008	chr1	191124504
chr1:191116008-191126008	chr1	191124504
chr1:191116008-191126008	chr1	191124792
chr1:191116008-191126008	chr1	191124792
chr1:191116008-191126008	chr1	191125024
chr1:191116008-191126008	chr1	191125098
chr1:191116008-191126008	chr1	191125497
chr1:191116008-191126008	chr1	191125499
chr1:191116008-191126008	chr1	191125591
chr1:191116008-191126008	chr1	191125591
chr1:191116008-191126008	chr1	191125687
chr1:191116008-191126008	chr1	191125687
chr1:191116008-191126008	chr1	191125883
chr1:191116008-191126008	chr1	191126002
chr1:93147786-93157786	chr1	93147901
chr1:93147786-93157786	chr1	93147901
chr1:93147786-93157786	chr1	93149026
chr1:93147786-93157786	chr1	93149148
chr1:93147786-93157786	chr1	93149195
chr1:93147786-93157786	chr1	93149316
chr1:93147786-93157786	chr1	93149387
chr1:93147786-93157786	chr1	93149440
chr1:93147786-93157786	chr1	93149480
chr1:93147786-93157786	chr1	93149538
chr1:93147786-93157786	chr1	93149593
chr1:93147786-93157786	chr1	93149593
chr1:93147786-93157786	chr1	93149717
chr1:93147786-93157786	chr1	93149782
chr1:93147786-93157786	chr1	93149793
chr1:93147786-93157786	chr1	93150914
chr1:93147786-93157786	chr1	93150970
chr1:93147786-93157786	chr1	93151153
chr1:93147786-93157786	chr1	93151153
chr1:93147786-93157786	chr1	93151591
chr1:93147786-93157786	chr1	93151665
chr1:93147786-93157786	chr1	93151714
chr1:93147786-93157786	chr1	93151803
chr1:93147786-93157786	chr1	93151857
chr1:93147786-93157786	chr1	93151857
chr1:93147786-93157786	chr1	93151857
chr1:93147786-93157786	chr1	93151857
chr1:93147786-93157786	chr1	93151924
chr1:93147786-93157786	chr1	93151994
chr1:93147786-93157786	chr1	93153752
chr1:93147786-93157786	chr1	93153786
chr1:93147786-93157786	chr1	93154927
chr1:93147786-93157786	chr1	93154927
chr1:93147786-93157786	chr1	93154952
chr1:93147786-93157786	chr1	93154952
chr1:93147786-93157786	chr1	93155026
chr1:93147786-93157786	chr1	93155026
chr1:93147786-93157786	chr1	93155120
chr1:93147786-93157786	chr1	93155210
chr1:93147786-93157786	chr1	93155997
chr1:93147786-93157786	chr1	93155997
chr1:93147786-93157786	chr1	93156104
chr1:93147786-93157786	chr1	93156256
chr1:93147786-93157786	chr1	93156623
chr1:93147786-93157786	chr1	93156696
chr1:93147786-93157786	chr1	93157205
chr1:93147786-93157786	chr1	93157205
chr1:93147786-93157786	chr1	93157313
chr1:93147786-93157786	chr1	93157313
chr1:93147786-93157786	chr1	93157391
chr1:93147786-93157786	chr1	93157467
chr1:93147786-93157786	chr1	93157731
chr1:113899189-113909189	chr1	113900358
chr1:113899189-113909189	chr1	113900371
chr1:113899189-113909189	chr1	113900383
chr1:113899189-113909189	chr1	113900394
chr1:113899189-113909189	chr1	113900691
chr1:113899189-113909189	chr1	113900691
chr1:113899189-113909189	chr1	113901082
chr1:113899189-113909189	chr1	113901151
chr1:113899189-113909189	chr1	113901769
chr1:113899189-113909189	chr1	113901830
chr1:113899189-113909189	chr1	113901886
chr1:113899189-113909189	chr1	113901886
chr1:113899189-113909189	chr1	113902002
chr1:113899189-113909189	chr1	113902002
chr1:113899189-113909189	chr1	113902617
chr1:113899189-113909189	chr1	113902713
chr1:113899189-113909189	chr1	113903382
chr1:113899189-113909189	chr1	113903382
chr1:113899189-113909189	chr1	113903532
chr1:113899189-113909189	chr1	113903532
chr1:113899189-113909189	chr1	113903733
chr1:113899189-113909189	chr1	113903733
chr1:113899189-113909189	chr1	113903733
chr1:113899189-113909189	chr1	113903733
chr1:113899189-113909189	chr1	113903733
chr1:113899189-113909189	chr1	113903739
chr1:113899189-113909189	chr1	113903884
chr1:113899189-113909189	chr1	113903884
chr1:113899189-113909189	chr1	113903894
chr1:113899189-113909189	chr1	113903914
chr1:113899189-113909189	chr1	113903932
chr1:113899189-113909189	chr1	113903932
chr1:113899189-113909189	chr1	113903964
chr1:113899189-113909189	chr1	113903964
chr1:113899189-113909189	chr1	113903967
chr1:113899189-113909189	chr1	113903967
chr1:113899189-113909189	chr1	113903967
chr1:113899189-113909189	chr1	113903972
chr1:113899189-113909189	chr1	113903972
chr1:113899189-113909189	chr1	113904252
chr1:113899189-113909189	chr1	113904268
chr1:113899189-113909189	chr1	113904268
chr1:113899189-113909189	chr1	113904268
chr1:113899189-113909189	chr1	113904268
chr1:113899189-113909189	chr1	113904282
chr1:113899189-113909189	chr1	113904326
chr1:113899189-113909189	chr1	113904326
chr1:113899189-113909189	chr1	113904358
chr1:113899189-113909189	chr1	113904358
chr1:113899189-113909189	chr1	113904368
chr1:113899189-113909189	chr1	113904426
chr1:113899189-113909189	chr1	113904426
chr1:113899189-113909189	chr1	113904428
chr1:113899189-113909189	chr1	113904447
chr1:113899189-113909189	chr1	113904450
chr1:113899189-113909189	chr1	113904527
chr1:113899189-113909189	chr1	113904543
chr1:113899189-113909189	chr1	113904543
chr1:113899189-113909189	chr1	113904543
chr1:113899189-113909189	chr1	113904543
chr1:113899189-113909189	chr1	113904558
chr1:113899189-113909189	chr1	113904589
chr1:113899189-113909189	chr1	113904608
chr1:113899189-113909189	chr1	113904608
chr1:113899189-113909189	chr1	113904609
chr1:113899189-113909189	chr1	113904610
chr1:113899189-113909189	chr1	113904610
chr1:113899189-113909189	chr1	113904627
chr1:113899189-113909189	chr1	113904640
chr1:113899189-113909189	chr1	113904640
chr1:113899189-113909189	chr1	113904723
chr1:113899189-113909189	chr1	113905126
chr1:113899189-113909189	chr1	113905189
chr1:113899189-113909189	chr1	113905458
chr1:113899189-113909189	chr1	113905467
chr1:113899189-113909189	chr1	113905567
chr1:113899189-113909189	chr1	113906361
chr1:113899189-113909189	chr1	113906361
chr1:113899189-113909189	chr1	113907549
chr1:113899189-113909189	chr1	113907621
chr1:113899189-113909189	chr1	113908032
chr1:113899189-113909189	chr1	113908032
chr1:113899189-113909189	chr1	113908836
chr1:113899189-113909189	chr1	113908850
chr1:113899189-113909189	chr1	113908854
chr1:113899189-113909189	chr1	113908893
chr1:113899189-113909189	chr1	113909001
chr1:113899189-113909189	chr1	113909043
chr1:113899189-113909189	chr1	113909101
chr1:113899189-113909189	chr1	113909121
chr1:46071100-46081100	chr1	46072758
chr1:46071100-46081100	chr1	46072840
chr1:46071100-46081100	chr1	46073954
chr1:46071100-46081100	chr1	46074010
chr1:46071100-46081100	chr1	46074092
chr1:46071100-46081100	chr1	46074092
chr1:46071100-46081100	chr1	46074092
chr1:46071100-46081100	chr1	46074105
chr1:46071100-46081100	chr1	46074105
chr1:46071100-46081100	chr1	46074209
chr1:46071100-46081100	chr1	46074308
chr1:46071100-46081100	chr1	46074308
chr1:46071100-46081100	chr1	46074308
chr1:46071100-46081100	chr1	46074308
chr1:46071100-46081100	chr1	46074689
chr1:46071100-46081100	chr1	46075025
chr1:46071100-46081100	chr1	46075047
chr1:46071100-46081100	chr1	46075316
chr1:46071100-46081100	chr1	46075316
chr1:46071100-46081100	chr1	46075411
chr1:46071100-46081100	chr1	46075489
chr1:46071100-46081100	chr1	46075721
chr1:46071100-46081100	chr1	46075754
chr1:46071100-46081100	chr1	46075783
chr1:46071100-46081100	chr1	46075783
chr1:46071100-46081100	chr1	46075785
chr1:46071100-46081100	chr1	46075785
chr1:46071100-46081100	chr1	46075830
chr1:46071100-46081100	chr1	46075830
chr1:46071100-46081100	chr1	46075839
chr1:46071100-46081100	chr1	46075872
chr1:46071100-46081100	chr1	46075872
chr1:46071100-46081100	chr1	46075914
chr1:46071100-46081100	chr1	46076189
chr1:46071100-46081100	chr1	46076208
chr1:46071100-46081100	chr1	46076879
chr1:46071100-46081100	chr1	46076972
chr1:46071100-46081100	chr1	46077272
chr1:46071100-46081100	chr1	46077346
chr1:46071100-46081100	chr1	46077736
chr1:46071100-46081100	chr1	46077764
chr1:46071100-46081100	chr1	46077909
chr1:46071100-46081100	chr1	46077916
chr1:46071100-46081100	chr1	46077928
chr1:46071100-46081100	chr1	46077971
chr1:46071100-46081100	chr1	46077977
chr1:46071100-46081100	chr1	46077977
chr1:46071100-46081100	chr1	46077996
chr1:46071100-46081100	chr1	46078001
chr1:46071100-46081100	chr1	46078001
chr1:46071100-46081100	chr1	46078048
chr1:46071100-46081100	chr1	46078053
chr1:46071100-46081100	chr1	46078056
chr1:46071100-46081100	chr1	46078058
chr1:46071100-46081100	chr1	46078062
chr1:46071100-46081100	chr1	46078096
chr1:46071100-46081100	chr1	46078205
chr1:46071100-46081100	chr1	46078205
chr1:46071100-46081100	chr1	46078205
chr1:46071100-46081100	chr1	46078205
chr1:46071100-46081100	chr1	46078806
chr1:46071100-46081100	chr1	46078908
chr1:46071100-46081100	chr1	46079279
chr1:46071100-46081100	chr1	46079384
chr1:46071100-46081100	chr1	46079982
chr1:46071100-46081100	chr1	46080000
chr1:46071100-46081100	chr1	46080294
chr1:46071100-46081100	chr1	46080412
chr1:46071100-46081100	chr1	46081035
chr1:46071100-46081100	chr1	46081060
chr1:46071100-46081100	chr1	46081060
chrX:116282269-116292269	chrX	116282279
chrX:116282269-116292269	chrX	116282279
chrX:116282269-116292269	chrX	116282942
chrX:116282269-116292269	chrX	116282948
chrX:116282269-116292269	chrX	116284038
chrX:116282269-116292269	chrX	116284038
chrX:116282269-116292269	chrX	116284112
chrX:116282269-116292269	chrX	116284112
chrX:116282269-116292269	chrX	116284132
chrX:116282269-116292269	chrX	116284199
chrX:116282269-116292269	chrX	116284253
chrX:116282269-116292269	chrX	116284264
chrX:116282269-116292269	chrX	116284404
chrX:116282269-116292269	chrX	116284415
chrX:116282269-116292269	chrX	116285100
chrX:116282269-116292269	chrX	116285133
chrX:116282269-116292269	chrX	116285308
chrX:116282269-116292269	chrX	116285408
chrX:116282269-116292269	chrX	116285445
chrX:116282269-116292269	chrX	116285552
chrX:116282269-116292269	chrX	116285855
chrX:116282269-116292269	chrX	116286002
chrX:116282269-116292269	chrX	116286396
chrX:116282269-116292269	chrX	116286399
chrX:116282269-116292269	chrX	116286593
chrX:116282269-116292269	chrX	116286601
chrX:116282269-116292269	chrX	116286638
chrX:116282269-116292269	chrX	116286704
chrX:116282269-116292269	chrX	116286744
chrX:116282269-116292269	chrX	116286793
chrX:116282269-116292269	chrX	116286793
chrX:116282269-116292269	chrX	116286814
chrX:116282269-116292269	chrX	116286814
chrX:116282269-116292269	chrX	116286830
chrX:116282269-116292269	chrX	116286845
chrX:116282269-116292269	chrX	116286845
chrX:116282269-116292269	chrX	116286845
chrX:116282269-116292269	chrX	116286853
chrX:116282269-116292269	chrX	116286865
chrX:116282269-116292269	chrX	116286910
chrX:116282269-116292269	chrX	116286910
chrX:116282269-116292269	chrX	116286914
chrX:116282269-116292269	chrX	116287028
chrX:116282269-116292269	chrX	116287028
chrX:116282269-116292269	chrX	116287028
chrX:116282269-116292269	chrX	116287028
chrX:116282269-116292269	chrX	116287039
chrX:116282269-116292269	chrX	116287044
chrX:116282269-116292269	chrX	116287046
chrX:116282269-116292269	chrX	116287091
chrX:116282269-116292269	chrX	116287576
chrX:116282269-116292269	chrX	116287589
chrX:116282269-116292269	chrX	116287682
chrX:116282269-116292269	chrX	116287826
chrX:116282269-116292269	chrX	116287831
chrX:116282269-116292269	chrX	116287892
chrX:116282269-116292269	chrX	116287892
chrX:116282269-116292269	chrX	116287929
chrX:116282269-116292269	chrX	116288035
chrX:116282269-116292269	chrX	116288035
chrX:116282269-116292269	chrX	116288237
chrX:116282269-116292269	chrX	116288237
chrX:116282269-116292269	chrX	116288310
chrX:116282269-116292269	chrX	116288310
chrX:116282269-116292269	chrX	116288793
chrX:116282269-116292269	chrX	116288793
chrX:116282269-116292269	chrX	116288849
chrX:116282269-116292269	chrX	116288907
chrX:116282269-116292269	chrX	116288907
chrX:116282269-116292269	chrX	116288930
chrX:116282269-116292269	chrX	116288954
chrX:116282269-116292269	chrX	116288954
chrX:116282269-116292269	chrX	116289411
chrX:116282269-116292269	chrX	116289411
chrX:116282269-116292269	chrX	116290454
chrX:116282269-116292269	chrX	116290561
chrX:116282269-116292269	chrX	116290819
chrX:116282269-116292269	chrX	116290878
chrX:116282269-116292269	chrX	116290967
chrX:116282269-116292269	chrX	116290967
chrX:116282269-116292269	chrX	116291298
chrX:116282269-116292269	chrX	116291298
chrX:116282269-116292269	chrX	116291576
chrX:116282269-116292269	chrX	116291576
chrX:116282269-116292269	chrX	116291692
chrX:116282269-116292269	chrX	116291692
chrX:116282269-116292269	chrX	116291696
chrX:116282269-116292269	chrX	116291784
chrX:116282269-116292269	chrX	116292017
chrX:116282269-116292269	chrX	116292017
chrX:116282269-116292269	chrX	116292088
chrX:116282269-116292269	chrX	116292136
chr3:138072312-138082312	chr3	138072262
chr3:138072312-138082312	chr3	138072267
chr3:138072312-138082312	chr3	138072277
chr3:138072312-138082312	chr3	138072320
chr3:138072312-138082312	chr3	138072330
chr3:138072312-138082312	chr3	138072396
chr3:138072312-138082312	chr3	138072402
chr3:138072312-138082312	chr3	138072528
chr3:138072312-138082312	chr3	138072529
chr3:138072312-138082312	chr3	138072529
chr3:138072312-138082312	chr3	138072724
chr3:138072312-138082312	chr3	138072725
chr3:138072312-138082312	chr3	138073291
chr3:138072312-138082312	chr3	138073432
chr3:138072312-138082312	chr3	138073432
chr3:138072312-138082312	chr3	138073432
chr3:138072312-138082312	chr3	138073432
chr3:138072312-138082312	chr3	138073673
chr3:138072312-138082312	chr3	138073673
chr3:138072312-138082312	chr3	138074519
chr3:138072312-138082312	chr3	138074538
chr3:138072312-138082312	chr3	138075531
chr3:138072312-138082312	chr3	138075531
chr3:138072312-138082312	chr3	138075871
chr3:138072312-138082312	chr3	138075871
chr3:138072312-138082312	chr3	138075961
chr3:138072312-138082312	chr3	138075961
chr3:138072312-138082312	chr3	138076197
chr3:138072312-138082312	chr3	138076382
chr3:138072312-138082312	chr3	138076800
chr3:138072312-138082312	chr3	138076869
chr3:138072312-138082312	chr3	138077174
chr3:138072312-138082312	chr3	138077175
chr3:138072312-138082312	chr3	138077452
chr3:138072312-138082312	chr3	138077452
chr3:138072312-138082312	chr3	138077538
chr3:138072312-138082312	chr3	138077708
chr3:138072312-138082312	chr3	138077708
chr3:138072312-138082312	chr3	138077992
