chromosome	position
chrR	6447
chrR	6448
chrR	6449
chrR	6449
chrR	6452
chrR	6453
chrR	6454
chrR	6460
chrR	6465
chrR	6466
chrR	6467
chrR	6469
chrR	6471
chrR	6472
chrR	6473
chrR	6474
chrR	6476
chrR	6478
chrR	6481
chrR	6482
chrR	6482
chrR	6483
chrR	6484
chrR	6486
chrR	6487
chrR	6488
chrR	6490
chrR	6491
chrR	6491
chrR	6494
chrR	6494
chrR	6495
chrR	6595
chrR	6598
chrR	6601
chrR	6604
chrR	6606
chrR	6606
chrR	6607
chrR	6614
chrR	6616
chrR	6616
chrR	6617
chrR	6621
chrR	6622
chrR	6623
chrR	6627
chrR	6636
chrR	6638
chrR	6641
chrR	6646
chrR	6648
chrR	6648
chrR	6746
chrR	6747
chrR	6748
chrR	6750
chrR	6750
chrR	6752
chrR	6753
chrR	6756
chrR	6759
chrR	6759
chrR	6759
chrR	6760
chrR	6765
chrR	6765
chrR	6765
chrR	6766
chrR	6767
chrR	6768
chrR	6771
chrR	6771
chrR	6772
chrR	6775
chrR	6775
chrR	6777
chrR	6777
chrR	6781
chrR	6781
chrR	6786
chrR	6786
chrR	6786
chrR	6787
chrR	6789
chrR	6789
chrR	6791
chrR	6791
chrR	6793
chrR	6793
chrR	6795
chrR	6795
chrR	6795
chrR	6799
chrR	6806
chrR	6810
chrR	6814
chrR	6817
chrR	6817
chrR	6821
chrR	6821
chrR	6823
chrR	6825
chrR	6826
chrR	6829
chrR	6829
chrR	6829
chrR	6830
chrR	6831
chrR	6832
chrR	6834
chrR	6834
chrR	6839
chrR	6839
chrR	6840
chrR	6841
chrR	6843
chrR	6844
chrR	6845
chrR	6846
chrR	6846
chrR	6850
chrR	6850
chrR	6851
chrR	6851
chrR	6853
chrR	6853
chrR	6854
chrR	6854
chrR	6855
chrR	6855
chrR	6856
chrR	6857
chrR	6858
chrR	6858
chrR	6861
chrR	6866
chrR	6866
chrR	6870
chrR	6870
chrR	6872
chrR	6873
chrR	6874
chrR	6874
chrR	6876
chrR	6878
chrR	6879
chrR	6879
chrR	6882
chrR	6884
chrR	6884
chrR	6884
chrR	6884
chrR	6888
chrR	6889
chrR	6891
chrR	6892
chrR	6893
chrR	6895
chrR	6895
chrR	6896
chrR	6897
chrR	6899
chrR	6899
chrR	6899
chrR	6900
chrR	6904
chrR	6904
chrR	6905
chrR	6906
chrR	6907
chrR	6911
chrR	6912
chrR	6912
chrR	6913
chrR	6915
chrR	6915
chrR	6919
chrR	6923
chrR	6928
chrR	6928
chrR	6929
chrR	6932
chrR	6936
chrR	6937
chrR	6940
chrR	6941
chrR	6941
chrR	6942
chrR	6946
chrR	6946
chrR	6948
chrR	6948
chrR	6950
chrR	6951
chrR	6953
chrR	6953
chrR	6957
chrR	6958
chrR	6959
chrR	6960
chrR	6962
chrR	6963
chrR	6963
chrR	6964
chrR	6966
chrR	6967
chrR	6968
chrR	6969
chrR	6971
chrR	6973
chrR	6973
chrR	6977
chrR	6979
chrR	6983
chrR	6984
chrR	6984
chrR	6987
chrR	6990
chrR	6991
chrR	6993
chrR	6994
chrR	6996
chrR	7001
chrR	7001
chrR	7002
chrR	7004
chrR	7007
chrR	7009
chrR	7010
chrR	7010
chrR	7011
chrR	7012
chrR	7013
chrR	7013
chrR	7014
chrR	7015
chrR	7016
chrR	7019
chrR	7019
chrR	7019
chrR	7019
chrR	7021
chrR	7023
chrR	7026
chrR	7029
chrR	7030
chrR	7031
chrR	7033
chrR	7037
chrR	7037
chrR	7038
chrR	7041
chrR	7042
chrR	7046
chrR	7049
chrR	7049
chrR	7050
chrR	7051
chrR	7052
chrR	7054
chrR	7057
chrR	7057
chrR	7057
chrR	7059
chrR	7059
chrR	7060
chrR	7062
chrR	7062
chrR	7066
chrR	7067
chrR	7069
chrR	7069
chrR	7070
chrR	7077
chrR	7128
chrR	7183
chrR	7183
chrR	7184
chrR	7184
chrR	7185
chrR	7185
chrR	7189
chrR	7189
chrR	7190
chrR	7192
chrR	7194
chrR	7194
chrR	7195
chrR	7197
chrR	7201
chrR	7201
chrR	7203
chrR	7205
chrR	7206
chrR	7207
chrR	7209
chrR	7211
chrR	7212
chrR	7212
chrR	7213
chrR	7214
chrR	7214
chrR	7219
chrR	7220
chrR	7222
chrR	7222
chrR	7223
chrR	7223
chrR	7225
chrR	7229
chrR	7229
chrR	7229
chrR	7231
chrR	7232
chrR	7233
chrR	7234
chrR	7236
chrR	7237
chrR	7239
chrR	7240
chrR	7241
chrR	7242
chrR	7242
chrR	7245
chrR	7248
chrR	7250
chrR	7254
chrR	7255
chrR	7256
chrR	7257
chrR	7258
chrR	7259
chrR	7262
chrR	7262
chrR	7262
chrR	7264
chrR	7265
chrR	7265
chrR	7270
chrR	7270
chrR	7270
chrR	7272
chrR	7276
chrR	7277
chrR	7279
chrR	7280
chrR	7281
chrR	7282
chrR	7283
chrR	7286
chrR	7286
chrR	7290
chrR	7291
chrR	7291
chrR	7292
chrR	7294
chrR	7294
chrR	7295
chrR	7295
chrR	7296
chrR	7297
chrR	7298
chrR	7299
chrR	7299
chrR	7300
chrR	7302
chrR	7302
chrR	7303
chrR	7307
chrR	7307
chrR	7311
chrR	7311
chrR	7311
chrR	7315
chrR	7316
chrR	7316
chrR	7317
chrR	7317
chrR	7318
chrR	7319
chrR	7320
chrR	7322
chrR	7327
chrR	7328
chrR	7329
chrR	7329
chrR	7330
chrR	7330
chrR	7331
chrR	7332
chrR	7334
chrR	7337
chrR	7338
chrR	7339
chrR	7343
chrR	7343
chrR	7345
chrR	7346
chrR	7348
chrR	7351
chrR	7352
chrR	7353
chrR	7354
chrR	7355
chrR	7355
chrR	7357
chrR	7361
chrR	7361
chrR	7362
chrR	7365
chrR	7366
chrR	7369
