region	chromosome	position
chr1:191116008-191126008	chr1	191116724
chr1:191116008-191126008	chr1	191116741
chr1:191116008-191126008	chr1	191117147
chr1:191116008-191126008	chr1	191117204
chr1:191116008-191126008	chr1	191117250
chr1:191116008-191126008	chr1	191117390
chr1:191116008-191126008	chr1	191117466
chr1:191116008-191126008	chr1	191117482
chr1:191116008-191126008	chr1	191117490
chr1:191116008-191126008	chr1	191117490
chr1:191116008-191126008	chr1	191117891
chr1:191116008-191126008	chr1	191117891
chr1:191116008-191126008	chr1	191118062
chr1:191116008-191126008	chr1	191118099
chr1:191116008-191126008	chr1	191118143
chr1:191116008-191126008	chr1	191118143
chr1:191116008-191126008	chr1	191118166
chr1:191116008-191126008	chr1	191118195
chr1:191116008-191126008	chr1	191118196
chr1:191116008-191126008	chr1	191118196
chr1:191116008-191126008	chr1	191118233
chr1:191116008-191126008	chr1	191118233
chr1:191116008-191126008	chr1	191118294
chr1:191116008-191126008	chr1	191118392
chr1:191116008-191126008	chr1	191118460
chr1:191116008-191126008	chr1	191118460
chr1:191116008-191126008	chr1	191118721
chr1:191116008-191126008	chr1	191118721
chr1:191116008-191126008	chr1	191118721
chr1:191116008-191126008	chr1	191118721
chr1:191116008-191126008	chr1	191118809
chr1:191116008-191126008	chr1	191118828
chr1:191116008-191126008	chr1	191118893
chr1:191116008-191126008	chr1	191118932
chr1:191116008-191126008	chr1	191118982
chr1:191116008-191126008	chr1	191118982
chr1:191116008-191126008	chr1	191118984
chr1:191116008-191126008	chr1	191118984
chr1:191116008-191126008	chr1	191119073
chr1:191116008-191126008	chr1	191119095
chr1:191116008-191126008	chr1	191119095
chr1:191116008-191126008	chr1	191119102
chr1:191116008-191126008	chr1	191119103
chr1:191116008-191126008	chr1	191119166
chr1:191116008-191126008	chr1	191119175
chr1:191116008-191126008	chr1	191119175
chr1:191116008-191126008	chr1	191119331
chr1:191116008-191126008	chr1	191119337
chr1:191116008-191126008	chr1	191119425
chr1:191116008-191126008	chr1	191119425
chr1:191116008-191126008	chr1	191119429
chr1:191116008-191126008	chr1	191119440
chr1:191116008-191126008	chr1	191119509
chr1:191116008-191126008	chr1	191119509
chr1:191116008-191126008	chr1	191119509
chr1:191116008-191126008	chr1	191119509
chr1:191116008-191126008	chr1	191119534
chr1:191116008-191126008	chr1	191119534
chr1:191116008-191126008	chr1	191119561
chr1:191116008-191126008	chr1	191119561
chr1:191116008-191126008	chr1	191119596
chr1:191116008-191126008	chr1	191119598
chr1:191116008-191126008	chr1	191119605
chr1:191116008-191126008	chr1	191119618
chr1:191116008-191126008	chr1	191119618
chr1:191116008-191126008	chr1	191119666
chr1:191116008-191126008	chr1	191119666
chr1:191116008-191126008	chr1	191119666
chr1:191116008-191126008	chr1	191119666
chr1:191116008-191126008	chr1	191119673
chr1:191116008-191126008	chr1	191119689
chr1:191116008-191126008	chr1	191119704
chr1:191116008-191126008	chr1	191119720
chr1:191116008-191126008	chr1	191119808
chr1:191116008-191126008	chr1	191119815
chr1:191116008-191126008	chr1	191119975
chr1:191116008-191126008	chr1	191119975
chr1:191116008-191126008	chr1	191119992
chr1:191116008-191126008	chr1	191119997
chr1:191116008-191126008	chr1	191120009
chr1:191116008-191126008	chr1	191120009
chr1:191116008-191126008	chr1	191120039
chr1:191116008-191126008	chr1	191120039
chr1:191116008-191126008	chr1	191120060
chr1:191116008-191126008	chr1	191120088
chr1:191116008-191126008	chr1	191120098
chr1:191116008-191126008	chr1	191120098
chr1:191116008-191126008	chr1	191120111
chr1:191116008-191126008	chr1	191120138
chr1:191116008-191126008	chr1	191120148
chr1:191116008-191126008	chr1	191120155
chr1:191116008-191126008	chr1	191120195
chr1:191116008-191126008	chr1	191120195
chr1:191116008-191126008	chr1	191120214
chr1:191116008-191126008	chr1	191120226
chr1:191116008-191126008	chr1	191120243
chr1:191116008-191126008	chr1	191120296
chr1:191116008-191126008	chr1	191120313
chr1:191116008-191126008	chr1	191120509
chr1:191116008-191126008	chr1	191120509
chr1:191116008-191126008	chr1	191120545
chr1:191116008-191126008	chr1	191120550
chr1:191116008-191126008	chr1	191120553
chr1:191116008-191126008	chr1	191120557
chr1:191116008-191126008	chr1	191120575
chr1:191116008-191126008	chr1	191120581
chr1:191116008-191126008	chr1	191120605
chr1:191116008-191126008	chr1	191120607
chr1:191116008-191126008	chr1	191120647
chr1:191116008-191126008	chr1	191120648
chr1:191116008-191126008	chr1	191120663
chr1:191116008-191126008	chr1	191120668
chr1:191116008-191126008	chr1	191120679
chr1:191116008-191126008	chr1	191120679
chr1:191116008-191126008	chr1	191120679
chr1:191116008-191126008	chr1	191120679
chr1:191116008-191126008	chr1	191120694
chr1:191116008-191126008	chr1	191120697
chr1:191116008-191126008	chr1	191120760
chr1:191116008-191126008	chr1	191120774
chr1:191116008-191126008	chr1	191120779
chr1:191116008-191126008	chr1	191120779
chr1:191116008-191126008	chr1	191120787
chr1:191116008-191126008	chr1	191120802
chr1:191116008-191126008	chr1	191120819
chr1:191116008-191126008	chr1	191120826
chr1:191116008-191126008	chr1	191120853
chr1:191116008-191126008	chr1	191120871
chr1:191116008-191126008	chr1	191120888
chr1:191116008-191126008	chr1	191120888
chr1:191116008-191126008	chr1	191121332
chr1:191116008-191126008	chr1	191121332
chr1:191116008-191126008	chr1	191121492
chr1:191116008-191126008	chr1	191121513
chr1:191116008-191126008	chr1	191121513
chr1:191116008-191126008	chr1	191121513
chr1:191116008-191126008	chr1	191121513
chr1:191116008-191126008	chr1	191121522
chr1:191116008-191126008	chr1	191121527
chr1:191116008-191126008	chr1	191121529
chr1:191116008-191126008	chr1	191121578
chr1:191116008-191126008	chr1	191121578
chr1:191116008-191126008	chr1	191121580
chr1:191116008-191126008	chr1	191121599
chr1:191116008-191126008	chr1	191121645
chr1:191116008-191126008	chr1	191121662
chr1:191116008-191126008	chr1	191121662
chr1:191116008-191126008	chr1	191121690
chr1:191116008-191126008	chr1	191121694
chr1:191116008-191126008	chr1	191121763
chr1:191116008-191126008	chr1	191121763
