chromosome	position
chrR	6449
chrR	6451
chrR	6452
chrR	6453
chrR	6469
chrR	6472
chrR	6473
chrR	6474
chrR	6474
chrR	6482
chrR	6484
chrR	6486
chrR	6487
chrR	6515
chrR	6528
chrR	6596
chrR	6597
chrR	6604
chrR	6605
chrR	6605
chrR	6613
chrR	6614
chrR	6614
chrR	6615
chrR	6619
chrR	6622
chrR	6623
chrR	6626
chrR	6627
chrR	6629
chrR	6636
chrR	6645
chrR	6648
chrR	6746
chrR	6750
chrR	6750
chrR	6751
chrR	6752
chrR	6753
chrR	6759
chrR	6765
chrR	6766
chrR	6767
chrR	6768
chrR	6769
chrR	6770
chrR	6771
chrR	6771
chrR	6771
chrR	6772
chrR	6772
chrR	6774
chrR	6775
chrR	6777
chrR	6777
chrR	6779
chrR	6781
chrR	6781
chrR	6784
chrR	6786
chrR	6786
chrR	6787
chrR	6789
chrR	6789
chrR	6791
chrR	6793
chrR	6793
chrR	6795
chrR	6795
chrR	6795
chrR	6807
chrR	6810
chrR	6812
chrR	6814
chrR	6815
chrR	6817
chrR	6817
chrR	6823
chrR	6826
chrR	6826
chrR	6829
chrR	6829
chrR	6834
chrR	6834
chrR	6836
chrR	6839
chrR	6839
chrR	6840
chrR	6840
chrR	6843
chrR	6844
chrR	6845
chrR	6847
chrR	6850
chrR	6850
chrR	6853
chrR	6855
chrR	6855
chrR	6856
chrR	6858
chrR	6859
chrR	6860
chrR	6862
chrR	6870
chrR	6872
chrR	6873
chrR	6876
chrR	6878
chrR	6879
chrR	6882
chrR	6884
chrR	6884
chrR	6888
chrR	6891
chrR	6894
chrR	6895
chrR	6895
chrR	6896
chrR	6897
chrR	6899
chrR	6900
chrR	6901
chrR	6904
chrR	6904
chrR	6912
chrR	6918
chrR	6923
chrR	6924
chrR	6928
chrR	6928
chrR	6932
chrR	6941
chrR	6942
chrR	6944
chrR	6946
chrR	6947
chrR	6948
chrR	6950
chrR	6953
chrR	6953
chrR	6954
chrR	6955
chrR	6956
chrR	6957
chrR	6958
chrR	6959
chrR	6963
chrR	6964
chrR	6966
chrR	6967
chrR	6968
chrR	6970
chrR	6975
chrR	6990
chrR	6996
chrR	6997
chrR	7000
chrR	7001
chrR	7004
chrR	7006
chrR	7009
chrR	7010
chrR	7010
chrR	7013
chrR	7019
chrR	7019
chrR	7021
chrR	7022
chrR	7023
chrR	7029
chrR	7030
chrR	7031
chrR	7033
chrR	7036
chrR	7037
chrR	7037
chrR	7039
chrR	7042
chrR	7046
chrR	7049
chrR	7049
chrR	7050
chrR	7057
chrR	7060
chrR	7062
chrR	7066
chrR	7067
chrR	7069
chrR	7069
chrR	7070
chrR	7128
chrR	7184
chrR	7185
chrR	7185
chrR	7186
chrR	7189
chrR	7189
chrR	7192
chrR	7194
chrR	7198
chrR	7201
chrR	7204
chrR	7207
chrR	7208
chrR	7212
chrR	7212
chrR	7214
chrR	7215
chrR	7216
chrR	7217
chrR	7220
chrR	7229
chrR	7229
chrR	7229
chrR	7231
chrR	7232
chrR	7233
chrR	7234
chrR	7237
chrR	7239
chrR	7240
chrR	7241
chrR	7242
chrR	7245
chrR	7249
chrR	7250
chrR	7253
chrR	7254
chrR	7255
chrR	7259
chrR	7260
chrR	7262
chrR	7262
chrR	7264
chrR	7265
chrR	7269
chrR	7270
chrR	7271
chrR	7272
chrR	7277
chrR	7278
chrR	7279
chrR	7283
chrR	7283
chrR	7286
chrR	7291
chrR	7294
chrR	7294
chrR	7298
chrR	7299
chrR	7301
chrR	7303
chrR	7303
chrR	7305
chrR	7307
chrR	7315
chrR	7316
chrR	7316
chrR	7317
chrR	7319
chrR	7320
chrR	7322
chrR	7323
chrR	7325
chrR	7327
chrR	7329
chrR	7331
chrR	7334
chrR	7335
chrR	7343
chrR	7343
chrR	7344
chrR	7345
chrR	7346
chrR	7351
chrR	7354
chrR	7361
chrR	7362
chrR	7364
chrR	7369
chrR	7369
chrR	7369
chrR	7370
chrR	7371
chrR	7377
chrR	7377
chrR	7380
chrR	7382
chrR	7382
chrR	7382
chrR	7382
chrR	7392
chrR	7482
chrR	7484
chrR	7485
chrR	7487
chrR	7492
chrR	7492
chrR	7493
chrR	7495
chrR	7495
chrR	7496
chrR	7496
chrR	7496
chrR	7498
chrR	7498
chrR	7500
chrR	7500
chrR	7502
chrR	7503
chrR	7504
chrR	7506
chrR	7508
chrR	7510
chrR	7511
chrR	7512
chrR	7514
chrR	7515
chrR	7516
chrR	7517
chrR	7518
chrR	7520
chrR	7522
chrR	7523
chrR	7524
chrR	7525
chrR	7527
chrR	7529
chrR	7530
chrR	7536
chrR	7537
chrR	7538
chrR	7539
chrR	7541
chrR	7544
chrR	7545
chrR	7547
chrR	7548
chrR	7549
chrR	7552
chrR	7553
chrR	7558
chrR	7559
chrR	7561
chrR	7562
chrR	7563
chrR	7566
chrR	7569
chrR	7575
chrR	7576
chrR	7577
chrR	7579
chrR	7581
chrR	7581
chrR	7583
chrR	7587
chrR	7588
chrR	7593
chrR	7594
chrR	7595
chrR	7596
chrR	7598
chrR	7605
chrR	7610
chrR	7615
chrR	7620
chrR	7622
chrR	7625
chrR	7626
chrR	7628
chrR	7630
chrR	7632
chrR	7632
chrR	7633
chrR	7635
chrR	7637
chrR	7640
chrR	7642
chrR	7643
chrR	7652
chrR	7652
chrR	7653
chrR	7662
chrR	7664
chrR	7667
chrR	7675
chrR	7676
chrR	7677
chrR	7677
chrR	7677
chrR	7678
chrR	7680
chrR	7681
chrR	7683
chrR	7685
chrR	7685
chrR	7689
chrR	7697
chrR	7698
chrR	7710
chrR	7712
chrR	7721
chrR	7727
chrR	7732
chrR	7733
chrR	7740
chrR	7743
chrR	7743
chrR	7744
chrR	7747
chrR	7749
chrR	7750
chrR	7753
chrR	7755
chrR	7759
chrR	7759
chrR	7764
chrR	7764
chrR	7765
chrR	7769
chrR	7769
chrR	7772
chrR	7772
chrR	7775
chrR	7776
chrR	7776
chrR	7777
chrR	7785
chrR	7786
chrR	7788
chrR	7795
chrR	7797
chrR	7799
chrR	7803
chrR	7809
chrR	7814
chrR	7815
chrR	7816
chrR	7817
chrR	7825
chrR	7827
chrR	7829
chrR	7830
chrR	7834
chrR	7835
chrR	7839
chrR	7843
chrR	7846
chrR	7850
chrR	7854
chrR	7857
chrR	7857
chrR	7857
chrR	7859
chrR	7860
chrR	7861
chrR	7862
chrR	7864
chrR	7865
chrR	7869
chrR	7870
chrR	7877
chrR	7878
chrR	7878
chrR	7879
chrR	7881
chrR	7882
chrR	7886
chrR	7890
chrR	7890
chrR	7891
chrR	7896
chrR	7901
chrR	7902
chrR	7906
chrR	7906
chrR	7907
chrR	7910
chrR	7915
chrR	7917
chrR	7918
chrR	7919
chrR	7926
chrR	7928
chrR	7928
chrR	7935
chrR	7948
chrR	7950
chrR	7958
chrR	7959
chrR	7962
chrR	7963
chrR	7966
chrR	7968
chrR	7969
chrR	7969
chrR	7971
chrR	7974
chrR	7985
chrR	7986
chrR	7987
chrR	7990
chrR	7996
chrR	8000
chrR	8001
chrR	8003
chrR	8003
chrR	8009
chrR	8009
chrR	8011
chrR	8012
chrR	8013
chrR	8015
chrR	8018
chrR	8020
chrR	8024
chrR	8024
chrR	8031
chrR	8032
chrR	8032
chrR	8033
chrR	8035
chrR	8037
chrR	8038
chrR	8038
chrR	8044
chrR	8044
chrR	8045
chrR	8046
chrR	8048
chrR	8049
chrR	8053
chrR	8054
chrR	8054
chrR	8055
chrR	8056
chrR	8058
chrR	8060
chrR	8062
chrR	8063
chrR	8068
chrR	8071
chrR	8072
chrR	8074
chrR	8075
chrR	8077
chrR	8078
chrR	8078
chrR	8082
chrR	8082
chrR	8084
chrR	8085
chrR	8086
chrR	8089
chrR	8089
chrR	8090
chrR	8090
chrR	8094
chrR	8095
chrR	8099
chrR	8100
chrR	8105
chrR	8109
chrR	8110
chrR	8111
chrR	8112
chrR	8113
chrR	8116
chrR	8116
chrR	8116
chrR	8120
chrR	8120
chrR	8120
chrR	8122
chrR	8126
chrR	8127
chrR	8127
chrR	8131
chrR	8131
chrR	8132
chrR	8134
chrR	8138
chrR	8141
chrR	8143
chrR	8144
chrR	8145
chrR	8148
chrR	8150
chrR	8151
chrR	8153
chrR	8154
chrR	8158
chrR	8161
chrR	8164
chrR	8166
chrR	8169
chrR	8169
chrR	8173
chrR	8173
chrR	8174
chrR	8176
chrR	8177
chrR	8180
chrR	8183
chrR	8184
chrR	8186
chrR	8191
chrR	8191
chrR	8193
chrR	8202
chrR	8202
chrR	8203
chrR	8205
chrR	8209
chrR	8210
chrR	8211
chrR	8212
chrR	8213
chrR	8214
chrR	8215
chrR	8227
chrR	8230
chrR	8232
chrR	8233
chrR	8237
chrR	8239
chrR	8241
chrR	8242
chrR	8246
chrR	8250
chrR	8254
chrR	8255
chrR	8256
chrR	8258
chrR	8258
chrR	8260
chrR	8261
chrR	8264
chrR	8266
chrR	8267
chrR	8268
chrR	8275
chrR	8367
chrR	8369
chrR	8370
chrR	8371
chrR	8372
chrR	8372
chrR	8375
chrR	8377
chrR	8379
chrR	8383
chrR	8387
chrR	8387
chrR	8392
chrR	8394
chrR	8394
chrR	8396
chrR	8403
chrR	8403
chrR	8404
chrR	8406
chrR	8406
chrR	8408
chrR	8409
chrR	8409
chrR	8412
chrR	8413
chrR	8416
chrR	8419
chrR	8420
chrR	8420
chrR	8421
chrR	8421
chrR	8422
chrR	8422
chrR	8426
chrR	8428
chrR	8430
chrR	8431
chrR	8432
chrR	8432
chrR	8435
chrR	8435
chrR	8435
chrR	8436
chrR	8438
chrR	8438
chrR	8443
chrR	8443
chrR	8444
chrR	8445
chrR	8447
chrR	8448
chrR	8449
chrR	8449
chrR	8451
chrR	8452
chrR	8454
chrR	8455
chrR	8457
chrR	8459
chrR	8462
chrR	8462
chrR	8463
chrR	8467
chrR	8472
chrR	8474
chrR	8477
chrR	8480
chrR	8482
chrR	8483
chrR	8484
chrR	8484
chrR	8488
chrR	8488
chrR	8489
chrR	8494
chrR	8495
chrR	8498
chrR	8499
chrR	8503
chrR	8505
chrR	8509
chrR	8510
chrR	8511
chrR	8514
chrR	8708
chrR	8778
chrR	8781
chrR	8782
chrR	8784
chrR	8787
chrR	8788
chrR	8790
chrR	8792
chrR	8793
chrR	8803
chrR	8805
chrR	8807
chrR	8815
chrR	8818
chrR	8819
chrR	8820
chrR	8822
chrR	8826
chrR	8829
chrR	8830
chrR	8834
chrR	8835
chrR	8837
chrR	8839
chrR	8840
chrR	8842
chrR	8847
chrR	8850
chrR	8851
chrR	8950
chrR	8953
chrR	8967
chrR	8969
chrR	8970
chrR	8974
chrR	8977
chrR	8979
chrR	8982
chrR	8988
chrR	8994
chrR	9002
chrR	9004
chrR	9004
chrR	9006
chrR	9008
chrR	9010
chrR	9012
chrR	9014
chrR	9018
chrR	9018
chrR	9021
chrR	9021
chrR	9024
chrR	9024
chrR	9025
chrR	9026
chrR	9028
chrR	9037
chrR	9039
chrR	9041
chrR	9050
chrR	9055
chrR	9061
chrR	9063
chrR	9073
chrR	9074
chrR	9078
chrR	9078
chrR	9080
chrR	9080
chrR	9080
chrR	9086
chrR	9087
chrR	9088
chrR	9091
chrR	9091
chrR	9093
chrR	9095
chrR	9095
chrR	9099
chrR	9100
chrR	9102
chrR	9104
chrR	9107
chrR	9108
chrR	9117
chrR	9122
chrR	9125
chrR	9127
chrR	9129
chrR	9132
chrR	9134
chrR	9136
chrR	9138
chrR	9142
chrR	9144
chrR	9157
chrR	9163
chrR	9165
chrR	9166
chrR	9170
chrR	9170
chrR	9170
chrR	9171
chrR	9171
chrR	9172
chrR	9172
chrR	9177
chrR	9177
chrR	9179
chrR	9180
chrR	9188
chrR	9189
chrR	9190
chrR	9193
chrR	9195
chrR	9196
chrR	9197
chrR	9197
chrR	9197
chrR	9198
chrR	9201
chrR	9205
chrR	9212
chrR	9218
chrR	9219
chrR	9220
chrR	9223
chrR	9224
chrR	9226
chrR	9227
chrR	9232
chrR	9232
chrR	9234
chrR	9235
chrR	9236
chrR	9236
chrR	9239
chrR	9239
chrR	9239
chrR	9240
chrR	9249
chrR	9252
chrR	9253
chrR	9254
chrR	9256
chrR	9256
chrR	9257
chrR	9257
chrR	9259
chrR	9260
chrR	9261
chrR	9267
chrR	9269
chrR	9270
chrR	9273
chrR	9276
chrR	9278
chrR	9278
chrR	9286
chrR	9293
chrR	9301
chrR	9316
chrR	9318
chrR	9326
chrR	9329
chrR	9332
chrR	9337
chrR	9338
chrR	9346
chrR	9349
chrR	9351
chrR	9352
chrR	9359
chrR	9364
chrR	9364
chrR	9365
chrR	9366
chrR	9366
chrR	9370
chrR	9371
chrR	9373
chrR	9374
chrR	9392
chrR	9393
chrR	9394
chrR	9396
chrR	9397
chrR	9405
chrR	9407
chrR	9409
chrR	9409
chrR	9409
