region	chromosome	position
chr1:191116008-191126008	chr1	191117219
chr1:191116008-191126008	chr1	191117219
chr1:191116008-191126008	chr1	191117250
chr1:191116008-191126008	chr1	191117342
chr1:191116008-191126008	chr1	191119016
chr1:191116008-191126008	chr1	191119016
chr1:191116008-191126008	chr1	191119367
chr1:191116008-191126008	chr1	191119406
chr1:191116008-191126008	chr1	191120106
chr1:191116008-191126008	chr1	191120168
chr1:191116008-191126008	chr1	191120171
chr1:191116008-191126008	chr1	191120261
chr1:191116008-191126008	chr1	191121699
chr1:191116008-191126008	chr1	191121752
chr1:191116008-191126008	chr1	191123026
chr1:191116008-191126008	chr1	191123026
chr1:191116008-191126008	chr1	191123047
chr1:191116008-191126008	chr1	191123083
chr1:191116008-191126008	chr1	191123101
chr1:191116008-191126008	chr1	191123101
chr1:191116008-191126008	chr1	191123701
chr1:191116008-191126008	chr1	191123742
chr1:191116008-191126008	chr1	191123818
chr1:191116008-191126008	chr1	191125772
chr1:191116008-191126008	chr1	191125772
chr1:191116008-191126008	chr1	191125849
chr1:191116008-191126008	chr1	191125849
chr1:191116008-191126008	chr1	191125857
chr1:191116008-191126008	chr1	191125888
chr1:191116008-191126008	chr1	191125888
chr1:191116008-191126008	chr1	191125968
chr1:191116008-191126008	chr1	191125968
chr1:191116008-191126008	chr1	191125994
chr1:93147786-93157786	chr1	93147944
chr1:93147786-93157786	chr1	93148013
chr1:93147786-93157786	chr1	93148453
chr1:93147786-93157786	chr1	93148453
chr1:93147786-93157786	chr1	93148607
chr1:93147786-93157786	chr1	93148607
chr1:93147786-93157786	chr1	93148672
chr1:93147786-93157786	chr1	93148672
chr1:93147786-93157786	chr1	93149858
chr1:93147786-93157786	chr1	93149858
chr1:93147786-93157786	chr1	93149858
chr1:93147786-93157786	chr1	93149858
chr1:93147786-93157786	chr1	93149962
chr1:93147786-93157786	chr1	93150040
chr1:93147786-93157786	chr1	93150744
chr1:93147786-93157786	chr1	93150744
chr1:93147786-93157786	chr1	93151496
chr1:93147786-93157786	chr1	93151496
chr1:93147786-93157786	chr1	93151496
chr1:93147786-93157786	chr1	93151496
chr1:93147786-93157786	chr1	93151819
chr1:93147786-93157786	chr1	93151869
chr1:93147786-93157786	chr1	93152025
chr1:93147786-93157786	chr1	93152025
chr1:93147786-93157786	chr1	93152093
chr1:93147786-93157786	chr1	93152093
chr1:93147786-93157786	chr1	93152137
chr1:93147786-93157786	chr1	93152137
chr1:93147786-93157786	chr1	93152388
chr1:93147786-93157786	chr1	93152388
chr1:93147786-93157786	chr1	93152388
chr1:93147786-93157786	chr1	93152388
chr1:93147786-93157786	chr1	93153103
chr1:93147786-93157786	chr1	93153103
chr1:93147786-93157786	chr1	93154153
chr1:93147786-93157786	chr1	93154153
chr1:93147786-93157786	chr1	93154637
chr1:93147786-93157786	chr1	93154687
chr1:93147786-93157786	chr1	93155112
chr1:93147786-93157786	chr1	93155112
chr1:93147786-93157786	chr1	93155112
chr1:93147786-93157786	chr1	93155112
chr1:93147786-93157786	chr1	93157117
chr1:93147786-93157786	chr1	93157160
chr1:93147786-93157786	chr1	93157395
chr1:93147786-93157786	chr1	93157395
chr1:113899189-113909189	chr1	113900234
chr1:113899189-113909189	chr1	113901147
chr1:113899189-113909189	chr1	113901147
chr1:113899189-113909189	chr1	113901147
chr1:113899189-113909189	chr1	113901305
chr1:113899189-113909189	chr1	113901305
chr1:113899189-113909189	chr1	113901305
chr1:113899189-113909189	chr1	113901377
chr1:113899189-113909189	chr1	113901377
chr1:113899189-113909189	chr1	113901476
chr1:113899189-113909189	chr1	113901476
chr1:113899189-113909189	chr1	113901965
chr1:113899189-113909189	chr1	113901965
chr1:113899189-113909189	chr1	113902607
chr1:113899189-113909189	chr1	113902607
chr1:113899189-113909189	chr1	113902932
chr1:113899189-113909189	chr1	113902932
chr1:113899189-113909189	chr1	113903022
chr1:113899189-113909189	chr1	113903098
chr1:113899189-113909189	chr1	113904921
chr1:113899189-113909189	chr1	113904921
chr1:113899189-113909189	chr1	113904991
chr1:113899189-113909189	chr1	113904991
chr1:113899189-113909189	chr1	113908092
chr1:113899189-113909189	chr1	113908092
chr1:113899189-113909189	chr1	113908092
chr1:113899189-113909189	chr1	113908102
chr1:113899189-113909189	chr1	113908102
chr1:113899189-113909189	chr1	113908102
chr1:113899189-113909189	chr1	113908199
chr1:113899189-113909189	chr1	113908199
chr1:113899189-113909189	chr1	113908773
chr1:113899189-113909189	chr1	113908773
chr1:46071100-46081100	chr1	46071492
chr1:46071100-46081100	chr1	46071493
chr1:46071100-46081100	chr1	46072867
chr1:46071100-46081100	chr1	46072867
chr1:46071100-46081100	chr1	46072867
chr1:46071100-46081100	chr1	46072867
chr1:46071100-46081100	chr1	46073406
chr1:46071100-46081100	chr1	46073406
chr1:46071100-46081100	chr1	46073511
chr1:46071100-46081100	chr1	46073511
chr1:46071100-46081100	chr1	46073954
chr1:46071100-46081100	chr1	46074008
chr1:46071100-46081100	chr1	46074019
chr1:46071100-46081100	chr1	46074066
chr1:46071100-46081100	chr1	46075105
chr1:46071100-46081100	chr1	46075146
chr1:46071100-46081100	chr1	46075317
chr1:46071100-46081100	chr1	46075442
chr1:46071100-46081100	chr1	46075708
chr1:46071100-46081100	chr1	46075708
chr1:46071100-46081100	chr1	46075806
chr1:46071100-46081100	chr1	46075806
chr1:46071100-46081100	chr1	46077418
chr1:46071100-46081100	chr1	46077418
chr1:46071100-46081100	chr1	46077674
chr1:46071100-46081100	chr1	46077674
chr1:46071100-46081100	chr1	46077976
chr1:46071100-46081100	chr1	46077976
chr1:46071100-46081100	chr1	46077976
chr1:46071100-46081100	chr1	46078006
chr1:46071100-46081100	chr1	46078006
chr1:46071100-46081100	chr1	46078006
chr1:46071100-46081100	chr1	46078006
chr1:46071100-46081100	chr1	46078011
chr1:46071100-46081100	chr1	46078011
chr1:46071100-46081100	chr1	46078012
chr1:46071100-46081100	chr1	46078012
chr1:46071100-46081100	chr1	46078026
chr1:46071100-46081100	chr1	46078026
chr1:46071100-46081100	chr1	46078028
chr1:46071100-46081100	chr1	46078067
chr1:46071100-46081100	chr1	46078067
chr1:46071100-46081100	chr1	46078072
chr1:46071100-46081100	chr1	46078196
chr1:46071100-46081100	chr1	46079825
chr1:46071100-46081100	chr1	46079922
chr1:46071100-46081100	chr1	46080168
chr1:46071100-46081100	chr1	46080168
chr1:46071100-46081100	chr1	46080371
chr1:46071100-46081100	chr1	46080430
chrX:116282269-116292269	chrX	116282858
chrX:116282269-116292269	chrX	116282858
chrX:116282269-116292269	chrX	116282969
chrX:116282269-116292269	chrX	116282969
chrX:116282269-116292269	chrX	116283182
chrX:116282269-116292269	chrX	116283221
chrX:116282269-116292269	chrX	116283614
chrX:116282269-116292269	chrX	116283690
chrX:116282269-116292269	chrX	116286349
chrX:116282269-116292269	chrX	116286420
chrX:116282269-116292269	chrX	116287043
chrX:116282269-116292269	chrX	116287043
chrX:116282269-116292269	chrX	116287258
chrX:116282269-116292269	chrX	116287267
chrX:116282269-116292269	chrX	116287502
chrX:116282269-116292269	chrX	116287613
chrX:116282269-116292269	chrX	116288284
chrX:116282269-116292269	chrX	116288284
chrX:116282269-116292269	chrX	116289111
chrX:116282269-116292269	chrX	116289144
chrX:116282269-116292269	chrX	116289179
chrX:116282269-116292269	chrX	116289190
chrX:116282269-116292269	chrX	116290189
chrX:116282269-116292269	chrX	116290308
chrX:116282269-116292269	chrX	116291059
chrX:116282269-116292269	chrX	116291146
chrX:116282269-116292269	chrX	116292056
chrX:116282269-116292269	chrX	116292056
chr3:138072312-138082312	chr3	138072377
chr3:138072312-138082312	chr3	138072492
chr3:138072312-138082312	chr3	138072765
chr3:138072312-138082312	chr3	138072802
chr3:138072312-138082312	chr3	138073045
chr3:138072312-138082312	chr3	138073095
chr3:138072312-138082312	chr3	138073233
chr3:138072312-138082312	chr3	138073233
chr3:138072312-138082312	chr3	138074330
chr3:138072312-138082312	chr3	138074330
chr3:138072312-138082312	chr3	138074370
chr3:138072312-138082312	chr3	138074370
chr3:138072312-138082312	chr3	138074391
chr3:138072312-138082312	chr3	138074393
chr3:138072312-138082312	chr3	138074463
chr3:138072312-138082312	chr3	138074954
chr3:138072312-138082312	chr3	138074954
chr3:138072312-138082312	chr3	138075334
chr3:138072312-138082312	chr3	138075369
chr3:138072312-138082312	chr3	138076003
chr3:138072312-138082312	chr3	138076003
chr3:138072312-138082312	chr3	138076003
chr3:138072312-138082312	chr3	138076003
chr3:138072312-138082312	chr3	138076242
chr3:138072312-138082312	chr3	138076288
chr3:138072312-138082312	chr3	138076752
chr3:138072312-138082312	chr3	138076752
chr3:138072312-138082312	chr3	138076752
chr3:138072312-138082312	chr3	138076752
chr3:138072312-138082312	chr3	138077773
chr3:138072312-138082312	chr3	138077863
chr3:138072312-138082312	chr3	138078544
chr3:138072312-138082312	chr3	138078621
chr3:138072312-138082312	chr3	138079593
chr3:138072312-138082312	chr3	138079593
chr3:138072312-138082312	chr3	138079603
chr3:138072312-138082312	chr3	138079673
chr3:138072312-138082312	chr3	138079834
chr3:138072312-138082312	chr3	138079834
chr3:138072312-138082312	chr3	138080256
chr3:138072312-138082312	chr3	138080256
chr3:138072312-138082312	chr3	138080960
chr3:121244941-121254941	chr3	121246012
chr3:121244941-121254941	chr3	121246012
chr3:121244941-121254941	chr3	121246978
chr3:121244941-121254941	chr3	121246978
chr3:121244941-121254941	chr3	121247408
chr3:121244941-121254941	chr3	121247408
chr3:121244941-121254941	chr3	121247455
chr3:121244941-121254941	chr3	121247455
chr3:121244941-121254941	chr3	121247626
chr3:121244941-121254941	chr3	121247626
chr3:121244941-121254941	chr3	121248572
chr3:121244941-121254941	chr3	121248574
chr3:121244941-121254941	chr3	121248882
chr3:121244941-121254941	chr3	121248882
chr3:121244941-121254941	chr3	121249781
chr3:121244941-121254941	chr3	121249805
chr3:121244941-121254941	chr3	121250551
chr3:121244941-121254941	chr3	121250613
chr3:121244941-121254941	chr3	121250636
chr3:121244941-121254941	chr3	121250636
chr3:121244941-121254941	chr3	121251410
chr3:121244941-121254941	chr3	121251410
chr3:121244941-121254941	chr3	121251457
chr3:121244941-121254941	chr3	121251457
chr3:121244941-121254941	chr3	121252626
chr3:121244941-121254941	chr3	121252626
chr3:121244941-121254941	chr3	121252626
chr3:121244941-121254941	chr3	121252626
chr3:121244941-121254941	chr3	121253346
chr3:121244941-121254941	chr3	121253414
chr3:121244941-121254941	chr3	121253961
chr3:121244941-121254941	chr3	121253998
chr3:121244941-121254941	chr3	121254099
chr3:121244941-121254941	chr3	121254282
chr3:121244941-121254941	chr3	121254333
chr4:72023087-72033087	chr4	72023658
chr4:72023087-72033087	chr4	72023670
chr4:72023087-72033087	chr4	72028314
chr4:72023087-72033087	chr4	72028414
chr4:72023087-72033087	chr4	72029895
chr4:72023087-72033087	chr4	72029895
chr4:72023087-72033087	chr4	72029977
chr4:72023087-72033087	chr4	72029977
chr4:72023087-72033087	chr4	72030273
chr4:72023087-72033087	chr4	72030488
chr4:72023087-72033087	chr4	72031294
chr4:72023087-72033087	chr4	72031355
chr4:72023087-72033087	chr4	72032037
chr4:72023087-72033087	chr4	72032037
chr4:72023087-72033087	chr4	72032317
chr4:72023087-72033087	chr4	72032469
chr5:114847065-114857065	chr5	114847154
chr5:114847065-114857065	chr5	114847154
chr5:114847065-114857065	chr5	114847263
chr5:114847065-114857065	chr5	114847263
chr5:114847065-114857065	chr5	114848504
chr5:114847065-114857065	chr5	114848504
chr5:114847065-114857065	chr5	114848962
chr5:114847065-114857065	chr5	114848962
chr5:114847065-114857065	chr5	114849037
chr5:114847065-114857065	chr5	114849037
chr5:114847065-114857065	chr5	114850244
chr5:114847065-114857065	chr5	114850244
chr5:114847065-114857065	chr5	114850622
chr5:114847065-114857065	chr5	114850646
chr5:114847065-114857065	chr5	114851065
chr5:114847065-114857065	chr5	114851065
chr5:114847065-114857065	chr5	114853973
chr5:114847065-114857065	chr5	114854107
