region	chromosome	position
chr1:191116008-191126008	chr1	191116082
chr1:191116008-191126008	chr1	191116082
chr1:191116008-191126008	chr1	191116333
chr1:191116008-191126008	chr1	191116485
chr1:191116008-191126008	chr1	191116501
chr1:191116008-191126008	chr1	191116503
chr1:191116008-191126008	chr1	191116523
chr1:191116008-191126008	chr1	191116551
chr1:191116008-191126008	chr1	191117243
chr1:191116008-191126008	chr1	191117243
chr1:191116008-191126008	chr1	191117307
chr1:191116008-191126008	chr1	191117368
chr1:191116008-191126008	chr1	191117772
chr1:191116008-191126008	chr1	191117974
chr1:191116008-191126008	chr1	191117974
chr1:191116008-191126008	chr1	191117974
chr1:191116008-191126008	chr1	191117974
chr1:191116008-191126008	chr1	191117974
chr1:191116008-191126008	chr1	191117974
chr1:191116008-191126008	chr1	191117974
chr1:191116008-191126008	chr1	191118949
chr1:191116008-191126008	chr1	191118949
chr1:191116008-191126008	chr1	191118977
chr1:191116008-191126008	chr1	191119016
chr1:191116008-191126008	chr1	191119029
chr1:191116008-191126008	chr1	191119103
chr1:191116008-191126008	chr1	191119264
chr1:191116008-191126008	chr1	191119483
chr1:191116008-191126008	chr1	191119737
chr1:191116008-191126008	chr1	191119737
chr1:191116008-191126008	chr1	191119752
chr1:191116008-191126008	chr1	191119752
chr1:191116008-191126008	chr1	191119980
chr1:191116008-191126008	chr1	191120008
chr1:191116008-191126008	chr1	191120599
chr1:191116008-191126008	chr1	191120659
chr1:191116008-191126008	chr1	191120663
chr1:191116008-191126008	chr1	191120663
chr1:191116008-191126008	chr1	191121145
chr1:191116008-191126008	chr1	191121191
chr1:191116008-191126008	chr1	191121427
chr1:191116008-191126008	chr1	191121578
chr1:191116008-191126008	chr1	191121675
chr1:191116008-191126008	chr1	191121705
chr1:191116008-191126008	chr1	191122314
chr1:191116008-191126008	chr1	191122382
chr1:191116008-191126008	chr1	191122595
chr1:191116008-191126008	chr1	191122653
chr1:191116008-191126008	chr1	191122864
chr1:191116008-191126008	chr1	191122924
chr1:191116008-191126008	chr1	191122924
chr1:191116008-191126008	chr1	191123033
chr1:191116008-191126008	chr1	191123058
chr1:191116008-191126008	chr1	191123103
chr1:191116008-191126008	chr1	191123103
chr1:191116008-191126008	chr1	191123189
chr1:191116008-191126008	chr1	191123265
chr1:191116008-191126008	chr1	191123265
chr1:191116008-191126008	chr1	191123265
chr1:191116008-191126008	chr1	191123265
chr1:191116008-191126008	chr1	191123333
chr1:191116008-191126008	chr1	191123446
chr1:191116008-191126008	chr1	191123750
chr1:191116008-191126008	chr1	191123802
chr1:191116008-191126008	chr1	191123835
chr1:191116008-191126008	chr1	191123918
chr1:191116008-191126008	chr1	191123965
chr1:191116008-191126008	chr1	191123965
chr1:191116008-191126008	chr1	191124322
chr1:191116008-191126008	chr1	191124328
chr1:191116008-191126008	chr1	191124328
chr1:191116008-191126008	chr1	191124328
chr1:191116008-191126008	chr1	191124328
chr1:191116008-191126008	chr1	191124328
chr1:191116008-191126008	chr1	191124553
chr1:191116008-191126008	chr1	191124558
chr1:191116008-191126008	chr1	191124586
chr1:191116008-191126008	chr1	191124681
chr1:191116008-191126008	chr1	191124681
chr1:191116008-191126008	chr1	191124695
chr1:191116008-191126008	chr1	191124716
chr1:191116008-191126008	chr1	191124716
