chromosome	position
chrR	6449
chrR	6464
chrR	6466
chrR	6469
chrR	6476
chrR	6478
chrR	6482
chrR	6487
chrR	6490
chrR	6491
chrR	6604
chrR	6606
chrR	6614
chrR	6616
chrR	6617
chrR	6635
chrR	6636
chrR	6645
chrR	6745
chrR	6746
chrR	6746
chrR	6750
chrR	6750
chrR	6759
chrR	6760
chrR	6765
chrR	6765
chrR	6766
chrR	6768
chrR	6771
chrR	6771
chrR	6772
chrR	6777
chrR	6781
chrR	6786
chrR	6789
chrR	6789
chrR	6791
chrR	6793
chrR	6793
chrR	6795
chrR	6795
chrR	6801
chrR	6811
chrR	6814
chrR	6817
chrR	6826
chrR	6829
chrR	6829
chrR	6831
chrR	6831
chrR	6841
chrR	6843
chrR	6844
chrR	6845
chrR	6853
chrR	6855
chrR	6855
chrR	6858
chrR	6858
chrR	6864
chrR	6865
chrR	6870
chrR	6872
chrR	6872
chrR	6873
chrR	6874
chrR	6878
chrR	6882
chrR	6884
chrR	6884
chrR	6888
chrR	6891
chrR	6904
chrR	6932
chrR	6942
chrR	6943
chrR	6946
chrR	6950
chrR	6954
chrR	6957
chrR	6957
chrR	6958
chrR	6962
chrR	6963
chrR	6964
chrR	6966
chrR	6968
chrR	6978
chrR	6979
chrR	6983
chrR	6987
chrR	6988
chrR	6990
chrR	6995
chrR	6997
chrR	6998
chrR	7001
chrR	7001
chrR	7009
chrR	7009
chrR	7011
chrR	7013
chrR	7016
chrR	7019
chrR	7019
chrR	7019
chrR	7023
chrR	7026
chrR	7027
chrR	7029
chrR	7030
chrR	7034
chrR	7037
chrR	7041
chrR	7042
chrR	7044
chrR	7049
chrR	7050
chrR	7189
chrR	7189
chrR	7192
chrR	7194
chrR	7195
chrR	7196
chrR	7198
chrR	7199
chrR	7207
chrR	7209
chrR	7212
chrR	7224
chrR	7229
chrR	7229
chrR	7231
chrR	7238
chrR	7239
chrR	7242
chrR	7245
chrR	7259
chrR	7264
chrR	7265
chrR	7270
chrR	7275
chrR	7276
chrR	7283
chrR	7284
chrR	7286
chrR	7289
chrR	7291
chrR	7298
chrR	7299
chrR	7299
chrR	7300
chrR	7302
chrR	7303
chrR	7307
chrR	7315
chrR	7317
chrR	7320
chrR	7323
chrR	7327
chrR	7332
chrR	7345
chrR	7346
chrR	7348
chrR	7353
chrR	7356
chrR	7357
chrR	7361
chrR	7361
chrR	7362
chrR	7369
chrR	7377
chrR	7377
chrR	7378
chrR	7380
chrR	7382
chrR	7482
chrR	7492
chrR	7493
chrR	7496
chrR	7498
chrR	7500
chrR	7500
chrR	7500
chrR	7504
chrR	7504
chrR	7510
chrR	7511
chrR	7517
chrR	7518
chrR	7522
chrR	7523
chrR	7524
chrR	7525
chrR	7533
chrR	7533
chrR	7538
chrR	7544
chrR	7545
chrR	7548
chrR	7549
chrR	7550
chrR	7553
chrR	7558
chrR	7561
chrR	7577
chrR	7581
chrR	7581
chrR	7585
chrR	7587
chrR	7588
chrR	7594
chrR	7595
chrR	7620
chrR	7623
chrR	7625
chrR	7625
chrR	7628
chrR	7632
chrR	7634
chrR	7637
chrR	7638
chrR	7643
chrR	7648
chrR	7650
chrR	7651
chrR	7651
chrR	7653
chrR	7662
chrR	7663
chrR	7677
chrR	7680
chrR	7681
chrR	7681
chrR	7685
chrR	7689
chrR	7690
chrR	7697
chrR	7702
chrR	7714
chrR	7740
chrR	7742
chrR	7744
chrR	7745
chrR	7746
chrR	7753
chrR	7755
chrR	7758
chrR	7759
chrR	7759
chrR	7764
chrR	7766
chrR	7766
chrR	7769
chrR	7772
chrR	7772
chrR	7775
chrR	7777
chrR	7781
chrR	7788
chrR	7795
chrR	7808
chrR	7809
chrR	7810
chrR	7813
chrR	7815
chrR	7816
chrR	7827
chrR	7832
chrR	7843
chrR	7849
chrR	7851
chrR	7854
chrR	7857
chrR	7860
chrR	7861
chrR	7866
chrR	7869
chrR	7872
chrR	7873
chrR	7873
chrR	7878
chrR	7879
chrR	7882
chrR	7886
chrR	7888
chrR	7889
chrR	7898
chrR	7901
chrR	7906
chrR	7906
chrR	7907
chrR	7915
chrR	7917
chrR	7926
chrR	7928
chrR	7928
chrR	7935
chrR	7941
chrR	7943
chrR	7961
chrR	7974
chrR	7976
chrR	7985
chrR	7988
chrR	7990
chrR	7990
chrR	7992
chrR	8001
chrR	8003
chrR	8003
chrR	8007
chrR	8008
chrR	8012
chrR	8012
chrR	8024
chrR	8026
chrR	8028
chrR	8032
chrR	8032
chrR	8038
chrR	8038
chrR	8043
chrR	8045
chrR	8046
chrR	8056
chrR	8058
chrR	8060
chrR	8062
chrR	8063
chrR	8063
chrR	8068
chrR	8072
chrR	8075
chrR	8078
chrR	8078
chrR	8082
chrR	8084
chrR	8086
chrR	8089
chrR	8089
chrR	8090
chrR	8094
chrR	8095
chrR	8105
chrR	8107
chrR	8110
chrR	8116
chrR	8120
chrR	8120
chrR	8120
chrR	8122
chrR	8127
chrR	8131
chrR	8131
chrR	8134
chrR	8138
chrR	8144
chrR	8145
chrR	8151
chrR	8176
chrR	8179
chrR	8186
chrR	8191
chrR	8195
chrR	8201
chrR	8202
chrR	8205
chrR	8206
chrR	8207
chrR	8210
chrR	8212
chrR	8213
chrR	8222
chrR	8227
chrR	8239
chrR	8246
chrR	8247
chrR	8256
chrR	8367
chrR	8371
chrR	8375
chrR	8383
chrR	8387
chrR	8392
chrR	8394
chrR	8395
chrR	8396
chrR	8400
chrR	8401
chrR	8403
chrR	8406
chrR	8409
chrR	8409
chrR	8413
chrR	8416
chrR	8419
chrR	8420
chrR	8422
chrR	8427
chrR	8428
chrR	8430
chrR	8435
chrR	8439
chrR	8445
chrR	8449
chrR	8449
chrR	8449
chrR	8455
chrR	8460
chrR	8465
chrR	8467
chrR	8472
chrR	8473
chrR	8479
chrR	8483
chrR	8483
chrR	8484
chrR	8487
chrR	8503
chrR	8504
chrR	8518
chrR	8789
chrR	8791
chrR	8806
chrR	8814
chrR	8818
chrR	8819
chrR	8826
chrR	8827
chrR	8829
chrR	8837
chrR	8841
chrR	8952
chrR	8979
chrR	8983
chrR	8989
chrR	9002
chrR	9004
chrR	9008
chrR	9010
chrR	9010
chrR	9011
chrR	9012
chrR	9012
chrR	9014
chrR	9015
chrR	9016
chrR	9018
chrR	9024
chrR	9025
chrR	9026
chrR	9037
chrR	9057
chrR	9061
chrR	9061
chrR	9071
chrR	9078
chrR	9080
chrR	9086
chrR	9087
chrR	9088
chrR	9091
chrR	9091
chrR	9100
chrR	9102
chrR	9104
chrR	9117
chrR	9129
chrR	9132
chrR	9132
chrR	9134
chrR	9135
chrR	9137
chrR	9142
chrR	9149
chrR	9158
chrR	9165
chrR	9171
chrR	9172
chrR	9177
chrR	9178
chrR	9180
chrR	9195
chrR	9197
chrR	9197
chrR	9197
chrR	9200
chrR	9205
chrR	9211
chrR	9227
chrR	9230
chrR	9232
chrR	9235
chrR	9252
chrR	9256
chrR	9256
chrR	9257
chrR	9257
chrR	9259
chrR	9261
chrR	9263
chrR	9301
chrR	9313
chrR	9326
chrR	9330
chrR	9332
chrR	9337
chrR	9341
chrR	9349
chrR	9350
chrR	9352
chrR	9353
chrR	9358
chrR	9359
chrR	9366
chrR	9366
chrR	9374
chrR	9388
chrR	9396
chrR	9397
chrR	9402
chrR	9409
chrR	9409
chrR	9409
chrR	9424
chrR	9433
chrR	9491
chrR	9505
chrR	9518
chrR	9527
chrR	9552
chrR	9572
chrR	9575
chrR	9585
chrR	9592
chrR	9600
chrR	9609
chrR	9616
chrR	9631
chrR	9631
chrR	9643
chrR	9666
chrR	9676
chrR	9691
chrR	9698
chrR	9698
chrR	9704
chrR	9709
chrR	9722
chrR	9726
chrR	9731
chrR	9733
chrR	9734
chrR	9735
chrR	9737
chrR	9738
chrR	9738
chrR	9745
chrR	9755
chrR	9757
chrR	9760
chrR	9762
chrR	9770
chrR	9774
chrR	9777
chrR	9779
chrR	9785
chrR	9788
chrR	9788
chrR	9789
chrR	9791
chrR	9801
chrR	9801
chrR	9807
chrR	9817
chrR	9817
chrR	9818
chrR	9821
chrR	9822
chrR	9824
chrR	9825
chrR	9827
chrR	9832
chrR	9839
chrR	9846
chrR	9852
chrR	9852
chrR	9856
chrR	9860
chrR	9862
chrR	9868
chrR	9869
chrR	9872
chrR	9875
chrR	9878
chrR	9879
chrR	9880
chrR	9884
chrR	9890
chrR	9897
chrR	9902
chrR	9908
chrR	9911
chrR	10011
chrR	10113
chrR	10123
chrR	10131
chrR	10132
chrR	10133
chrR	10136
chrR	10138
chrR	10139
chrR	10146
chrR	10154
chrR	10155
chrR	10157
chrR	10159
chrR	10164
chrR	10165
chrR	10168
chrR	10169
chrR	10174
chrR	10176
chrR	10177
chrR	10179
chrR	10184
chrR	10185
chrR	10190
chrR	10191
chrR	10193
chrR	10196
chrR	10198
chrR	10204
chrR	10207
chrR	10209
chrR	10213
chrR	10214
chrR	10230
chrR	10230
chrR	10230
chrR	10234
chrR	10237
chrR	10240
chrR	10251
chrR	10253
chrR	10255
chrR	10264
chrR	10276
chrR	10281
chrR	10286
chrR	10287
chrR	10287
chrR	10293
chrR	10293
chrR	10295
chrR	10304
chrR	10304
chrR	10308
chrR	10312
chrR	10315
chrR	10316
chrR	10319
chrR	10322
chrR	10327
chrR	10335
chrR	10341
chrR	10492
chrR	10499
chrR	10502
chrR	10504
chrR	10511
chrR	10511
chrR	10518
chrR	10529
chrR	10529
chrR	10532
chrR	10532
chrR	10534
chrR	10535
chrR	10538
chrR	10551
chrR	10559
chrR	10560
chrR	10561
chrR	10564
chrR	10569
chrR	10572
chrR	10585
chrR	10589
chrR	10599
chrR	10604
chrR	10606
chrR	10606
chrR	10606
chrR	10610
chrR	10614
chrR	10616
chrR	10616
chrR	10618
chrR	10619
chrR	10621
chrR	10623
chrR	10624
chrR	10627
chrR	10628
chrR	10631
chrR	10632
chrR	10637
chrR	10645
chrR	10651
chrR	10658
chrR	10659
chrR	10659
chrR	10664
chrR	10668
chrR	10675
chrR	10677
chrR	10679
chrR	10680
chrR	10695
chrR	10697
chrR	10702
chrR	10705
chrR	10719
chrR	10724
chrR	10729
chrR	10729
chrR	10734
chrR	10736
chrR	10739
chrR	10739
chrR	10743
chrR	10759
chrR	10763
chrR	10767
chrR	10769
chrR	10776
chrR	10777
chrR	10780
chrR	10781
chrR	10787
chrR	10804
chrR	10812
chrR	10813
chrR	10816
chrR	10822
chrR	10825
chrR	10835
chrR	10838
chrR	10845
chrR	10845
chrR	10847
chrR	10848
chrR	10871
chrR	10871
chrR	10871
chrR	10893
chrR	10895
chrR	10897
chrR	10898
chrR	10900
chrR	10900
chrR	10901
chrR	10906
chrR	10917
chrR	10920
chrR	10924
chrR	10927
chrR	10933
chrR	10940
chrR	10942
chrR	10944
chrR	10944
chrR	10946
chrR	10947
chrR	10948
chrR	10948
chrR	10952
chrR	10958
chrR	10959
chrR	10959
chrR	11088
chrR	11095
chrR	11110
chrR	11117
chrR	11125
chrR	11125
chrR	11128
chrR	11128
chrR	11128
chrR	11131
chrR	11139
chrR	11144
chrR	11159
chrR	11205
chrR	11222
chrR	11232
chrR	11241
chrR	11354
chrR	11357
chrR	11358
chrR	11358
chrR	11362
chrR	11362
chrR	11362
chrR	11369
chrR	11374
chrR	11374
chrR	11377
chrR	11382
chrR	11386
chrR	11388
chrR	11392
chrR	11392
chrR	11395
chrR	11396
chrR	11400
chrR	11402
chrR	11403
chrR	11403
chrR	11404
chrR	11409
chrR	11413
chrR	11416
chrR	11416
chrR	11418
chrR	11420
chrR	11427
chrR	11429
chrR	11430
chrR	11433
chrR	11442
chrR	11445
chrR	11445
chrR	11449
chrR	11452
chrR	11456
chrR	11456
chrR	11467
chrR	11467
chrR	11486
chrR	11492
chrR	11501
chrR	11505
chrR	11514
chrR	11526
chrR	11537
chrR	11547
chrR	11549
chrR	11552
chrR	11554
chrR	11557
chrR	11558
chrR	11569
chrR	11572
chrR	11575
chrR	11577
chrR	11578
chrR	11584
chrR	11585
chrR	11589
chrR	11593
chrR	11594
chrR	11603
chrR	11608
chrR	11620
chrR	11624
chrR	11627
chrR	11630
chrR	11630
chrR	11632
chrR	11632
chrR	11634
chrR	11635
chrR	11637
chrR	11640
chrR	11642
chrR	11649
chrR	11658
chrR	11676
chrR	11681
chrR	11682
chrR	11691
chrR	11699
chrR	11701
chrR	11702
chrR	11704
chrR	11704
chrR	11706
chrR	11706
chrR	11712
chrR	11721
chrR	11724
chrR	11733
chrR	11752
chrR	11756
chrR	11756
chrR	11759
chrR	11765
chrR	11770
chrR	11771
chrR	11773
chrR	11776
chrR	11776
chrR	11779
chrR	11792
chrR	11803
chrR	11822
chrR	11831
chrR	11833
chrR	11836
chrR	11836
chrR	11840
chrR	11843
chrR	11844
chrR	11844
chrR	11845
chrR	11851
chrR	11853
chrR	11859
chrR	11865
chrR	11868
chrR	11870
chrR	11872
chrR	11873
chrR	11884
chrR	11886
chrR	11893
chrR	11900
chrR	11905
chrR	11907
chrR	11912
chrR	11918
chrR	11921
chrR	11922
chrR	11926
chrR	11927
chrR	11933
chrR	11938
chrR	11939
chrR	11940
chrR	11941
chrR	11944
chrR	11946
chrR	11950
chrR	11956
chrR	11957
chrR	11959
chrR	11964
chrR	11977
chrR	11978
chrR	11980
chrR	11983
chrR	11985
chrR	11988
chrR	11993
chrR	11996
chrR	12002
chrR	12004
chrR	12004
chrR	12017
chrR	12020
chrR	12036
chrR	12040
chrR	12042
chrR	12044
chrR	12061
chrR	12064
chrR	12065
chrR	12070
chrR	12070
chrR	12097
chrR	12099
chrR	12106
chrR	12109
chrR	12112
chrR	12118
chrR	12121
chrR	12122
chrR	12126
chrR	12128
chrR	12130
chrR	12136
chrR	12137
chrR	12139
chrR	12147
chrR	12174
chrR	12178
chrR	12181
chrR	12186
chrR	12188
chrR	12196
chrR	12210
chrR	12212
chrR	12216
chrR	12217
chrR	12217
chrR	12220
chrR	12220
chrR	12222
chrR	12227
chrR	12232
chrR	12232
chrR	12238
chrR	12257
chrR	12262
chrR	12270
chrR	12273
chrR	12278
chrR	12278
chrR	12280
chrR	12280
chrR	12284
chrR	12286
chrR	12291
chrR	12297
chrR	12305
chrR	12307
chrR	12321
chrR	12324
chrR	12332
chrR	12334
chrR	12338
chrR	12341
chrR	12342
chrR	12347
chrR	12349
chrR	12356
chrR	12360
chrR	12385
chrR	12395
chrR	12396
chrR	12407
chrR	12411
chrR	12418
chrR	12429
chrR	12443
chrR	12450
chrR	12464
chrR	12472
chrR	12491
chrR	12501
chrR	12505
chrR	12521
chrR	12524
chrR	12542
chrR	12544
chrR	12560
chrR	12573
chrR	12581
chrR	12600
chrR	12601
chrR	12603
chrR	12605
chrR	12614
chrR	12627
chrR	12638
chrR	12660
chrR	12682
chrR	12682
chrR	12686
chrR	12687
chrR	12691
chrR	12693
chrR	12693
chrR	12708
chrR	12717
chrR	12722
chrR	12722
chrR	12729
chrR	12729
chrR	12742
chrR	12744
chrR	12748
chrR	12751
chrR	12752
chrR	12755
chrR	12773
chrR	12779
chrR	12789
chrR	12888
chrR	12902
chrR	12912
chrR	12925
chrR	12931
chrR	12935
chrR	12937
chrR	12942
chrR	12963
chrR	12968
chrR	12969
chrR	12971
chrR	12979
chrR	12985
chrR	12985
chrR	12986
chrR	12995
chrR	13000
chrR	13004
chrR	13005
chrR	13008
chrR	13009
chrR	13010
chrR	13157
chrR	13159
chrR	13178
chrR	13182
chrR	13184
chrR	13185
chrR	13187
chrR	13197
chrR	13198
chrR	13200
chrR	13226
chrR	13234
chrR	13242
chrR	13249
chrR	13253
chrR	13256
chrR	13256
chrR	13263
chrR	13265
chrR	13270
chrR	13272
chrR	13276
chrR	13278
chrR	13283
chrR	13285
chrR	13285
chrR	13294
chrR	13299
chrR	13299
chrR	13301
chrR	13306
chrR	13307
chrR	13311
chrR	13315
chrR	13318
chrR	13324
chrR	13333
chrR	13337
chrR	13346
chrR	13351
chrR	13370
chrR	13371
chrR	13379
chrR	13413
chrR	13586
chrR	13592
chrR	13595
chrR	13602
chrR	13614
chrR	13616
chrR	13617
chrR	13628
chrR	13629
chrR	13631
chrR	13637
chrR	13638
chrR	13643
chrR	13646
chrR	13657
chrR	13658
chrR	13661
chrR	13662
chrR	13666
chrR	13710
chrR	13730
chrR	13749
chrR	13750
chrR	13760
chrR	13774
chrR	13822
chrR	13834
chrR	13867
chrR	13970
chrR	13977
chrR	13979
chrR	13984
chrR	13987
chrR	13993
chrR	13999
chrR	14001
chrR	14004
chrR	14008
chrR	14033
chrR	14050
chrR	14053
chrR	14057
chrR	14068
chrR	14084
chrR	14086
chrR	14088
chrR	14107
chrR	14111
chrR	14119
chrR	14123
chrR	14128
chrR	14180
chrR	14195
chrR	14205
chrR	14235
chrR	14256
chrR	14363
chrR	14372
chrR	14388
chrR	14402
chrR	14404
chrR	14408
chrR	14425
chrR	14435
chrR	14448
chrR	14486
chrR	14500
chrR	14519
chrR	14528
chrR	14540
chrR	14552
chrR	14564
chrR	14581
chrR	14582
chrR	14587
chrR	14588
chrR	14604
chrR	14607
chrR	14634
chrR	14649
chrR	14669
chrR	14675
chrR	14681
chrR	14688
chrR	14701
chrR	14712
chrR	14716
chrR	14734
chrR	14738
chrR	14742
chrR	14746
chrR	14754
chrR	14758
chrR	14758
chrR	14762
chrR	14762
chrR	14762
chrR	14763
chrR	14766
chrR	14770
chrR	14770
chrR	14782
chrR	14786
chrR	14792
chrR	14802
chrR	14808
chrR	14834
chrR	14836
chrR	14847
chrR	14883
chrR	14938
chrR	14952
chrR	14957
chrR	14958
chrR	14959
chrR	15044
chrR	15062
chrR	15066
chrR	15070
chrR	15095
chrR	15121
chrR	15130
chrR	15146
chrR	15153
chrR	15156
chrR	15174
chrR	15179
chrR	15182
chrR	15187
chrR	15193
chrR	15199
chrR	15208
chrR	15216
chrR	15231
chrR	15240
chrR	15251
chrR	15262
chrR	15272
chrR	15283
chrR	15290
chrR	15310
chrR	15313
chrR	15316
chrR	15323
chrR	15328
chrR	15331
chrR	15345
chrR	15346
chrR	15348
chrR	15349
chrR	15351
chrR	15359
chrR	15360
chrR	15363
chrR	15368
chrR	15377
chrR	15378
chrR	15392
chrR	15393
chrR	15401
chrR	15409
chrR	15417
chrR	15418
chrR	15455
chrR	15463
chrR	15468
chrR	15512
chrR	15513
chrR	15519
chrR	15522
chrR	15527
chrR	15546
chrR	15559
chrR	15560
chrR	15565
chrR	15569
chrR	15570
chrR	15578
chrR	15579
chrR	15582
chrR	15585
chrR	15585
chrR	15588
chrR	15595
chrR	15605
chrR	15620
chrR	15629
chrR	15642
chrR	15671
chrR	15707
chrR	15709
chrR	15711
chrR	15730
chrR	15754
chrR	15764
chrR	15775
chrR	15776
chrR	15779
chrR	15786
chrR	15809
chrR	15817
chrR	15826
chrR	15829
chrR	15833
chrR	15860
chrR	15869
chrR	15871
chrR	15888
chrR	15890
chrR	15905
chrR	15912
chrR	16002
chrR	16014
chrR	16030
chrR	16042
chrR	16060
chrR	16129
chrR	16130
chrR	16138
chrR	16142
chrR	16165
chrR	16174
chrR	16179
chrR	16189
chrR	16198
chrR	16207
chrR	16211
chrR	16217
chrR	16219
chrR	16219
chrR	16221
chrR	16221
chrR	16226
chrR	16232
chrR	16237
chrR	16243
chrR	16250
chrR	16252
chrR	16262
chrR	16286
chrR	16291
chrR	16296
chrR	16317
chrR	16319
chrR	16336
chrR	16341
chrR	16342
chrR	16346
chrR	16346
chrR	16347
chrR	16354
chrR	16355
chrR	16358
chrR	16358
chrR	16362
chrR	16370
chrR	16374
chrR	16378
chrR	16386
chrR	16387
chrR	16390
chrR	16418
chrR	16428
chrR	16444
chrR	16446
chrR	16449
chrR	16449
chrR	16462
chrR	16465
chrR	16467
chrR	16471
chrR	16505
chrR	16521
chrR	16539
chrR	16542
