Node ID,xaxis,yaxis,Genename,size,color
chr9:90585561-90585690:-,-0.902897317,3.091686764,CDK20,4.285402219,backgroud
chr3:37893002-37903191:-,-0.813576146,5.575793387,ITGA9-AS1,3.256339753,backgroud
chr10:134041714-134059403:-,-0.687806638,4.8313034,STK32C,2.399930607,backgroud
chr19:3936664-3937222:+,-0.550007639,4.102976507,NMRK2,6.725650281,UVM
chr17:7150202-7150382:-,-0.540323646,9.594003706,CTDNEP1,2.637429921,CLL
chr9:139701845-139703178:-,-0.515432099,2.795812309,CCDC183-AS1,1.353636955,backgroud
chr18:12420493-12421520:+,-0.48505291,4.55388096,PRELID3A,2.273018494,backgroud
chr1:29522568-29522709:-,-0.462447786,5.641483083,MECR,2,backgroud
chr19:57908543-57909780:+,-0.458499655,14.52811769,ZNF548,4.933362807,CLL
chr2:85848703-85850728:+,-0.458107135,8.083146073,USP39,3.466699619,CLL+UVM
chr16:89778631-89779081:+,-0.455649421,5.171924417,VPS9D1-AS1,3.213779291,UVM
chr11:117167926-117186250:-,-0.452978046,3.696934149,BACE1,4.509555098,UVM
chr6:168418721-168430155:+,-0.443253968,3.294002605,Not known,1.353636955,backgroud
chr1:156532467-156532925:-,-0.441798942,2.930025732,IQGAP3,1.152003093,backgroud
chr4:184577128-184580081:-,-0.435704403,7.685379655,RWDD4,4.313890776,backgroud
chr8:131374035-131414130:-,-0.43015873,2.686443544,ASAP1,1,backgroud
chr9:139837453-139837800:-,-0.416666667,4.286518494,FBXW5,0.830074999,backgroud
chr3:52283339-52283671:+,-0.406352542,11.61999456,PPM1M,4.019899557,CLL
chr3:172479474-172480187:+,-0.400351339,3.556134044,ECT2,1.688055994,backgroud
chr3:48457879-48459319:-,-0.331589665,6.062548364,PLXNB1,5.495410916,UVM
chr3:42835782-42845927:-,-0.329994876,7.236979339,HIGD1A,2.688055994,backgroud
chr14:65204094-65204760:+,-0.326926655,3.432711451,PLEKHG3,2.20511443,backgroud
chr4:2814205-2816522:+,-0.326851852,3.408703616,SH3BP2,1.256339753,backgroud
chr3:56649301-56649931:+,-0.324351748,7.056600813,CCDC66,2.841302254,CLL
chr17:7604148-7604758:+,-0.32272126,3.273544222,WRAP53,1.039528364,backgroud
chr9:99705437-99711836:-,-0.320603629,1.987946891,HIATL2,4.824428435,CLL
chr7:30811173-30818033:+,-0.320143899,3.921339621,FAM188B,1.502500341,backgroud
chr6:31939377-31939705:-,-0.314321327,5.242534805,DXO,1.938599455,CLL
chr7:4826060-4827195:+,-0.310295603,6.431522413,AP5Z1,2.429987841,CLL+UVM
chr3:9960294-9962150:+,-0.305259669,4.358781382,IL17RC,4.656623486,UVM
chr17:72767984-72768356:-,-0.304583231,2.594812458,NAT9,1.321928095,CLL
chr4:152100569-152108574:-,-0.293136956,2.894130321,SH3D19,1.807354922,UVM
chr1:205240384-205240923:+,-0.282853949,3.945351372,TMCC2,3.530514717,UVM
chr20:45354964-45355453:+,-0.278232431,2.273424859,SLC2A10,1.444784843,UVM
chr9:99705424-99711836:-,-0.27788977,2.153297166,HIATL2,1.415037499,CLL
chr14:65204094-65204750:+,-0.251791573,2.722517683,PLEKHG3,1.662965013,backgroud
chr9:35813154-35813262:-,-0.249386547,13.83654521,HINT2,7.486946724,CLL+UVM
chr2:220044486-220044888:+,-0.248245302,7.238624428,FAM134A,4.024831853,CLL+UVM
chr2:27603133-27603627:-,-0.247222222,2.589669322,ZNF513,0.91753784,backgroud
chr17:77918052-77918706:-,-0.24619807,4.05765483,TBC1D16,3.754887502,UVM
chr2:3581537-3581702:-,-0.244462301,3.048283737,Not known,1.979822118,backgroud
chr9:37501842-37503015:+,-0.23917972,5.461215293,POLR1E,4.821596845,CLL+UVM
chr1:101458311-101460665:-,-0.226174706,14.74789754,DPH5,5.388495712,CLL+UVM
chr3:129284873-129285369:-,-0.223011469,9.612044106,PLXND1,5.394224489,CLL+UVM
chr9:116968577-116971660:+,-0.222171347,1.965773708,COL27A1,0.830074999,backgroud
chr8:95993202-95999871:+,-0.218088624,3.341611985,NDUFAF6,1.321928095,CLL
chr4:15581795-15587761:+,-0.215473647,2.728170201,CC2D2A,1.662965013,UVM
chr1:1178547-1178823:-,-0.209542374,6.53708462,FAM132A,2.256339753,backgroud
chr1:6265061-6265265:-,-0.209259259,1.884170322,Not known,0.688055994,backgroud
chr2:232196610-232209660:+,-0.206864111,5.80606497,ARMC9,3.795859283,UVM
chr16:1026089-1026777:-,-0.204461742,2.208425455,Not known,1.688055994,backgroud
chr1:225971071-225976721:+,-0.199308878,4.357616067,SRP9,2.169925001,CLL
chr3:48672024-48672803:-,-0.195509867,6.798110781,SLC26A6,2.516575526,CLL
chr1:155630725-155631097:-,-0.192496304,5.388885381,YY1AP1,4.169925001,CLL+UVM
chr17:62574713-62576906:-,-0.192376184,6.698915069,SMURF2,3.706591945,CLL+UVM
chr8:95993202-95999877:+,-0.184908907,2.460263038,NDUFAF6,0.874469118,CLL
chr10:22605486-22606798:+,-0.184207459,4.493629754,BMI1,1.115477217,backgroud
chr15:41130904-41136376:-,-0.184100658,15.25984121,Not known,5.62935662,CLL
chr6:7393537-7395239:+,-0.183415049,4.48020205,RIOK1,2.152003093,CLL
chr2:24207702-24222524:+,-0.179780106,8.791995267,UBXN2A,3.584962501,CLL+UVM
chr15:82555274-82557893:+,-0.179337232,2.60609667,SAXO2,0.688055994,backgroud
chr19:14031736-14034130:+,-0.177258239,7.915769839,CC2D1A,3.637429921,CLL+UVM
chr21:37416268-37417879:-,-0.176272117,9.327686784,SETD4,3.964501319,CLL+UVM
chr12:29450134-29460566:+,-0.17142185,4.041306284,FAR2,3.160991877,CLL+UVM
chr22:46742442-46746223:+,-0.16588415,1.778587845,TRMU,1.039528364,CLL+UVM
chr20:327787-329879:+,-0.165226358,3.102250339,NRSN2,4.124695747,CLL+UVM
chr2:178096759-178097119:-,-0.16490564,5.818021797,NFE2L2,4.407503827,CLL+UVM
chr16:89358208-89371613:-,-0.160994834,7.3794795,ANKRD11,4.403722186,CLL
chr15:49420971-49421673:-,-0.156985547,7.158698852,COPS2,4.034646143,CLL+UVM
chr16:81116587-81118067:-,-0.156493667,2.973704652,GCSH,3.611434712,CLL+UVM
chr22:37168784-37171717:-,-0.155224868,2.937192608,IFT27,0.736965594,backgroud
chr14:58758441-58759783:-,-0.152902422,2.308921987,PSMA3-AS1,0.736965594,CLL
chr16:2577617-2578051:+,-0.152116402,2.676958562,AMDHD2,0.91753784,backgroud
chr6:53381039-53385575:-,-0.150912461,6.382623351,GCLC,3.337869639,CLL+UVM
chr11:62555000-62556481:+,-0.14790042,6.510353891,TMEM179B,4.498959983,CLL+UVM
chr20:330008-330259:+,-0.14681652,9.787508823,NRSN2,4.691161905,CLL+UVM
chr16:90045287-90046628:+,-0.144378499,2.05762934,AFG3L1P,1.760812336,CLL+UVM
chr14:21556258-21556973:+,-0.143822213,2.906260258,ARHGEF40,2.415037499,CLL+UVM
chr18:32823258-32834174:+,-0.143807821,6.571379706,ZNF397,2.133855747,CLL
chr1:44132227-44132609:+,-0.142372267,5.652062019,KDM4A,2.688055994,CLL+UVM
chr2:68274469-68290089:-,-0.138713191,7.113307979,C1D,3.77844223,CLL+UVM
chr16:30958270-30958352:+,-0.138595092,4.800068703,FBXL19,3.264703226,CLL+UVM
chr19:39437246-39439206:-,-0.137257763,2.314214731,SARS2,3.571541985,UVM
chr19:58115775-58117036:+,-0.136819879,5.407458033,ZNF530,2.289506617,CLL
chr11:65388438-65389694:+,-0.136622831,9.145827303,PCNXL3,3.495410916,CLL+UVM
chr5:139485365-139485880:-,-0.135353535,7.901399111,LINC01024,2.459431619,CLL
chr7:74131271-74133179:+,-0.134476898,6.37404272,Not known,3.361456459,CLL+UVM
chr14:75509202-75513078:-,-0.132579193,4.589506181,MLH3,1.959358016,CLL+UVM
chr12:57911243-57911488:-,-0.128722611,6.195203035,DDIT3,4.997493144,CLL+UVM
